Team,Date,1stD,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,game_id
PIT,2022-11-13,28,Sun,9,10,,NOR,W 20-10,28,13,9,6,17,9,52.9,1,1,100.0,PIT_NOR_2022-11-13
ARI,2022-09-18,28,Sun,2,2,@,LVR,W 29-23 (OT),28,11,13,4,13,3,23.1,5,3,60.0,ARI_LVR_2022-09-18
KAN,2022-01-08,28,Sat,17,18,@,DEN,W 28-24,28,6,19,3,14,8,57.1,1,1,100.0,KAN_DEN_2022-01-08
BUF,2022-01-02,28,Sun,16,17,,ATL,W 29-15,28,19,8,1,12,7,58.3,1,1,100.0,BUF_ATL_2022-01-02
BUF,2021-12-26,28,Sun,15,16,@,NWE,W 33-21,28,8,20,0,12,6,50.0,4,3,75.0,BUF_NWE_2021-12-26
DAL,2021-12-26,28,Sun,15,16,,WAS,W 56-14,28,7,20,1,15,10,66.7,1,1,100.0,DAL_WAS_2021-12-26
CLE,2021-12-25,28,Sat,15,16,@,GNB,L 22-24,28,12,15,1,12,7,58.3,1,1,100.0,CLE_GNB_2021-12-25
LAC,2021-12-16,28,Thu,14,15,,KAN,L 28-34 (OT),28,14,13,1,13,6,46.2,5,2,40.0,LAC_KAN_2021-12-16
TAM,2021-11-28,28,Sun,11,12,@,IND,W 38-31,28,13,11,4,8,2,25.0,0,0,,TAM_IND_2021-11-28
LVR,2021-11-25,28,Thu,11,12,@,DAL,W 36-33 (OT),28,7,14,7,13,3,23.1,0,0,,LVR_DAL_2021-11-25
TAM,2021-11-22,28,Mon,10,11,,NYG,W 30-10,28,10,17,1,13,6,46.2,1,1,100.0,TAM_NYG_2021-11-22
IND,2021-11-21,28,Sun,11,11,@,BUF,W 41-15,28,18,6,4,12,8,66.7,1,0,0.0,IND_BUF_2021-11-21
LAC,2021-11-07,28,Sun,8,9,@,PHI,W 27-24,28,9,17,2,10,5,50.0,4,2,50.0,LAC_PHI_2021-11-07
