Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,game_id
LAC,2020-12-06,5,Sun,12,13,,NWE,L 0-45,5,6,6,1,1,0,LAC_NWE_2020-12-06
TEN,2020-12-06,5,Sun,12,13,,CLE,L 35-41,5,5,5,2,2,0,TEN_CLE_2020-12-06
DET,2020-11-26,5,Thu,11,12,,HOU,L 25-41,5,4,3,2,2,0,DET_HOU_2020-11-26
DAL,2020-11-26,5,Thu,11,12,,WAS,L 16-41,5,5,5,2,2,0,DAL_WAS_2020-11-26
LVR,2020-11-22,5,Sun,10,11,,KAN,L 31-35,5,5,5,0,0,0,LVR_KAN_2020-11-22
CAR,2020-11-15,5,Sun,10,10,,TAM,L 23-46,5,5,4,4,4,0,CAR_TAM_2020-11-15
TAM,2020-11-08,5,Sun,9,9,,NOR,L 3-38,5,5,5,1,1,0,TAM_NOR_2020-11-08
DET,2020-11-08,5,Sun,8,9,@,MIN,L 20-34,5,5,4,0,0,0,DET_MIN_2020-11-08
SEA,2020-11-08,5,Sun,8,9,@,BUF,L 34-44,5,5,5,4,3,0,SEA_BUF_2020-11-08
SFO,2020-11-01,5,Sun,8,8,@,SEA,L 27-37,5,5,4,1,1,0,SFO_SEA_2020-11-01
NYJ,2020-11-01,5,Sun,8,8,@,KAN,L 9-35,5,5,5,0,0,0,NYJ_KAN_2020-11-01
JAX,2020-10-25,5,Sun,7,7,@,LAC,L 29-39,5,4,3,3,2,0,JAX_LAC_2020-10-25
HOU,2020-10-25,5,Sun,7,7,,GNB,L 20-35,5,5,5,0,0,0,HOU_GNB_2020-10-25
CIN,2020-10-25,5,Sun,7,7,,CLE,L 34-37,5,5,4,1,1,0,CIN_CLE_2020-10-25
DEN,2020-10-25,5,Sun,6,7,,KAN,L 16-43,5,5,4,3,3,0,DEN_KAN_2020-10-25
DAL,2020-10-19,5,Mon,6,6,,ARI,L 10-38,5,5,5,1,1,0,DAL_ARI_2020-10-19
CLE,2020-10-18,5,Sun,6,6,@,PIT,L 7-38,5,5,5,1,1,0,CLE_PIT_2020-10-18
TEN,2020-10-18,5,Sun,5,6,,HOU,W 42-36 (OT),5,4,3,1,1,0,TEN_HOU_2020-10-18
GNB,2020-10-18,5,Sun,5,6,@,TAM,L 10-38,5,5,5,1,1,0,GNB_TAM_2020-10-18
KAN,2020-10-11,5,Sun,5,5,,LVR,L 32-40,5,5,4,2,2,0,KAN_LVR_2020-10-11
PHI,2020-10-11,5,Sun,5,5,@,PIT,L 29-38,5,5,5,1,1,0,PHI_PIT_2020-10-11
CLE,2020-10-04,5,Sun,4,4,@,DAL,W 49-38,5,2,2,0,0,0,CLE_DAL_2020-10-04
DET,2020-10-04,5,Sun,4,4,,NOR,L 29-35,5,5,5,0,0,0,DET_NOR_2020-10-04
LAC,2020-10-04,5,Sun,4,4,@,TAM,L 31-38,5,5,5,2,1,0,LAC_TAM_2020-10-04
BAL,2020-09-28,5,Mon,3,3,,KAN,L 20-34,5,5,4,1,0,0,BAL_KAN_2020-09-28
LAR,2020-09-27,5,Sun,3,3,@,BUF,L 32-35,5,5,5,0,0,0,LAR_BUF_2020-09-27
DAL,2020-09-27,5,Sun,3,3,@,SEA,L 31-38,5,4,4,0,0,1,DAL_SEA_2020-09-27
ATL,2020-09-20,5,Sun,2,2,@,DAL,L 39-40,5,4,4,2,2,0,ATL_DAL_2020-09-20
PHI,2020-09-20,5,Sun,2,2,,LAR,L 19-37,5,5,4,1,1,0,PHI_LAR_2020-09-20
DET,2020-09-20,5,Sun,2,2,@,GNB,L 21-42,5,4,4,2,2,0,DET_GNB_2020-09-20
NWE,2020-09-20,5,Sun,2,2,@,SEA,L 30-35,5,5,5,0,0,0,NWE_SEA_2020-09-20
CIN,2020-09-17,5,Thu,2,2,@,CLE,L 30-35,5,5,5,0,0,0,CIN_CLE_2020-09-17
CLE,2020-09-13,5,Sun,1,1,@,BAL,L 6-38,5,5,5,1,1,0,CLE_BAL_2020-09-13
ATL,2020-09-13,5,Sun,1,1,,SEA,L 25-38,5,5,5,1,1,0,ATL_SEA_2020-09-13
MIN,2020-09-13,5,Sun,1,1,,GNB,L 34-43,5,5,5,2,2,1,MIN_GNB_2020-09-13
HOU,2019-12-29,5,Sun,16,17,,TEN,L 14-35,5,5,5,0,0,0,HOU_TEN_2019-12-29
WAS,2019-12-29,5,Sun,16,17,@,DAL,L 16-47,5,5,5,4,4,0,WAS_DAL_2019-12-29
TEN,2019-12-22,5,Sun,15,16,,NOR,L 28-38,5,5,5,1,1,0,TEN_NOR_2019-12-22
CAR,2019-12-22,5,Sun,15,16,@,IND,L 6-38,5,5,5,1,1,0,CAR_IND_2019-12-22
NYG,2019-12-22,5,Sun,15,16,@,WAS,W 41-35 (OT),5,5,5,0,0,0,NYG_WAS_2019-12-22
CIN,2019-12-22,5,Sun,15,16,@,MIA,L 35-38 (OT),5,5,5,2,1,0,CIN_MIA_2019-12-22
DET,2019-12-15,5,Sun,14,15,,TAM,L 17-38,5,5,5,2,1,0,DET_TAM_2019-12-15
WAS,2019-12-15,5,Sun,14,15,,PHI,L 27-37,5,4,4,1,1,0,WAS_PHI_2019-12-15
LAR,2019-12-15,5,Sun,14,15,@,DAL,L 21-44,5,5,5,3,3,0,LAR_DAL_2019-12-15
CLE,2019-12-15,5,Sun,14,15,@,ARI,L 24-38,5,5,5,1,1,0,CLE_ARI_2019-12-15
MIA,2019-12-15,5,Sun,14,15,@,NYG,L 20-36,5,5,4,0,0,1,MIA_NYG_2019-12-15
IND,2019-12-08,5,Sun,13,14,@,TAM,L 35-38,5,5,5,1,1,0,IND_TAM_2019-12-08
HOU,2019-12-08,5,Sun,13,14,,DEN,L 24-38,5,5,5,1,1,0,HOU_DEN_2019-12-08
OAK,2019-12-01,5,Sun,12,13,@,KAN,L 9-40,5,5,5,1,1,0,OAK_KAN_2019-12-01
PHI,2019-12-01,5,Sun,12,13,@,MIA,L 31-37,5,3,2,1,1,0,PHI_MIA_2019-12-01
ATL,2019-11-24,5,Sun,11,12,,TAM,L 22-35,5,5,2,1,1,0,ATL_TAM_2019-11-24
MIA,2019-11-24,5,Sun,11,12,@,CLE,L 24-41,5,5,5,3,2,0,MIA_CLE_2019-11-24
ARI,2019-11-17,5,Sun,11,11,@,SFO,L 26-36,5,3,3,1,1,0,ARI_SFO_2019-11-17
