,game_id,Team,Date,Day,G#,Week,Opp,Result,home,PtsO_points,PtDif_points,PC_points,vs. Line_vegas,Over/Under_vegas,OU Result_vegas,Att_pass,Inc_pass,Cmp%_pass,Yds_pass,TD_pass,Int_pass,TD%_pass,Int%_pass,Rate_pass,Sk_pass,Yds_pass,Sk%_pass,Y/A_pass,NY/A_pass,AY/A_pass,ANY/A_pass,Y/C_pass,Yds_rush,Y/A_rush,TD_rush,Ply_total,Y/P_total,DPly_total,DY/P_total,TO_total,ToP_total,Time_total,Yds_penalty,OppPen_penalty,OppYds_penalty,CombPen_penalty,CombPenYds_penalty,Rsh_downs,Pass_downs,Pen_downs,3DAtt_downs,3DConv_downs,3D%_downs,4DAtt_downs,4DConv_downs,4D%_downs,Att_opp_passing,Cmp%_opp_passing,Yds_opp_passing,TD_opp_passing,Sk_opp_passing,Yds_opp_passing,Int_opp_passing,Rate_opp_passing,Yds_opp_rushing,Y/A_opp_rushing,TD_opp_rushing,TO_opp_totals,Rush_opp_downs,Pass_opp_downs,Pen_opp_downs,Opp3DAtt_opp_downs,Opp3DConv_opp_downs,Opp3D%_opp_downs,Opp4DAtt_opp_downs,Opp4DConv_opp_downs,Opp4D%_opp_downs,XPA_opp_scoring,XPM_opp_scoring,Att_opp_scoring,Md_opp_scoring,Sfty_opp_scoring
40,BAL_BUF_2018-09-09,BAL,2018-09-09,Sun,1,1,BUF,W 47-3,1,3,44,50,,,,38,12,68.4,252,3,0,7.9,0.0,113.9,2,8,5.00,6.6,6.30,8.21,7.80,9.7,117,3.4,3,74,4.99,61,2.51,1,35:14,3:21,78,10,100,19,178,11,13,2,14,6,42.9,0,0,,,,,,,,,,83,3.8,0,,,,,,,,,,,,,,,
41,NOR_BUF_2017-11-12,NOR,2017-11-12,Sun,9,10,BUF,W 47-10,0,10,37,57,covered,48.5,over,25,7,72.0,184,0,0,0.0,0.0,92.7,0,0,0.00,7.4,7.36,7.36,7.36,10.2,298,6.2,6,73,6.60,45,4.40,1,41:23,2:57,,,,,,20,9,3,12,6,50.0,2,2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,TEN_DET_2020-12-20,TEN,2020-12-20,Sun,14,15,DET,W 46-25,1,25,21,71,,,,27,6,77.8,268,3,0,11.1,0.0,145.8,1,5,3.57,9.9,9.57,12.15,11.71,12.8,195,5.1,3,66,7.02,65,6.62,0,28:22,3:00,,,,,,10,17,1,11,9,81.8,0,0,,38,71.1,307,1,0,0,1,92.8,123,4.6,2,3,8,18,1,12,7,58.3,1,0,0.0,3,2,1,1,1
43,TAM_CAR_2020-11-15,TAM,2020-11-15,Sun,10,10,CAR,W 46-23,0,23,23,69,covered,49.5,over,39,11,71.8,334,3,0,7.7,0.0,124.0,1,7,2.50,8.6,8.35,10.10,9.85,11.9,210,5.7,2,77,7.06,47,3.98,1,36:05,3:12,,,,,,9,18,3,16,10,62.5,1,1,100.0,28,71.4,122,2,3,26,1,88.7,,,,,,,,,,,,,,2,2,1,1,0
44,NOR_SFO_2019-12-08,NOR,2019-12-08,Sun,13,14,SFO,L 46-48,1,48,-2,94,did not cover,45.0,over,41,12,70.7,349,5,0,12.2,0.0,136.1,0,0,0.00,8.5,8.51,10.95,10.95,12.0,116,4.3,1,68,6.84,63,8.19,1,31:23,3:23,50,10,67,15,117,9,17,2,11,5,45.5,3,2,66.7,36,75.0,354,5,3,30,1,133.6,162,6.8,1,1,7,15,3,12,6,50.0,1,1,100.0,6,6,2,2,0
45,SEA_IND_2017-10-01,SEA,2017-10-01,Sun,4,4,IND,W 46-18,1,18,28,64,,,,26,5,80.8,283,2,2,7.7,7.7,107.5,3,12,10.34,10.9,9.76,8.96,8.03,13.5,194,5.9,2,62,7.69,57,4.16,2,32:12,3:14,45,5,31,11,76,9,11,2,15,10,66.7,1,1,100.0,,,,,,,,,98,3.9,1,,6,8,2,14,6,42.9,0,0,,1,1,1,1,1
46,LAR_IND_2017-09-10,LAR,2017-09-10,Sun,1,1,IND,W 46-9,1,9,37,55,covered,41.5,over,30,8,73.3,310,1,0,3.3,0.0,118.5,1,8,3.23,10.3,10.00,11.00,10.65,14.1,63,1.9,2,64,5.83,49,4.59,1,34:25,2:59,50,4,20,11,70,5,13,1,14,5,35.7,0,0,,,,,,,,,,75,3.1,1,,,,,,,,,,,,,,,
47,DET_SEA_2022-10-02,DET,2022-10-02,Sun,4,4,SEA,L 45-48,1,48,-3,93,did not cover,48.0,over,40,13,67.5,375,4,1,10.0,2.5,121.2,1,9,2.44,9.4,9.15,10.25,10.00,13.9,145,5.8,2,66,7.88,63,8.81,2,26:54,3:29,59,11,76,19,135,6,19,2,10,4,40.0,3,3,100.0,30,76.7,320,2,0,0,0,132.6,235,7.1,3,1,12,14,1,12,9,75.0,0,0,,6,6,3,2,0
48,GNB_CHI_2021-12-12,GNB,2021-12-12,Sun,13,14,CHI,W 45-30,1,30,15,75,,,,37,8,78.4,320,4,0,10.8,0.0,141.1,3,21,7.50,8.6,8.00,10.81,10.00,11.0,119,5.0,1,64,6.86,58,5.98,0,35:00,3:16,,,,,,7,19,1,10,4,40.0,1,1,100.0,33,54.5,210,2,2,14,2,69.0,137,6.0,0,3,7,7,2,13,5,38.5,1,0,0.0,3,3,3,3,0
49,NWE_CLE_2021-11-14,NWE,2021-11-14,Sun,10,10,CLE,W 45-7,1,7,38,52,covered,45.0,over,26,4,84.6,268,4,0,15.4,0.0,151.6,2,15,7.14,10.3,9.57,13.38,12.43,12.2,184,5.4,2,62,7.29,58,3.74,0,34:02,2:56,46,6,42,12,88,10,17,3,9,7,77.8,0,0,,33,57.6,118,1,5,36,1,62.4,99,5.0,0,,4,12,1,11,1,9.1,4,2,50.0,1,1,0,0,0
