Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,game_id
CLE,2020-10-04,40,Sun,4,4,@,DAL,W 49-38,40,307,7.7,3,CLE_DAL_2020-10-04
MIN,2020-10-04,40,Sun,4,4,@,HOU,W 31-23,40,162,4.1,3,MIN_HOU_2020-10-04
IND,2020-09-20,40,Sun,2,2,,MIN,W 28-11,40,151,3.8,1,IND_MIN_2020-09-20
LAR,2020-09-13,40,Sun,1,1,,DAL,W 20-17,40,153,3.8,2,LAR_DAL_2020-09-13
ARI,2019-12-22,40,Sun,15,16,@,SEA,W 27-13,40,253,6.3,2,ARI_SEA_2019-12-22
BAL,2019-12-22,40,Sun,15,16,@,CLE,W 31-15,40,243,6.1,1,BAL_CLE_2019-12-22
CIN,2019-11-10,40,Sun,9,10,,BAL,L 13-49,40,157,3.9,0,CIN_BAL_2019-11-10
SFO,2019-10-07,40,Mon,4,5,,CLE,W 31-3,40,275,6.9,2,SFO_CLE_2019-10-07
BAL,2019-10-06,40,Sun,5,5,@,PIT,W 26-23 (OT),40,138,3.5,1,BAL_PIT_2019-10-06
SFO,2019-09-22,40,Sun,3,3,,PIT,W 24-20,40,168,4.2,2,SFO_PIT_2019-09-22
MIN,2018-12-16,40,Sun,14,15,,MIA,W 41-17,40,220,5.5,3,MIN_MIA_2018-12-16
BAL,2018-12-09,40,Sun,13,14,@,KAN,L 24-27 (OT),40,194,4.9,1,BAL_KAN_2018-12-09
IND,2018-10-28,40,Sun,8,8,@,OAK,W 42-28,40,222,5.6,2,IND_OAK_2018-10-28
NWE,2018-09-30,40,Sun,4,4,,MIA,W 38-7,40,175,4.4,2,NWE_MIA_2018-09-30
TEN,2023-01-07,39,Sat,17,18,@,JAX,L 16-20,39,147,3.8,0,TEN_JAX_2023-01-07
DET,2023-01-01,39,Sun,16,17,,CHI,W 41-10,39,265,6.8,2,DET_CHI_2023-01-01
NOR,2022-12-24,39,Sat,15,16,@,CLE,W 17-10,39,152,3.9,2,NOR_CLE_2022-12-24
JAX,2022-12-22,39,Thu,15,16,@,NYJ,W 19-3,39,147,3.8,1,JAX_NYJ_2022-12-22
ATL,2022-12-18,39,Sun,14,15,@,NOR,L 18-21,39,231,5.9,2,ATL_NOR_2022-12-18
DAL,2022-11-24,39,Thu,11,12,,NYG,W 28-20,39,169,4.3,2,DAL_NYG_2022-11-24
GNB,2022-11-13,39,Sun,10,10,,DAL,W 31-28 (OT),39,207,5.3,1,GNB_DAL_2022-11-13
CIN,2022-11-06,39,Sun,9,9,,CAR,W 42-21,39,241,6.2,5,CIN_CAR_2022-11-06
NYG,2022-10-23,39,Sun,7,7,@,JAX,W 23-17,39,236,6.1,1,NYG_JAX_2022-10-23
PHI,2022-10-16,39,Sun,6,6,,DAL,W 26-17,39,136,3.5,1,PHI_DAL_2022-10-16
CLE,2022-09-11,39,Sun,1,1,@,CAR,W 26-24,39,217,5.6,1,CLE_CAR_2022-09-11
PHI,2022-09-11,39,Sun,1,1,@,DET,W 38-35,39,216,5.5,4,PHI_DET_2022-09-11
IND,2021-12-18,39,Sat,14,15,,NWE,W 27-17,39,226,5.8,1,IND_NWE_2021-12-18
LAC,2021-12-16,39,Thu,14,15,,KAN,L 28-34 (OT),39,192,4.9,2,LAC_KAN_2021-12-16
DEN,2021-12-12,39,Sun,13,14,,DET,W 38-10,39,184,4.7,3,DEN_DET_2021-12-12
SFO,2021-11-28,39,Sun,11,12,,MIN,W 34-26,39,208,5.3,3,SFO_MIN_2021-11-28
MIA,2021-11-28,39,Sun,12,12,,CAR,W 33-10,39,111,2.8,2,MIA_CAR_2021-11-28
TEN,2021-11-28,39,Sun,12,12,@,NWE,L 13-36,39,270,6.9,1,TEN_NWE_2021-11-28
PHI,2021-11-14,39,Sun,10,10,@,DEN,W 30-13,39,216,5.5,0,PHI_DEN_2021-11-14
DET,2021-11-14,39,Sun,9,10,@,PIT,T 16-16 (OT),39,229,5.9,2,DET_PIT_2021-11-14
NWE,2021-11-07,39,Sun,9,9,@,CAR,W 24-6,39,151,3.9,1,NWE_CAR_2021-11-07
ARI,2021-11-07,39,Sun,9,9,@,SFO,W 31-17,39,163,4.2,3,ARI_SFO_2021-11-07
PHI,2021-11-07,39,Sun,9,9,,LAC,L 24-27,39,176,4.5,2,PHI_LAC_2021-11-07
NWE,2021-10-31,39,Sun,8,8,@,LAC,W 27-24,39,142,3.6,1,NWE_LAC_2021-10-31
DAL,2021-10-10,39,Sun,5,5,,NYG,W 44-20,39,201,5.2,1,DAL_NYG_2021-10-10
NOR,2021-10-03,39,Sun,4,4,,NYG,L 21-27 (OT),39,170,4.4,2,NOR_NYG_2021-10-03
CHI,2021-10-03,39,Sun,4,4,,DET,W 24-14,39,188,4.8,3,CHI_DET_2021-10-03
NOR,2021-09-12,39,Sun,1,1,,GNB,W 38-3,39,171,4.4,0,NOR_GNB_2021-09-12
GNB,2020-11-29,39,Sun,11,12,,CHI,W 41-25,39,182,4.7,1,GNB_CHI_2020-11-29
NWE,2020-11-15,39,Sun,9,10,,BAL,W 23-17,39,173,4.4,1,NWE_BAL_2020-11-15
IND,2020-11-01,39,Sun,7,8,@,DET,W 41-21,39,119,3.1,2,IND_DET_2020-11-01
WAS,2020-10-25,39,Sun,7,7,,DAL,W 25-3,39,208,5.3,1,WAS_DAL_2020-10-25
DET,2020-10-18,39,Sun,5,6,@,JAX,W 34-16,39,180,4.6,3,DET_JAX_2020-10-18
LAR,2020-09-20,39,Sun,2,2,@,PHI,W 37-19,39,191,4.9,2,LAR_PHI_2020-09-20
LAC,2020-09-13,39,Sun,1,1,@,CIN,W 16-13,39,155,4.0,1,LAC_CIN_2020-09-13
CIN,2019-12-29,39,Sun,16,17,,CLE,W 33-23,39,179,4.6,3,CIN_CLE_2019-12-29
TEN,2019-12-29,39,Sun,16,17,@,HOU,W 35-14,39,245,6.3,3,TEN_HOU_2019-12-29
MIN,2019-12-08,39,Sun,13,14,,DET,W 20-7,39,120,3.1,1,MIN_DET_2019-12-08
IND,2019-11-21,39,Thu,11,12,@,HOU,L 17-20,39,175,4.5,2,IND_HOU_2019-11-21
BUF,2019-11-03,39,Sun,8,9,,WAS,W 24-9,39,122,3.1,2,BUF_WAS_2019-11-03
SFO,2019-10-20,39,Sun,6,7,@,WAS,W 9-0,39,137,3.5,0,SFO_WAS_2019-10-20
OAK,2019-10-06,39,Sun,5,5,,CHI,W 24-21,39,169,4.3,3,OAK_CHI_2019-10-06
IND,2018-12-16,39,Sun,14,15,,DAL,W 23-0,39,178,4.6,2,IND_DAL_2018-12-16
NWE,2018-12-02,39,Sun,12,13,,MIN,W 24-10,39,160,4.1,2,NWE_MIN_2018-12-02
HOU,2018-12-02,39,Sun,12,13,,CLE,W 29-13,39,187,4.8,0,HOU_CLE_2018-12-02
JAX,2018-11-25,39,Sun,11,12,@,BUF,L 21-24,39,226,5.8,2,JAX_BUF_2018-11-25
CHI,2018-11-18,39,Sun,10,11,,MIN,W 25-20,39,148,3.8,0,CHI_MIN_2018-11-18
NOR,2018-10-21,39,Sun,6,7,@,BAL,W 24-23,39,134,3.4,1,NOR_BAL_2018-10-21
LAR,2018-10-14,39,Sun,6,6,@,DEN,W 23-20,39,270,6.9,2,LAR_DEN_2018-10-14
SEA,2018-09-23,39,Sun,3,3,,DAL,W 24-13,39,113,2.9,1,SEA_DAL_2018-09-23
MIN,2023-01-08,38,Sun,17,18,@,CHI,W 29-13,38,141,3.7,2,MIN_CHI_2023-01-08
SEA,2023-01-01,38,Sun,16,17,,NYJ,W 23-6,38,198,5.2,0,SEA_NYJ_2023-01-01
LVR,2022-12-08,38,Thu,13,14,@,LAR,L 16-17,38,165,4.3,1,LVR_LAR_2022-12-08
CLE,2022-12-04,38,Sun,12,13,@,HOU,W 27-14,38,174,4.6,0,CLE_HOU_2022-12-04
WAS,2022-10-23,38,Sun,7,7,,GNB,W 23-21,38,166,4.4,0,WAS_GNB_2022-10-23
LVR,2022-10-02,38,Sun,4,4,,DEN,W 32-23,38,212,5.6,2,LVR_DEN_2022-10-02
CLE,2022-09-22,38,Thu,3,3,,PIT,W 29-17,38,171,4.5,1,CLE_PIT_2022-09-22
GNB,2022-09-18,38,Sun,2,2,,CHI,W 27-10,38,203,5.3,1,GNB_CHI_2022-09-18
