Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,game_id
SEA,2018-10-07,23,Sun,5,5,,LAR,L 31-33,23,32,71.9,313,1,1,8,2,87.1,SEA_LAR_2018-10-07
LAC,2018-09-30,23,Sun,4,4,,SFO,W 29-27,23,37,62.2,288,2,1,10,2,81.8,LAC_SFO_2018-09-30
MIA,2018-09-30,23,Sun,4,4,@,NWE,L 7-38,23,35,65.7,274,3,0,0,2,94.2,MIA_NWE_2018-09-30
BUF,2018-09-16,23,Sun,2,2,,LAC,L 20-31,23,27,85.2,240,3,2,16,0,140.7,BUF_LAC_2018-09-16
CAR,2018-09-16,23,Sun,2,2,@,ATL,L 24-31,23,28,82.1,272,2,0,0,1,116.1,CAR_ATL_2018-09-16
PIT,2018-09-16,23,Sun,2,2,,KAN,L 37-42,23,28,82.1,322,6,1,4,0,154.2,PIT_KAN_2018-09-16
JAX,2018-09-09,23,Sun,1,1,@,NYG,W 20-15,23,37,62.2,210,0,2,14,1,66.3,JAX_NYG_2018-09-09
GNB,2018-09-09,23,Sun,1,1,,CHI,W 24-23,23,35,65.7,155,0,4,16,0,75.3,GNB_CHI_2018-09-09
CLE,2018-09-09,23,Sun,1,1,,PIT,T 21-21 (OT),23,41,56.1,313,1,4,22,3,58.3,CLE_PIT_2018-09-09
BAL,2017-12-31,23,Sun,16,17,,CIN,L 27-31,23,44,52.3,213,3,1,9,0,88.5,BAL_CIN_2017-12-31
CLE,2017-12-31,23,Sun,16,17,@,PIT,L 24-28,23,27,85.2,224,1,3,15,1,98.1,CLE_PIT_2017-12-31
DAL,2017-12-31,23,Sun,16,17,@,PHI,W 6-0,23,34,67.6,149,0,3,24,1,64.5,DAL_PHI_2017-12-31
SFO,2017-12-17,23,Sun,14,15,,TEN,W 25-23,23,33,69.7,238,2,1,3,0,110.4,SFO_TEN_2017-12-17
LAC,2017-12-16,23,Sat,14,15,@,KAN,L 13-30,23,30,76.7,223,2,1,8,0,119.2,LAC_KAN_2017-12-16
DET,2017-12-03,23,Sun,12,13,@,BAL,L 20-44,23,36,63.9,269,2,0,0,0,105.0,DET_BAL_2017-12-03
BUF,2017-11-26,23,Sun,11,12,@,KAN,W 16-10,23,36,63.9,181,1,2,18,1,74.0,BUF_KAN_2017-11-26
NWE,2017-11-26,23,Sun,11,12,,MIA,W 35-17,23,34,67.6,154,1,7,61,2,62.6,NWE_MIA_2017-11-26
MIN,2017-11-19,23,Sun,10,11,,LAR,W 24-7,23,37,62.2,209,0,2,16,0,77.4,MIN_LAR_2017-11-19
CIN,2017-11-19,23,Sun,10,11,@,DEN,W 20-17,23,42,54.8,229,1,3,25,1,68.5,CIN_DEN_2017-11-19
TAM,2017-11-19,23,Sun,10,11,@,MIA,W 30-20,23,40,57.5,365,2,1,0,3,73.4,TAM_MIA_2017-11-19
TAM,2017-11-12,23,Sun,9,10,,NYJ,W 15-10,23,39,59.0,219,1,6,43,1,72.5,TAM_NYJ_2017-11-12
CHI,2017-10-29,23,Sun,8,8,@,NOR,L 12-20,23,28,82.1,286,0,2,13,0,109.2,CHI_NOR_2017-10-29
NWE,2017-10-22,23,Sun,7,7,,ATL,W 23-7,23,33,69.7,223,1,1,10,0,98.4,NWE_ATL_2017-10-22
IND,2017-10-16,23,Mon,6,6,@,TEN,L 22-36,23,32,71.9,305,1,1,1,1,99.1,IND_TEN_2017-10-16
LAR,2017-10-15,23,Sun,6,6,@,JAX,W 27-17,23,35,65.7,220,1,5,21,1,80.7,LAR_JAX_2017-10-15
WAS,2017-10-15,23,Sun,5,6,,SFO,W 26-24,23,47,48.9,250,1,3,29,1,63.3,WAS_SFO_2017-10-15
CAR,2017-10-08,23,Sun,5,5,@,DET,W 27-24,23,35,65.7,192,2,6,37,0,98.7,CAR_DET_2017-10-08
CLE,2017-10-08,23,Sun,5,5,,NYJ,L 14-17,23,30,76.7,178,2,3,16,1,99.0,CLE_NYJ_2017-10-08
JAX,2017-10-01,23,Sun,4,4,@,NYJ,L 20-23 (OT),23,32,71.9,215,0,5,40,1,77.0,JAX_NYJ_2017-10-01
LAR,2017-09-21,23,Thu,3,3,@,SFO,W 41-39,23,37,62.2,308,2,4,24,1,95.3,LAR_SFO_2017-09-21
MIN,2017-09-17,23,Sun,2,2,@,PIT,L 9-26,23,35,65.7,233,2,2,10,0,103.6,MIN_PIT_2017-09-17
NYJ,2017-09-17,23,Sun,2,2,@,OAK,L 20-45,23,28,82.1,230,3,0,0,0,136.6,NYJ_OAK_2017-09-17
SFO,2017-09-17,23,Sun,2,2,@,SEA,L 9-12,23,39,59.0,181,1,3,17,0,79.1,SFO_SEA_2017-09-17
PHI,2017-09-10,23,Sun,1,1,@,WAS,W 30-17,23,40,57.5,200,1,4,40,1,68.7,PHI_WAS_2017-09-10
ATL,2023-01-08,22,Sun,17,18,,TAM,W 30-17,22,34,64.7,136,2,0,0,0,92.3,ATL_TAM_2023-01-08
KAN,2023-01-07,22,Sat,17,18,@,LVR,W 31-13,22,36,61.1,180,1,6,39,1,71.5,KAN_LVR_2023-01-07
HOU,2023-01-01,22,Sun,16,17,,JAX,L 3-31,22,29,75.9,168,0,2,13,2,60.7,HOU_JAX_2023-01-01
GNB,2023-01-01,22,Sun,16,17,,MIN,W 41-17,22,35,62.9,244,2,2,18,3,66.8,GNB_MIN_2023-01-01
LVR,2023-01-01,22,Sun,16,17,,SFO,L 34-37 (OT),22,35,62.9,284,2,0,0,1,95.4,LVR_SFO_2023-01-01
BAL,2022-12-24,22,Sat,15,16,,ATL,W 17-9,22,33,66.7,212,0,2,6,0,84.4,BAL_ATL_2022-12-24
LAR,2022-12-19,22,Mon,14,15,@,GNB,L 12-24,22,30,73.3,207,1,3,22,1,89.2,LAR_GNB_2022-12-19
CHI,2022-12-18,22,Sun,14,15,,PHI,L 20-25,22,37,59.5,309,0,1,6,2,63.9,CHI_PHI_2022-12-18
BAL,2022-12-11,22,Sun,13,14,@,PIT,W 16-14,22,31,71.0,264,1,2,12,3,67.9,BAL_PIT_2022-12-11
LVR,2022-12-08,22,Thu,13,14,@,LAR,L 16-17,22,35,62.9,211,1,4,19,0,89.1,LVR_LAR_2022-12-08
BUF,2022-12-01,22,Thu,12,13,@,NWE,W 24-10,22,36,61.1,182,1,1,13,0,83.3,BUF_NWE_2022-12-01
NWE,2022-12-01,22,Thu,12,13,,BUF,L 10-24,22,33,66.7,223,2,2,0,0,106.0,NWE_BUF_2022-12-01
PIT,2022-11-28,22,Mon,11,12,@,IND,W 24-17,22,34,64.7,180,1,3,19,1,75.6,PIT_IND_2022-11-28
TEN,2022-11-27,22,Sun,11,12,,CIN,L 16-20,22,37,59.5,266,1,1,4,0,90.6,TEN_CIN_2022-11-27
CHI,2022-11-27,22,Sun,12,12,@,NYJ,L 10-31,22,29,75.9,308,3,1,7,0,144.0,CHI_NYJ_2022-11-27
CIN,2022-11-27,22,Sun,11,12,@,TEN,W 20-16,22,34,64.7,281,0,1,10,0,90.4,CIN_TEN_2022-11-27
LAR,2022-11-20,22,Sun,10,11,@,NOR,L 20-27,22,28,78.6,235,3,4,39,0,137.4,LAR_NOR_2022-11-20
NYG,2022-11-13,22,Sun,9,10,,HOU,W 24-16,22,37,59.5,286,1,4,33,1,81.6,NYG_HOU_2022-11-13
SEA,2022-11-13,22,Sun,10,10,@,TAM,L 16-21,22,30,73.3,258,2,0,0,2,93.5,SEA_TAM_2022-11-13
MIA,2022-11-13,22,Sun,10,10,,CLE,W 39-17,22,35,62.9,185,1,3,27,0,86.0,MIA_CLE_2022-11-13
SFO,2022-10-30,22,Sun,8,8,@,LAR,W 31-14,22,33,66.7,167,1,2,20,0,88.8,SFO_LAR_2022-10-30
LAR,2022-10-30,22,Sun,7,8,,SFO,L 14-31,22,26,84.6,257,3,3,12,0,146.3,LAR_SFO_2022-10-30
NYG,2022-10-23,22,Sun,7,7,@,JAX,W 23-17,22,44,50.0,310,0,0,0,0,73.1,NYG_JAX_2022-10-23
BAL,2022-10-23,22,Sun,7,7,,CLE,W 23-20,22,27,81.5,223,0,5,35,0,101.1,BAL_CLE_2022-10-23
PIT,2022-10-09,22,Sun,5,5,@,BUF,L 3-38,22,36,61.1,432,4,0,0,1,128.5,PIT_BUF_2022-10-09
CLE,2022-10-09,22,Sun,5,5,,LAC,L 28-30,22,34,64.7,227,1,1,1,0,93.6,CLE_LAC_2022-10-09
ARI,2022-10-02,22,Sun,4,4,@,CAR,W 26-16,22,36,61.1,180,1,2,17,2,60.0,ARI_CAR_2022-10-02
CIN,2022-09-29,22,Thu,4,4,,MIA,W 27-15,22,37,59.5,293,1,1,10,2,71.1,CIN_MIA_2022-09-29
BAL,2022-09-25,22,Sun,3,3,@,NWE,W 37-26,22,32,68.8,302,0,3,19,3,59.6,BAL_NWE_2022-09-25
WAS,2022-09-25,22,Sun,3,3,,PHI,L 8-24,22,35,62.9,328,3,3,12,0,122.1,WAS_PHI_2022-09-25
CAR,2022-09-18,22,Sun,2,2,@,NYG,L 16-19,22,34,64.7,162,1,3,14,0,85.7,CAR_NYG_2022-09-18
NYJ,2022-09-18,22,Sun,2,2,@,CLE,W 31-30,22,27,81.5,221,1,1,8,1,97.7,NYJ_CLE_2022-09-18
LAC,2022-09-11,22,Sun,1,1,,LVR,W 24-19,22,37,59.5,256,2,6,39,3,64.7,LAC_LVR_2022-09-11
GNB,2022-01-09,22,Sun,17,18,@,DET,L 30-37,22,32,68.8,305,3,1,8,0,130.3,GNB_DET_2022-01-09
PHI,2022-01-08,22,Sat,17,18,,DAL,L 26-51,22,28,78.6,304,5,1,1,0,151.5,PHI_DAL_2022-01-08
SEA,2022-01-02,22,Sun,16,17,,DET,W 51-29,22,37,59.5,262,2,0,0,3,65.4,SEA_DET_2022-01-02
DEN,2022-01-02,22,Sun,16,17,@,LAC,L 13-34,22,31,71.0,237,2,0,0,0,114.6,DEN_LAC_2022-01-02
TAM,2021-12-26,22,Sun,15,16,@,CAR,W 32-6,22,45,48.9,206,0,7,45,1,52.6,TAM_CAR_2021-12-26
SFO,2021-12-23,22,Thu,15,16,@,TEN,L 17-20,22,30,73.3,188,1,4,21,0,100.4,SFO_TEN_2021-12-23
HOU,2021-12-19,22,Sun,14,15,@,JAX,W 30-16,22,38,57.9,189,0,3,21,0,71.1,HOU_JAX_2021-12-19
KAN,2021-12-16,22,Thu,14,15,@,LAC,W 34-28 (OT),22,39,56.4,236,2,0,0,1,80.7,KAN_LAC_2021-12-16
BAL,2021-12-12,22,Sun,13,14,@,CLE,L 22-24,22,32,68.8,190,2,0,0,1,91.9,BAL_CLE_2021-12-12
WAS,2021-12-12,22,Sun,13,14,,DAL,L 20-27,22,39,56.4,201,1,4,10,2,57.7,WAS_DAL_2021-12-12
KAN,2021-12-05,22,Sun,12,13,,DEN,W 22-9,22,40,55.0,250,1,1,7,2,61.5,KAN_DEN_2021-12-05
PHI,2021-11-21,22,Sun,11,11,,NOR,W 40-29,22,40,55.0,214,3,0,0,2,74.4,PHI_NOR_2021-11-21
ATL,2021-11-18,22,Thu,10,11,,NWE,L 0-25,22,26,84.6,174,1,3,33,1,91.3,ATL_NWE_2021-11-18
JAX,2021-11-14,22,Sun,9,10,@,IND,L 17-23,22,34,64.7,168,0,1,12,0,76.6,JAX_IND_2021-11-14
PHI,2021-11-14,22,Sun,10,10,@,DEN,W 30-13,22,36,61.1,212,0,1,14,0,77.5,PHI_DEN_2021-11-14
CLE,2021-11-14,22,Sun,10,10,@,NWE,L 7-45,22,26,84.6,268,4,2,15,0,149.2,CLE_NWE_2021-11-14
NYJ,2021-11-04,22,Thu,8,9,@,IND,L 30-45,22,30,73.3,272,3,1,0,0,134.3,NYJ_IND_2021-11-04
NYJ,2021-10-31,22,Sun,7,8,,CIN,W 34-31,22,35,62.9,277,3,3,28,1,104.1,NYJ_CIN_2021-10-31
TAM,2021-10-31,22,Sun,8,8,@,NOR,L 27-36,22,39,56.4,209,2,1,6,0,88.5,TAM_NOR_2021-10-31
CLE,2021-10-31,22,Sun,8,8,,PIT,L 10-15,22,35,62.9,255,1,2,11,0,94.3,CLE_PIT_2021-10-31
HOU,2021-10-31,22,Sun,8,8,,LAR,L 22-38,22,34,64.7,302,3,1,8,0,122.4,HOU_LAR_2021-10-31
GNB,2021-10-28,22,Thu,8,8,@,ARI,W 24-21,22,33,66.7,260,0,2,14,2,65.2,GNB_ARI_2021-10-28
ARI,2021-10-28,22,Thu,8,8,,GNB,L 21-24,22,37,59.5,184,2,1,0,0,90.4,ARI_GNB_2021-10-28
TAM,2021-10-24,22,Sun,7,7,,CHI,W 38-3,22,32,68.8,168,0,4,16,3,42.2,TAM_CHI_2021-10-24
KAN,2021-10-24,22,Sun,7,7,@,TEN,L 3-27,22,28,78.6,266,2,1,9,1,115.2,KAN_TEN_2021-10-24
CHI,2021-10-24,22,Sun,7,7,@,TAM,L 3-38,22,39,56.4,226,4,0,0,0,107.4,CHI_TAM_2021-10-24
NYG,2021-10-17,22,Sun,6,6,,LAR,L 11-38,22,30,73.3,234,4,2,17,2,107.5,NYG_LAR_2021-10-17
BAL,2021-10-17,22,Sun,6,6,,LAC,W 34-6,22,39,56.4,182,1,2,13,1,66.4,BAL_LAC_2021-10-17
SFO,2021-10-10,22,Sun,5,5,@,ARI,L 10-17,22,31,71.0,210,1,2,29,0,100.2,SFO_ARI_2021-10-10
CAR,2021-10-10,22,Sun,5,5,,PHI,L 18-21,22,37,59.5,182,0,2,16,1,60.9,CAR_PHI_2021-10-10
CHI,2021-10-10,22,Sun,5,5,@,LVR,W 20-9,22,35,62.9,188,0,3,18,1,64.9,CHI_LVR_2021-10-10
DEN,2021-10-03,22,Sun,4,4,,BAL,L 7-23,22,37,59.5,304,1,3,12,0,94.9,DEN_BAL_2021-10-03
NWE,2021-10-03,22,Sun,4,4,,TAM,L 17-19,22,43,51.2,261,0,1,8,0,70.0,NWE_TAM_2021-10-03
BAL,2021-09-26,22,Sun,3,3,@,DET,W 19-17,22,31,71.0,192,0,2,25,0,87.0,BAL_DET_2021-09-26
ARI,2021-09-26,22,Sun,3,3,@,JAX,W 31-19,22,34,64.7,202,1,3,17,2,66.1,ARI_JAX_2021-09-26
DET,2021-09-20,22,Mon,2,2,@,GNB,L 17-35,22,27,81.5,227,4,3,28,0,141.3,DET_GNB_2021-09-20
LAR,2021-09-19,22,Sun,2,2,@,IND,W 27-24,22,36,61.1,245,1,3,27,2,67.5,LAR_IND_2021-09-19
ARI,2021-09-19,22,Sun,2,2,,MIN,W 34-33,22,32,68.8,242,3,1,2,0,122.1,ARI_MIN_2021-09-19
NYJ,2021-09-19,22,Sun,2,2,,NWE,L 6-25,22,30,73.3,159,0,3,27,0,85.3,NYJ_NWE_2021-09-19
TEN,2021-09-19,22,Sun,2,2,@,SEA,W 33-30 (OT),22,31,71.0,320,2,3,23,0,125.7,TEN_SEA_2021-09-19
PHI,2021-09-19,22,Sun,2,2,,SFO,L 11-17,22,30,73.3,189,1,0,0,0,100.6,PHI_SFO_2021-09-19
WAS,2021-09-16,22,Thu,2,2,,NYG,W 30-29,22,32,68.8,228,1,4,21,0,99.5,WAS_NYG_2021-09-16
DEN,2021-09-12,22,Sun,1,1,@,NYG,W 27-13,22,37,59.5,254,1,2,13,0,89.2,DEN_NYG_2021-09-12
ARI,2021-09-12,22,Sun,1,1,@,TEN,W 38-13,22,36,61.1,162,1,6,56,1,69.4,ARI_TEN_2021-09-12
CAR,2021-01-03,22,Sun,16,17,,NOR,L 7-33,22,32,68.8,191,3,2,10,0,115.5,CAR_NOR_2021-01-03
NYJ,2021-01-03,22,Sun,16,17,@,NWE,L 14-28,22,31,71.0,238,4,3,23,0,132.8,NYJ_NWE_2021-01-03
ARI,2021-01-03,22,Sun,16,17,@,LAR,L 7-18,22,38,57.9,223,0,2,8,1,63.8,ARI_LAR_2021-01-03
KAN,2021-01-03,22,Sun,16,17,,LAC,L 21-38,22,31,71.0,281,3,3,21,0,131.2,KAN_LAC_2021-01-03
PHI,2021-01-03,22,Sun,16,17,,WAS,L 14-20,22,32,68.8,145,2,3,17,2,73.0,PHI_WAS_2021-01-03
PHI,2020-12-27,22,Sun,15,16,@,DAL,L 17-37,22,30,73.3,362,3,2,15,1,132.9,PHI_DAL_2020-12-27
HOU,2020-12-20,22,Sun,14,15,@,IND,L 20-27,22,29,75.9,223,2,1,5,0,120.3,HOU_IND_2020-12-20
BAL,2020-12-20,22,Sun,14,15,,JAX,W 40-14,22,29,75.9,205,2,5,21,0,117.7,BAL_JAX_2020-12-20
LAR,2020-12-20,22,Sun,14,15,,NYJ,L 20-23,22,31,71.0,196,1,2,11,0,98.3,LAR_NYJ_2020-12-20
NYJ,2020-12-20,22,Sun,14,15,@,LAR,W 23-20,22,34,64.7,189,2,3,20,1,86.5,NYJ_LAR_2020-12-20
LVR,2020-12-17,22,Thu,14,15,,LAC,L 27-30 (OT),22,32,68.8,306,2,1,8,0,120.1,LVR_LAC_2020-12-17
LAC,2020-12-13,22,Sun,13,14,,ATL,W 20-17,22,33,66.7,249,2,2,14,3,71.4,LAC_ATL_2020-12-13
PHI,2020-11-30,22,Mon,11,12,,SEA,L 17-23,22,31,71.0,225,1,2,5,0,102.2,PHI_SEA_2020-11-30
LVR,2020-11-29,22,Sun,11,12,@,ATL,L 6-43,22,39,56.4,179,2,1,6,1,74.6,LVR_ATL_2020-11-29
CIN,2020-11-29,22,Sun,11,12,,NYG,L 17-19,22,38,57.9,244,0,0,0,0,77.1,CIN_NYG_2020-11-29
MIN,2020-11-22,22,Sun,10,11,,DAL,L 28-31,22,32,68.8,196,3,1,7,1,103.1,MIN_DAL_2020-11-22
DAL,2020-11-22,22,Sun,10,11,@,MIN,W 31-28,22,30,73.3,305,3,2,9,0,138.9,DAL_MIN_2020-11-22
BUF,2020-11-15,22,Sun,10,10,@,ARI,L 30-32,22,32,68.8,236,1,3,9,1,87.5,BUF_ARI_2020-11-15
LAR,2020-11-15,22,Sun,9,10,,SEA,W 23-16,22,37,59.5,220,0,6,28,2,53.9,LAR_SEA_2020-11-15
NOR,2020-11-08,22,Sun,8,9,@,TAM,W 38-3,22,38,57.9,186,0,3,23,3,37.8,NOR_TAM_2020-11-08
GNB,2020-11-05,22,Thu,8,9,@,SFO,W 34-17,22,35,62.9,282,1,1,9,1,85.7,GNB_SFO_2020-11-05
IND,2020-10-11,22,Sun,5,5,@,CLE,L 23-32,22,38,57.9,261,2,1,4,2,74.6,IND_CLE_2020-10-11
LVR,2020-10-11,22,Sun,5,5,@,KAN,W 40-32,22,43,51.2,333,2,3,7,1,82.8,LVR_KAN_2020-10-11
SFO,2020-10-11,22,Sun,5,5,,MIA,L 17-43,22,28,78.6,342,3,2,8,0,153.3,SFO_MIA_2020-10-11
KAN,2020-10-11,22,Sun,5,5,,LVR,L 32-40,22,31,71.0,346,3,1,1,1,126.5,KAN_LVR_2020-10-11
LAC,2020-09-27,22,Sun,3,3,,CAR,L 16-21,22,28,78.6,221,1,2,14,0,111.5,LAC_CAR_2020-09-27
ARI,2020-09-27,22,Sun,3,3,,DET,L 23-26,22,31,71.0,232,2,4,38,0,113.9,ARI_DET_2020-09-27
KAN,2020-09-20,22,Sun,2,2,@,LAC,W 23-20 (OT),22,33,66.7,296,1,2,15,1,92.5,KAN_LAC_2020-09-20
NYJ,2020-09-20,22,Sun,2,2,,SFO,L 13-31,22,27,81.5,177,2,3,25,1,103.2,NYJ_SFO_2020-09-20
TEN,2020-09-14,22,Mon,1,1,@,DEN,W 16-14,22,33,66.7,216,1,0,0,0,95.0,TEN_DEN_2020-09-14
LVR,2020-09-13,22,Sun,1,1,@,CAR,W 34-30,22,34,64.7,259,1,1,10,0,97.5,LVR_CAR_2020-09-13
CAR,2020-09-13,22,Sun,1,1,,LVR,L 30-34,22,30,73.3,239,1,0,0,0,107.5,CAR_LVR_2020-09-13
JAX,2019-12-15,22,Sun,14,15,@,OAK,W 20-16,22,36,61.1,236,1,4,31,0,89.6,JAX_OAK_2019-12-15
ATL,2019-12-15,22,Sun,14,15,@,SFO,W 29-22,22,34,64.7,193,1,1,7,0,89.5,ATL_SFO_2019-12-15
HOU,2019-12-15,22,Sun,14,15,@,TEN,W 24-21,22,37,59.5,269,2,2,10,1,88.7,HOU_TEN_2019-12-15
HOU,2019-12-08,22,Sun,13,14,,DEN,L 24-38,22,27,81.5,301,3,1,8,1,134.7,HOU_DEN_2019-12-08
SEA,2019-12-08,22,Sun,13,14,@,LAR,L 12-28,22,32,68.8,293,2,0,0,2,92.3,SEA_LAR_2019-12-08
LAR,2019-12-08,22,Sun,13,14,,SEA,W 28-12,22,36,61.1,202,0,5,43,1,64.8,LAR_SEA_2019-12-08
SEA,2019-12-02,22,Mon,12,13,,MIN,W 37-30,22,38,57.9,276,2,0,0,1,87.2,SEA_MIN_2019-12-02
NYJ,2019-12-01,22,Sun,12,13,@,CIN,L 6-22,22,37,59.5,233,1,1,10,0,86.9,NYJ_CIN_2019-12-01
CHI,2019-11-28,22,Thu,12,13,@,DET,W 24-20,22,38,57.9,259,2,2,21,1,85.3,CHI_DET_2019-11-28
CAR,2019-11-17,22,Sun,10,11,,ATL,L 3-29,22,32,68.8,295,1,3,19,0,108.2,CAR_ATL_2019-11-17
CLE,2019-11-10,22,Sun,9,10,,BUF,W 19-16,22,41,53.7,260,0,1,6,0,73.2,CLE_BUF_2019-11-10
LAR,2019-11-10,22,Sun,9,10,@,PIT,L 12-17,22,38,57.9,231,1,3,11,0,84.4,LAR_PIT_2019-11-10
PIT,2019-11-10,22,Sun,9,10,,LAR,W 17-12,22,42,52.4,218,0,4,25,3,37.6,PIT_LAR_2019-11-10
NYG,2019-11-04,22,Mon,9,9,,DAL,L 18-37,22,35,62.9,257,3,0,0,1,101.7,NYG_DAL_2019-11-04
JAX,2019-11-03,22,Sun,9,9,,HOU,L 3-26,22,28,78.6,194,2,1,7,0,119.3,JAX_HOU_2019-11-03
NYJ,2019-10-27,22,Sun,7,8,@,JAX,L 15-29,22,34,64.7,278,3,2,1,0,119.5,NYJ_JAX_2019-10-27
LAR,2019-10-20,22,Sun,7,7,@,ATL,W 37-10,22,33,66.7,186,1,5,38,1,78.6,LAR_ATL_2019-10-20
JAX,2019-10-20,22,Sun,7,7,@,CIN,W 27-17,22,43,51.2,258,1,2,18,3,48.4,JAX_CIN_2019-10-20
ARI,2019-10-20,22,Sun,7,7,@,NYG,W 27-21,22,35,62.9,156,1,8,67,1,70.7,ARI_NYG_2019-10-20
SEA,2019-10-13,22,Sun,6,6,@,CLE,W 32-28,22,37,59.5,249,1,0,0,3,54.9,SEA_CLE_2019-10-13
PHI,2019-10-13,22,Sun,6,6,@,MIN,L 20-38,22,29,75.9,325,4,1,8,1,137.2,PHI_MIN_2019-10-13
OAK,2019-10-06,22,Sun,5,5,,CHI,W 24-21,22,30,73.3,194,2,4,37,2,84.6,OAK_CHI_2019-10-06
DAL,2019-10-06,22,Sun,5,5,,GNB,L 24-34,22,34,64.7,215,0,2,23,0,82.4,DAL_GNB_2019-10-06
IND,2019-10-06,22,Sun,5,5,@,KAN,W 19-13,22,39,56.4,288,1,4,33,0,88.4,IND_KAN_2019-10-06
NYG,2019-10-06,22,Sun,5,5,,MIN,L 10-28,22,27,81.5,279,2,3,27,0,134.4,NYG_MIN_2019-10-06
NWE,2019-09-29,22,Sun,4,4,@,BUF,W 16-10,22,44,50.0,240,0,5,40,4,28.6,NWE_BUF_2019-09-29
SEA,2019-09-29,22,Sun,4,4,@,ARI,W 27-10,22,32,68.8,206,0,4,35,1,73.2,SEA_ARI_2019-09-29
NOR,2019-09-29,22,Sun,4,4,,DAL,W 12-10,22,33,66.7,212,0,1,11,1,71.8,NOR_DAL_2019-09-29
JAX,2019-09-29,22,Sun,4,4,@,DEN,W 26-24,22,38,57.9,303,3,0,0,1,98.9,JAX_DEN_2019-09-29
ARI,2019-09-29,22,Sun,4,4,,SEA,L 10-27,22,28,78.6,225,1,4,15,0,112.1,ARI_SEA_2019-09-29
KAN,2019-09-22,22,Sun,3,3,,BAL,W 33-28,22,43,51.2,249,0,3,18,0,68.8,KAN_BAL_2019-09-22
LAC,2019-09-15,22,Sun,2,2,@,DET,L 10-13,22,30,73.3,245,2,0,0,2,91.7,LAC_DET_2019-09-15
MIN,2019-09-15,22,Sun,2,2,@,GNB,L 16-21,22,34,64.7,191,2,2,18,0,99.0,MIN_GNB_2019-09-15
DEN,2019-09-09,22,Mon,1,1,@,OAK,L 16-24,22,26,84.6,259,1,0,0,0,121.0,DEN_OAK_2019-09-09
ATL,2018-12-30,22,Sun,16,17,@,TAM,W 34-32,22,35,62.9,341,4,1,4,1,121.3,ATL_TAM_2018-12-30
CHI,2018-12-23,22,Sun,15,16,@,SFO,W 14-9,22,38,57.9,232,0,1,9,1,64.8,CHI_SFO_2018-12-23
ARI,2018-12-16,22,Sun,14,15,@,ATL,L 14-40,22,36,61.1,220,2,2,11,0,97.0,ARI_ATL_2018-12-16
BUF,2018-12-16,22,Sun,14,15,,DET,W 14-13,22,29,75.9,208,1,0,0,0,106.7,BUF_DET_2018-12-16
NWE,2018-12-16,22,Sun,14,15,@,PIT,L 10-17,22,34,64.7,218,2,2,17,2,77.8,NWE_PIT_2018-12-16
NYJ,2018-12-15,22,Sat,14,15,,HOU,L 22-29,22,28,78.6,239,2,6,55,0,126.0,NYJ_HOU_2018-12-15
DAL,2018-12-09,22,Sun,13,14,,PHI,W 29-23 (OT),22,32,68.8,222,3,2,6,0,119.5,DAL_PHI_2018-12-09
CLE,2018-12-02,22,Sun,12,13,@,HOU,L 13-29,22,31,71.0,197,1,4,27,0,98.5,CLE_HOU_2018-12-02
HOU,2018-11-26,22,Mon,11,12,,TEN,W 34-17,22,23,95.7,260,2,6,43,0,142.8,HOU_TEN_2018-11-26
CAR,2018-11-25,22,Sun,11,12,,SEA,L 27-30,22,31,71.0,322,2,2,17,0,126.0,CAR_SEA_2018-11-25
WAS,2018-11-22,22,Thu,11,12,@,DAL,L 23-31,22,31,71.0,258,2,4,31,0,117.4,WAS_DAL_2018-11-22
ATL,2018-11-18,22,Sun,10,11,,DAL,L 19-22,22,32,68.8,191,0,2,17,0,84.2,ATL_DAL_2018-11-18
KAN,2018-11-11,22,Sun,10,10,,ARI,W 26-14,22,39,56.4,166,1,5,42,2,54.0,KAN_ARI_2018-11-11
CIN,2018-11-11,22,Sun,9,10,,NOR,L 14-51,22,27,81.5,265,3,0,0,0,144.6,CIN_NOR_2018-11-11
BAL,2018-10-28,22,Sun,8,8,@,CAR,L 21-36,22,30,73.3,232,2,0,0,0,117.6,BAL_CAR_2018-10-28
PIT,2018-10-28,22,Sun,7,8,,CLE,W 33-18,22,36,61.1,163,2,2,17,1,78.8,PIT_CLE_2018-10-28
OAK,2018-10-28,22,Sun,7,8,,IND,L 28-42,22,31,71.0,239,3,0,0,0,125.6,OAK_IND_2018-10-28
HOU,2018-10-25,22,Thu,8,8,,MIA,W 42-23,22,38,57.9,254,1,2,15,1,76.0,HOU_MIA_2018-10-25
WAS,2018-10-21,22,Sun,6,7,,DAL,W 20-17,22,35,62.9,250,1,4,23,0,93.7,WAS_DAL_2018-10-21
DET,2018-10-21,22,Sun,6,7,@,MIA,W 32-21,22,31,71.0,215,2,4,24,0,111.6,DET_MIA_2018-10-21
BAL,2018-10-21,22,Sun,7,7,,NOR,L 23-24,22,30,73.3,205,2,1,7,0,113.9,BAL_NOR_2018-10-21
MIA,2018-10-14,22,Sun,6,6,,CHI,W 31-28 (OT),22,31,71.0,303,3,2,13,1,120.8,MIA_CHI_2018-10-14
