Team,Date,1stDOpp,Day,G#,Week,,Opp,Result,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,game_id
JAX,2020-10-25,29,Sun,7,7,@,LAC,L 29-39,29,9,16,4,14,6,42.9,0,0,,JAX_LAC_2020-10-25
LVR,2020-10-25,29,Sun,6,7,,TAM,L 20-45,29,5,22,2,12,7,58.3,1,1,100.0,LVR_TAM_2020-10-25
DET,2020-10-04,29,Sun,4,4,,NOR,L 29-35,29,13,15,1,14,10,71.4,1,1,100.0,DET_NOR_2020-10-04
BAL,2020-09-28,29,Mon,3,3,,KAN,L 20-34,29,5,22,2,13,10,76.9,2,0,0.0,BAL_KAN_2020-09-28
NYG,2020-09-27,29,Sun,3,3,,SFO,L 9-36,29,7,19,3,12,8,66.7,0,0,,NYG_SFO_2020-09-27
SEA,2020-09-20,29,Sun,2,2,,NWE,W 35-30,29,5,22,2,12,7,58.3,1,1,100.0,SEA_NWE_2020-09-20
SFO,2020-09-13,29,Sun,1,1,,ARI,L 20-24,29,13,12,4,14,7,50.0,0,0,,SFO_ARI_2020-09-13
MIA,2020-09-13,29,Sun,1,1,@,NWE,L 11-21,29,18,8,3,10,5,50.0,1,1,100.0,MIA_NWE_2020-09-13
CIN,2019-12-22,29,Sun,15,16,@,MIA,L 35-38 (OT),29,5,21,3,16,6,37.5,0,0,,CIN_MIA_2019-12-22
IND,2019-12-08,29,Sun,13,14,@,TAM,L 35-38,29,5,24,0,15,8,53.3,1,1,100.0,IND_TAM_2019-12-08
HOU,2019-12-01,29,Sun,12,13,,NWE,W 28-22,29,9,16,4,17,9,52.9,2,1,50.0,HOU_NWE_2019-12-01
SEA,2019-11-03,29,Sun,9,9,,TAM,W 40-34 (OT),29,7,19,3,14,6,42.9,1,1,100.0,SEA_TAM_2019-11-03
OAK,2019-10-27,29,Sun,7,8,@,HOU,L 24-27,29,7,17,5,14,6,42.9,1,1,100.0,OAK_HOU_2019-10-27
CLE,2019-10-13,29,Sun,6,6,,SEA,L 28-32,29,8,17,4,13,6,46.2,0,0,,CLE_SEA_2019-10-13
KAN,2019-09-29,29,Sun,4,4,@,DET,W 34-30,29,8,17,4,13,5,38.5,0,0,,KAN_DET_2019-09-29
DET,2019-09-29,29,Sun,4,4,,KAN,L 30-34,29,8,16,5,9,4,44.4,1,1,100.0,DET_KAN_2019-09-29
ATL,2019-09-22,29,Sun,3,3,@,IND,L 24-27,29,7,15,7,8,5,62.5,0,0,,ATL_IND_2019-09-22
KAN,2019-09-22,29,Sun,3,3,,BAL,W 33-28,29,15,14,0,13,5,38.5,4,3,75.0,KAN_BAL_2019-09-22
ATL,2018-12-23,29,Sun,15,16,@,CAR,W 24-10,29,8,19,2,14,7,50.0,2,0,0.0,ATL_CAR_2018-12-23
KAN,2018-11-19,29,Mon,11,11,@,LAR,L 51-54,29,4,21,4,14,5,35.7,1,1,100.0,KAN_LAR_2018-11-19
WAS,2018-11-11,29,Sun,9,10,@,TAM,W 16-3,29,6,22,1,10,6,60.0,0,0,,WAS_TAM_2018-11-11
LAR,2018-11-11,29,Sun,10,10,,SEA,W 36-31,29,15,9,5,9,2,22.2,1,0,0.0,LAR_SEA_2018-11-11
CIN,2018-10-28,29,Sun,8,8,,TAM,W 37-34,29,7,20,2,18,10,55.6,2,2,100.0,CIN_TAM_2018-10-28
NWE,2018-10-21,29,Sun,7,7,@,CHI,W 38-31,29,7,18,4,16,8,50.0,1,1,100.0,NWE_CHI_2018-10-21
KAN,2018-10-07,29,Sun,5,5,,JAX,W 30-14,29,6,20,3,16,7,43.8,5,3,60.0,KAN_JAX_2018-10-07
GNB,2017-12-17,29,Sun,14,15,@,CAR,L 24-31,29,11,15,3,12,6,50.0,0,0,,GNB_CAR_2017-12-17
LAR,2017-12-10,29,Sun,13,14,,PHI,L 35-43,29,5,18,6,20,8,40.0,2,2,100.0,LAR_PHI_2017-12-10
CIN,2017-12-10,29,Sun,13,14,,CHI,L 7-33,29,13,14,2,11,4,36.4,2,1,50.0,CIN_CHI_2017-12-10
HOU,2017-10-08,29,Sun,5,5,,KAN,L 34-42,29,5,21,3,16,9,56.3,0,0,,HOU_KAN_2017-10-08
WAS,2017-10-02,29,Mon,4,4,@,KAN,L 20-29,29,7,17,5,13,8,61.5,0,0,,WAS_KAN_2017-10-02
NOR,2017-09-17,29,Sun,2,2,,NWE,L 20-36,29,8,19,2,12,6,50.0,0,0,,NOR_NWE_2017-09-17
CHI,2023-01-08,28,Sun,17,18,,MIN,L 13-29,28,12,15,1,11,6,54.5,0,0,,CHI_MIN_2023-01-08
NWE,2022-12-24,28,Sat,15,16,,CIN,L 18-22,28,6,18,4,16,8,50.0,1,1,100.0,NWE_CIN_2022-12-24
DET,2022-11-24,28,Thu,11,12,,BUF,L 25-28,28,10,16,2,12,7,58.3,0,0,,DET_BUF_2022-11-24
NOR,2022-11-13,28,Sun,10,10,@,PIT,L 10-20,28,13,9,6,17,9,52.9,1,1,100.0,NOR_PIT_2022-11-13
LVR,2022-09-18,28,Sun,2,2,,ARI,L 23-29 (OT),28,11,13,4,13,3,23.1,5,3,60.0,LVR_ARI_2022-09-18
DEN,2022-01-08,28,Sat,17,18,,KAN,L 24-28,28,6,19,3,14,8,57.1,1,1,100.0,DEN_KAN_2022-01-08
ATL,2022-01-02,28,Sun,16,17,@,BUF,L 15-29,28,19,8,1,12,7,58.3,1,1,100.0,ATL_BUF_2022-01-02
WAS,2021-12-26,28,Sun,15,16,@,DAL,L 14-56,28,7,20,1,15,10,66.7,1,1,100.0,WAS_DAL_2021-12-26
NWE,2021-12-26,28,Sun,15,16,,BUF,L 21-33,28,8,20,0,12,6,50.0,4,3,75.0,NWE_BUF_2021-12-26
GNB,2021-12-25,28,Sat,15,16,,CLE,W 24-22,28,12,15,1,12,7,58.3,1,1,100.0,GNB_CLE_2021-12-25
KAN,2021-12-16,28,Thu,14,15,@,LAC,W 34-28 (OT),28,14,13,1,13,6,46.2,5,2,40.0,KAN_LAC_2021-12-16
IND,2021-11-28,28,Sun,12,12,,TAM,L 31-38,28,13,11,4,8,2,25.0,0,0,,IND_TAM_2021-11-28
DAL,2021-11-25,28,Thu,11,12,,LVR,L 33-36 (OT),28,7,14,7,13,3,23.1,0,0,,DAL_LVR_2021-11-25
NYG,2021-11-22,28,Mon,10,11,@,TAM,L 10-30,28,10,17,1,13,6,46.2,1,1,100.0,NYG_TAM_2021-11-22
BUF,2021-11-21,28,Sun,10,11,,IND,L 15-41,28,18,6,4,12,8,66.7,1,0,0.0,BUF_IND_2021-11-21
PHI,2021-11-07,28,Sun,9,9,,LAC,L 24-27,28,9,17,2,10,5,50.0,4,2,50.0,PHI_LAC_2021-11-07
NYJ,2021-11-04,28,Thu,8,9,@,IND,L 30-45,28,9,17,2,10,5,50.0,2,1,50.0,NYJ_IND_2021-11-04
CHI,2021-10-24,28,Sun,7,7,@,TAM,L 3-38,28,12,13,3,12,4,33.3,2,1,50.0,CHI_TAM_2021-10-24
TEN,2021-10-18,28,Mon,6,6,,BUF,W 34-31,28,3,22,3,13,7,53.8,1,0,0.0,TEN_BUF_2021-10-18
NYJ,2021-10-10,28,Sun,5,5,@,ATL,L 20-27,28,5,19,4,14,9,64.3,1,1,100.0,NYJ_ATL_2021-10-10
SEA,2021-09-26,28,Sun,3,3,@,MIN,L 17-30,28,7,20,1,14,9,64.3,0,0,,SEA_MIN_2021-09-26
MIA,2021-09-26,28,Sun,3,3,@,LVR,L 28-31 (OT),28,7,18,3,15,8,53.3,1,0,0.0,MIA_LVR_2021-09-26
HOU,2021-09-23,28,Thu,3,3,,CAR,L 9-24,28,10,15,3,11,5,45.5,1,0,0.0,HOU_CAR_2021-09-23
NOR,2021-09-19,28,Sun,2,2,@,CAR,L 7-26,28,4,18,6,15,8,53.3,0,0,,NOR_CAR_2021-09-19
ATL,2021-01-03,28,Sun,16,17,@,TAM,L 27-44,28,5,20,3,11,6,54.5,0,0,,ATL_TAM_2021-01-03
HOU,2021-01-03,28,Sun,16,17,,TEN,L 38-41,28,17,10,1,10,7,70.0,1,0,0.0,HOU_TEN_2021-01-03
JAX,2020-12-27,28,Sun,15,16,,CHI,L 17-41,28,8,18,2,12,6,50.0,2,2,100.0,JAX_CHI_2020-12-27
DET,2020-12-20,28,Sun,14,15,@,TEN,L 25-46,28,10,17,1,11,9,81.8,0,0,,DET_TEN_2020-12-20
DAL,2020-12-20,28,Sun,14,15,,SFO,W 41-33,28,9,15,4,15,6,40.0,1,1,100.0,DAL_SFO_2020-12-20
NYJ,2020-12-13,28,Sun,13,14,@,SEA,L 3-40,28,7,18,3,11,6,54.5,0,0,,NYJ_SEA_2020-12-13
CHI,2020-11-29,28,Sun,11,12,@,GNB,L 25-41,28,14,13,1,11,6,54.5,3,3,100.0,CHI_GNB_2020-11-29
