Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,TO,game_id
SEA,2021-10-17,345,Sun,6,6,@,PIT,L 20-23 (OT),345,1,SEA_PIT_2021-10-17
ATL,2020-12-13,345,Sun,13,14,@,LAC,L 17-20,345,1,ATL_LAC_2020-12-13
NYJ,2020-11-29,345,Sun,11,12,,MIA,L 3-20,345,2,NYJ_MIA_2020-11-29
LAR,2020-11-29,345,Sun,11,12,,SFO,L 20-23,345,3,LAR_SFO_2020-11-29
MIN,2019-12-15,345,Sun,14,15,@,LAC,W 39-10,345,7,MIN_LAC_2019-12-15
ATL,2019-12-08,345,Sun,13,14,,CAR,W 40-20,345,4,ATL_CAR_2019-12-08
MIN,2019-09-08,345,Sun,1,1,,ATL,W 28-12,345,3,MIN_ATL_2019-09-08
KAN,2017-12-24,345,Sun,15,16,,MIA,W 29-13,345,2,KAN_MIA_2017-12-24
MIN,2017-12-10,345,Sun,13,14,@,CAR,L 24-31,345,1,MIN_CAR_2017-12-10
GNB,2017-12-10,345,Sun,13,14,@,CLE,W 27-21 (OT),345,2,GNB_CLE_2017-12-10
CLE,2017-11-12,345,Sun,9,10,@,DET,L 24-38,345,1,CLE_DET_2017-11-12
CIN,2022-12-11,344,Sun,13,14,,CLE,W 23-10,344,1,CIN_CLE_2022-12-11
CIN,2022-11-27,344,Sun,11,12,@,TEN,W 20-16,344,0,CIN_TEN_2022-11-27
HOU,2022-11-20,344,Sun,10,11,,WAS,L 10-23,344,0,HOU_WAS_2022-11-20
NOR,2022-10-02,344,Sun,4,4,,MIN,L 25-28,344,1,NOR_MIN_2022-10-02
NYJ,2021-12-12,344,Sun,13,14,,NOR,L 9-30,344,0,NYJ_NOR_2021-12-12
GNB,2021-09-20,344,Mon,2,2,,DET,W 35-17,344,2,GNB_DET_2021-09-20
WAS,2020-12-13,344,Sun,13,14,@,SFO,W 23-15,344,3,WAS_SFO_2020-12-13
NYG,2020-11-02,344,Mon,8,8,,TAM,L 23-25,344,1,NYG_TAM_2020-11-02
ARI,2020-10-19,344,Mon,6,6,@,DAL,W 38-10,344,4,ARI_DAL_2020-10-19
LAC,2019-12-15,344,Sun,14,15,,MIN,L 10-39,344,1,LAC_MIN_2019-12-15
SEA,2019-11-24,344,Sun,11,12,@,PHI,W 17-9,344,5,SEA_PHI_2019-11-24
CLE,2019-11-10,344,Sun,9,10,,BUF,W 19-16,344,0,CLE_BUF_2019-11-10
CLE,2019-09-22,344,Sun,3,3,,LAR,L 13-20,344,3,CLE_LAR_2019-09-22
OAK,2019-09-09,344,Mon,1,1,,DEN,W 24-16,344,0,OAK_DEN_2019-09-09
GNB,2018-12-09,344,Sun,13,14,,ATL,W 34-20,344,2,GNB_ATL_2018-12-09
DET,2018-12-02,344,Sun,12,13,,LAR,L 16-30,344,2,DET_LAR_2018-12-02
TEN,2018-10-21,344,Sun,7,7,@,LAC,L 19-20,344,0,TEN_LAC_2018-10-21
HOU,2017-12-03,344,Sun,12,13,@,TEN,L 13-24,344,1,HOU_TEN_2017-12-03
JAX,2017-11-26,344,Sun,11,12,@,ARI,L 24-27,344,2,JAX_ARI_2017-11-26
NWE,2017-11-19,344,Sun,10,11,@,OAK,W 33-8,344,2,NWE_OAK_2017-11-19
PHI,2017-10-23,344,Mon,7,7,,WAS,W 34-24,344,1,PHI_WAS_2017-10-23
CIN,2017-09-24,344,Sun,3,3,@,GNB,L 24-27 (OT),344,1,CIN_GNB_2017-09-24
PHI,2017-09-17,344,Sun,2,2,@,KAN,L 20-27,344,0,PHI_KAN_2017-09-17
MIN,2017-09-11,344,Mon,1,1,,NOR,W 29-19,344,0,MIN_NOR_2017-09-11
TAM,2022-10-23,343,Sun,7,7,@,CAR,L 3-21,343,0,TAM_CAR_2022-10-23
NYJ,2021-09-26,343,Sun,3,3,@,DEN,L 0-26,343,1,NYJ_DEN_2021-09-26
BAL,2020-10-04,343,Sun,4,4,@,WAS,W 31-17,343,1,BAL_WAS_2020-10-04
LAR,2019-09-08,343,Sun,1,1,@,CAR,W 30-27,343,3,LAR_CAR_2019-09-08
CIN,2018-12-30,343,Sun,16,17,@,PIT,L 13-16,343,1,CIN_PIT_2018-12-30
SFO,2018-09-09,343,Sun,1,1,@,MIN,L 16-24,343,1,SFO_MIN_2018-09-09
NOR,2017-12-07,343,Thu,13,14,@,ATL,L 17-20,343,3,NOR_ATL_2017-12-07
NWE,2017-10-22,343,Sun,7,7,,ATL,W 23-7,343,0,NWE_ATL_2017-10-22
OAK,2017-10-15,343,Sun,6,6,,LAC,L 16-17,343,1,OAK_LAC_2017-10-15
NYG,2023-01-08,342,Sun,17,18,@,PHI,L 16-22,342,1,NYG_PHI_2023-01-08
PHI,2022-11-27,342,Sun,11,12,,GNB,W 40-33,342,2,PHI_GNB_2022-11-27
DEN,2021-12-26,342,Sun,15,16,@,LVR,L 13-17,342,3,DEN_LVR_2021-12-26
DEN,2021-10-31,342,Sun,8,8,,WAS,W 17-10,342,2,DEN_WAS_2021-10-31
CIN,2021-09-26,342,Sun,3,3,@,PIT,W 24-10,342,2,CIN_PIT_2021-09-26
BAL,2019-11-03,342,Sun,8,9,,NWE,W 37-20,342,2,BAL_NWE_2019-11-03
JAX,2018-12-30,342,Sun,16,17,@,HOU,L 3-20,342,1,JAX_HOU_2018-12-30
TAM,2018-11-25,342,Sun,11,12,,SFO,W 27-9,342,2,TAM_SFO_2018-11-25
CIN,2018-11-25,342,Sun,11,12,,CLE,L 20-35,342,0,CIN_CLE_2018-11-25
CAR,2018-10-21,342,Sun,6,7,@,PHI,W 21-17,342,1,CAR_PHI_2018-10-21
DEN,2018-09-23,342,Sun,3,3,@,BAL,L 14-27,342,0,DEN_BAL_2018-09-23
TEN,2018-09-09,342,Sun,1,1,@,MIA,L 20-27,342,2,TEN_MIA_2018-09-09
CHI,2017-11-12,342,Sun,9,10,,GNB,L 16-23,342,0,CHI_GNB_2017-11-12
BAL,2017-10-15,342,Sun,6,6,,CHI,L 24-27 (OT),342,2,BAL_CHI_2017-10-15
DAL,2017-10-08,342,Sun,5,5,,GNB,L 31-35,342,1,DAL_GNB_2017-10-08
MIN,2017-09-24,342,Sun,3,3,,TAM,W 34-17,342,3,MIN_TAM_2017-09-24
BUF,2023-01-08,341,Sun,16,18,,NWE,W 35-23,341,3,BUF_NWE_2023-01-08
MIN,2022-12-17,341,Sat,14,15,,IND,W 39-36 (OT),341,1,MIN_IND_2022-12-17
MIA,2022-10-23,341,Sun,7,7,,PIT,W 16-10,341,3,MIA_PIT_2022-10-23
DEN,2022-01-02,341,Sun,16,17,@,LAC,L 13-34,341,0,DEN_LAC_2022-01-02
ARI,2021-11-14,341,Sun,10,10,,CAR,L 10-34,341,2,ARI_CAR_2021-11-14
CIN,2021-09-30,341,Thu,4,4,,JAX,W 24-21,341,0,CIN_JAX_2021-09-30
ATL,2021-09-19,341,Sun,2,2,@,TAM,L 25-48,341,1,ATL_TAM_2021-09-19
WAS,2019-12-08,341,Sun,13,14,@,GNB,L 15-20,341,1,WAS_GNB_2019-12-08
NYG,2018-11-25,341,Sun,11,12,@,PHI,L 22-25,341,0,NYG_PHI_2018-11-25
NYG,2017-12-17,341,Sun,14,15,,PHI,L 29-34,341,0,NYG_PHI_2017-12-17
CLE,2017-12-10,341,Sun,13,14,,GNB,L 21-27 (OT),341,0,CLE_GNB_2017-12-10
CIN,2017-11-19,341,Sun,10,11,@,DEN,W 20-17,341,2,CIN_DEN_2017-11-19
TEN,2017-11-05,341,Sun,8,9,,BAL,W 23-20,341,2,TEN_BAL_2017-11-05
IND,2021-10-31,340,Sun,8,8,,TEN,L 31-34 (OT),340,2,IND_TEN_2021-10-31
SEA,2019-10-20,340,Sun,7,7,,BAL,L 16-30,340,0,SEA_BAL_2019-10-20
ARI,2019-09-29,340,Sun,4,4,,SEA,L 10-27,340,0,ARI_SEA_2019-09-29
JAX,2019-09-19,340,Thu,3,3,,TEN,W 20-7,340,1,JAX_TEN_2019-09-19
DET,2018-12-23,340,Sun,15,16,,MIN,L 9-27,340,0,DET_MIN_2018-12-23
OAK,2018-12-09,340,Sun,13,14,,PIT,W 24-21,340,1,OAK_PIT_2018-12-09
DAL,2018-11-05,340,Mon,8,9,,TEN,L 14-28,340,2,DAL_TEN_2018-11-05
DEN,2018-10-28,340,Sun,8,8,@,KAN,L 23-30,340,1,DEN_KAN_2018-10-28
WAS,2018-09-23,340,Sun,3,3,,GNB,W 31-17,340,1,WAS_GNB_2018-09-23
CLE,2017-10-15,340,Sun,6,6,@,HOU,L 17-33,340,1,CLE_HOU_2017-10-15
ATL,2023-01-01,339,Sun,16,17,,ARI,W 20-19,339,0,ATL_ARI_2023-01-01
HOU,2022-11-27,339,Sun,11,12,@,MIA,L 15-30,339,1,HOU_MIA_2022-11-27
ARI,2022-09-25,339,Sun,3,3,,LAR,L 12-20,339,1,ARI_LAR_2022-09-25
BAL,2020-11-08,339,Sun,8,9,@,IND,W 24-10,339,2,BAL_IND_2020-11-08
NWE,2020-11-01,339,Sun,7,8,@,BUF,L 21-24,339,1,NWE_BUF_2020-11-01
CHI,2020-10-08,339,Thu,5,5,,TAM,W 20-19,339,1,CHI_TAM_2020-10-08
CAR,2020-09-20,339,Sun,2,2,@,TAM,L 17-31,339,2,CAR_TAM_2020-09-20
GNB,2019-11-24,339,Sun,11,12,@,SFO,L 8-37,339,0,GNB_SFO_2019-11-24
LAC,2019-09-15,339,Sun,2,2,@,DET,L 10-13,339,2,LAC_DET_2019-09-15
CLE,2019-09-08,339,Sun,1,1,,TEN,L 13-43,339,0,CLE_TEN_2019-09-08
SFO,2018-10-21,339,Sun,7,7,,LAR,L 10-39,339,0,SFO_LAR_2018-10-21
BAL,2018-10-21,339,Sun,7,7,,NOR,L 23-24,339,1,BAL_NOR_2018-10-21
NYJ,2018-09-10,339,Mon,1,1,@,DET,W 48-17,339,5,NYJ_DET_2018-09-10
NWE,2017-11-12,339,Sun,9,10,@,DEN,W 41-16,339,2,NWE_DEN_2017-11-12
MIA,2017-10-15,339,Sun,5,6,@,ATL,W 20-17,339,1,MIA_ATL_2017-10-15
GNB,2022-10-09,338,Sun,5,5,,NYG,L 22-27,338,0,GNB_NYG_2022-10-09
CAR,2022-10-02,338,Sun,4,4,,ARI,L 16-26,338,1,CAR_ARI_2022-10-02
MIN,2022-10-02,338,Sun,4,4,@,NOR,W 28-25,338,2,MIN_NOR_2022-10-02
MIN,2022-09-11,338,Sun,1,1,,GNB,W 23-7,338,2,MIN_GNB_2022-09-11
ATL,2021-12-26,338,Sun,15,16,,DET,W 20-16,338,1,ATL_DET_2021-12-26
ARI,2021-12-19,338,Sun,14,15,@,DET,L 12-30,338,1,ARI_DET_2021-12-19
ARI,2021-10-10,338,Sun,5,5,,SFO,W 17-10,338,1,ARI_SFO_2021-10-10
DAL,2020-11-26,338,Thu,11,12,,WAS,L 16-41,338,1,DAL_WAS_2020-11-26
CIN,2019-11-24,338,Sun,11,12,,PIT,L 10-16,338,1,CIN_PIT_2019-11-24
CHI,2018-12-02,338,Sun,12,13,@,NYG,L 27-30 (OT),338,1,CHI_NYG_2018-12-02
NWE,2018-11-25,338,Sun,11,12,@,NYJ,W 27-13,338,1,NWE_NYJ_2018-11-25
HOU,2023-01-01,337,Sun,16,17,,JAX,L 3-31,337,2,HOU_JAX_2023-01-01
DET,2022-12-18,337,Sun,14,15,@,NYJ,W 20-17,337,1,DET_NYJ_2022-12-18
ATL,2022-09-18,337,Sun,2,2,@,LAR,L 27-31,337,3,ATL_LAR_2022-09-18
CIN,2022-09-18,337,Sun,2,2,@,DAL,L 17-20,337,1,CIN_DAL_2022-09-18
ARI,2021-11-07,337,Sun,9,9,@,SFO,W 31-17,337,3,ARI_SFO_2021-11-07
GNB,2020-11-05,337,Thu,8,9,@,SFO,W 34-17,337,2,GNB_SFO_2020-11-05
NYG,2020-10-18,337,Sun,6,6,,WAS,W 20-19,337,2,NYG_WAS_2020-10-18
LVR,2020-10-04,337,Sun,4,4,,BUF,L 23-30,337,0,LVR_BUF_2020-10-04
MIN,2019-12-29,337,Sun,16,17,,CHI,L 19-21,337,1,MIN_CHI_2019-12-29
TAM,2019-11-24,337,Sun,11,12,@,ATL,W 35-22,337,2,TAM_ATL_2019-11-24
GNB,2019-10-27,337,Sun,8,8,@,KAN,W 31-24,337,1,GNB_KAN_2019-10-27
CLE,2017-09-17,337,Sun,2,2,@,BAL,L 10-24,337,2,CLE_BAL_2017-09-17
NOR,2022-11-20,336,Sun,11,11,,LAR,W 27-20,336,0,NOR_LAR_2022-11-20
ATL,2022-11-06,336,Sun,9,9,,LAC,L 17-20,336,2,ATL_LAC_2022-11-06
BAL,2022-10-23,336,Sun,7,7,,CLE,W 23-20,336,2,BAL_CLE_2022-10-23
DAL,2022-09-26,336,Mon,3,3,@,NYG,W 23-16,336,1,DAL_NYG_2022-09-26
NWE,2021-09-19,336,Sun,2,2,@,NYJ,W 25-6,336,4,NWE_NYJ_2021-09-19
SEA,2021-09-12,336,Sun,1,1,@,IND,W 28-16,336,1,SEA_IND_2021-09-12
DAL,2021-01-03,336,Sun,16,17,@,NYG,L 19-23,336,2,DAL_NYG_2021-01-03
TEN,2020-11-29,336,Sun,11,12,@,IND,W 45-26,336,1,TEN_IND_2020-11-29
PIT,2020-10-11,336,Sun,4,5,,PHI,W 38-29,336,2,PIT_PHI_2020-10-11
LAC,2019-12-29,336,Sun,16,17,@,KAN,L 21-31,336,1,LAC_KAN_2019-12-29
SFO,2019-11-11,336,Mon,9,10,,SEA,L 24-27 (OT),336,4,SFO_SEA_2019-11-11
GNB,2019-09-26,336,Thu,4,4,,PHI,L 27-34,336,0,GNB_PHI_2019-09-26
LAC,2018-12-02,336,Sun,12,13,@,PIT,W 33-30,336,1,LAC_PIT_2018-12-02
MIA,2018-09-09,336,Sun,1,1,,TEN,W 27-20,336,3,MIA_TEN_2018-09-09
LAC,2017-12-31,336,Sun,16,17,,OAK,W 30-10,336,2,LAC_OAK_2017-12-31
KAN,2017-12-31,336,Sun,16,17,@,DEN,W 27-24,336,3,KAN_DEN_2017-12-31
DAL,2017-11-12,336,Sun,9,10,@,ATL,L 7-27,336,1,DAL_ATL_2017-11-12
MIA,2017-09-24,336,Sun,2,3,@,NYJ,L 6-20,336,1,MIA_NYJ_2017-09-24
LAC,2017-09-17,336,Sun,2,2,,MIA,L 17-19,336,0,LAC_MIA_2017-09-17
LAR,2021-11-15,335,Mon,10,10,@,SFO,L 10-31,335,0,LAR_SFO_2021-11-15
ARI,2021-10-28,335,Thu,8,8,,GNB,L 21-24,335,0,ARI_GNB_2021-10-28
DAL,2021-10-17,335,Sun,6,6,@,NWE,W 35-29 (OT),335,2,DAL_NWE_2021-10-17
TAM,2020-12-13,335,Sun,13,14,,MIN,W 26-14,335,1,TAM_MIN_2020-12-13
GNB,2019-12-01,335,Sun,12,13,@,NYG,W 31-13,335,3,GNB_NYG_2019-12-01
NYG,2019-11-24,335,Sun,11,12,@,CHI,L 14-19,335,2,NYG_CHI_2019-11-24
DAL,2019-10-06,335,Sun,5,5,,GNB,L 24-34,335,0,DAL_GNB_2019-10-06
MIN,2019-09-15,335,Sun,2,2,@,GNB,L 16-21,335,2,MIN_GNB_2019-09-15
OAK,2018-11-11,335,Sun,9,10,,LAC,L 6-20,335,1,OAK_LAC_2018-11-11
PHI,2018-10-28,335,Sun,8,8,@,JAX,W 24-18,335,1,PHI_JAX_2018-10-28
WAS,2017-10-15,335,Sun,5,6,,SFO,W 26-24,335,1,WAS_SFO_2017-10-15
LAC,2017-10-08,335,Sun,5,5,@,NYG,W 27-22,335,2,LAC_NYG_2017-10-08
CLE,2017-09-24,335,Sun,3,3,@,IND,L 28-31,335,1,CLE_IND_2017-09-24
MIN,2017-09-17,335,Sun,2,2,@,PIT,L 9-26,335,0,MIN_PIT_2017-09-17
CIN,2021-12-26,334,Sun,15,16,,BAL,W 41-21,334,1,CIN_BAL_2021-12-26
ATL,2021-12-12,334,Sun,13,14,@,CAR,W 29-21,334,3,ATL_CAR_2021-12-12
GNB,2021-10-28,334,Thu,8,8,@,ARI,W 24-21,334,3,GNB_ARI_2021-10-28
TEN,2021-10-24,334,Sun,7,7,,KAN,W 27-3,334,3,TEN_KAN_2021-10-24
SEA,2020-12-27,334,Sun,15,16,,LAR,W 20-9,334,1,SEA_LAR_2020-12-27
PIT,2020-12-13,334,Sun,13,14,@,BUF,L 15-26,334,2,PIT_BUF_2020-12-13
BAL,2020-12-02,334,Wed,11,12,@,PIT,L 14-19,334,2,BAL_PIT_2020-12-02
BUF,2020-10-13,334,Tue,5,5,@,TEN,L 16-42,334,0,BUF_TEN_2020-10-13
LAR,2019-12-21,334,Sat,15,16,@,SFO,L 31-34,334,2,LAR_SFO_2019-12-21
NOR,2019-11-17,334,Sun,10,11,@,TAM,W 34-17,334,4,NOR_TAM_2019-11-17
IND,2018-09-16,334,Sun,2,2,@,WAS,W 21-9,334,1,IND_WAS_2018-09-16
CLE,2023-01-08,333,Sun,17,18,@,PIT,L 14-28,333,1,CLE_PIT_2023-01-08
NWE,2023-01-01,333,Sun,16,17,,MIA,W 23-21,333,2,NWE_MIA_2023-01-01
KAN,2022-12-24,333,Sat,15,16,,SEA,W 24-10,333,1,KAN_SEA_2022-12-24
ATL,2022-11-10,333,Thu,10,10,@,CAR,L 15-25,333,0,ATL_CAR_2022-11-10
CLE,2022-10-02,333,Sun,4,4,@,ATL,L 20-23,333,1,CLE_ATL_2022-10-02
CHI,2022-10-02,333,Sun,4,4,@,NYG,L 12-20,333,2,CHI_NYG_2022-10-02
JAX,2021-11-21,333,Sun,10,11,,SFO,L 10-30,333,0,JAX_SFO_2021-11-21
ARI,2021-01-03,333,Sun,16,17,@,LAR,L 7-18,333,2,ARI_LAR_2021-01-03
CLE,2020-12-27,333,Sun,15,16,@,NYJ,L 16-23,333,0,CLE_NYJ_2020-12-27
LAR,2020-11-15,333,Sun,9,10,,SEA,W 23-16,333,3,LAR_SEA_2020-11-15
CIN,2019-12-08,333,Sun,13,14,@,CLE,L 19-27,333,2,CIN_CLE_2019-12-08
BUF,2018-11-25,333,Sun,11,12,,JAX,W 24-21,333,2,BUF_JAX_2018-11-25
CHI,2018-11-22,333,Thu,11,12,@,DET,W 23-16,333,2,CHI_DET_2018-11-22
NWE,2018-10-29,333,Mon,8,8,@,BUF,W 25-6,333,2,NWE_BUF_2018-10-29
WAS,2022-11-27,332,Sun,12,12,,ATL,W 19-13,332,1,WAS_ATL_2022-11-27
BAL,2022-11-27,332,Sun,11,12,@,JAX,L 27-28,332,1,BAL_JAX_2022-11-27
SEA,2021-12-21,332,Tue,14,15,@,LAR,L 10-20,332,1,SEA_LAR_2021-12-21
NYG,2021-11-28,332,Sun,11,12,,PHI,W 13-7,332,4,NYG_PHI_2021-11-28
JAX,2021-11-28,332,Sun,11,12,,ATL,L 14-21,332,1,JAX_ATL_2021-11-28
ATL,2021-10-31,332,Sun,7,8,,CAR,L 13-19,332,1,ATL_CAR_2021-10-31
NOR,2020-12-06,332,Sun,12,13,@,ATL,W 21-16,332,1,NOR_ATL_2020-12-06
LAC,2020-11-29,332,Sun,11,12,@,BUF,L 17-27,332,3,LAC_BUF_2020-11-29
CIN,2020-10-11,332,Sun,5,5,@,BAL,L 3-27,332,1,CIN_BAL_2020-10-11
KAN,2019-12-01,332,Sun,12,13,,OAK,W 40-9,332,3,KAN_OAK_2019-12-01
MIN,2018-12-30,332,Sun,16,17,,CHI,L 10-24,332,0,MIN_CHI_2018-12-30
GNB,2018-12-16,332,Sun,14,15,@,CHI,L 17-24,332,1,GNB_CHI_2018-12-16
MIA,2018-10-07,332,Sun,5,5,@,CIN,L 17-27,332,1,MIA_CIN_2018-10-07
DAL,2017-09-25,332,Mon,3,3,@,ARI,W 28-17,332,0,DAL_ARI_2017-09-25
WAS,2017-09-17,332,Sun,2,2,@,LAR,W 27-20,332,2,WAS_LAR_2017-09-17
JAX,2022-10-30,331,Sun,8,8,,DEN,L 17-21,331,1,JAX_DEN_2022-10-30
IND,2022-09-18,331,Sun,2,2,@,JAX,L 0-24,331,0,IND_JAX_2022-09-18
CHI,2022-09-11,331,Sun,1,1,,SFO,W 19-10,331,2,CHI_SFO_2022-09-11
CHI,2022-01-09,331,Sun,17,18,@,MIN,L 17-31,331,0,CHI_MIN_2022-01-09
CHI,2021-12-26,331,Sun,15,16,@,SEA,W 25-24,331,0,CHI_SEA_2021-12-26
IND,2021-11-14,331,Sun,10,10,,JAX,W 23-17,331,1,IND_JAX_2021-11-14
LAC,2021-11-07,331,Sun,8,9,@,PHI,W 27-24,331,0,LAC_PHI_2021-11-07
LVR,2021-09-19,331,Sun,2,2,@,PIT,W 26-17,331,1,LVR_PIT_2021-09-19
BAL,2019-12-01,331,Sun,12,13,,SFO,W 20-17,331,1,BAL_SFO_2019-12-01
LAR,2019-10-13,331,Sun,6,6,,SFO,L 7-20,331,2,LAR_SFO_2019-10-13
KAN,2019-10-06,331,Sun,5,5,,IND,L 13-19,331,1,KAN_IND_2019-10-06
SFO,2018-12-02,331,Sun,12,13,@,SEA,L 16-43,331,0,SFO_SEA_2018-12-02
DAL,2018-11-22,331,Thu,11,12,,WAS,W 31-23,331,3,DAL_WAS_2018-11-22
SEA,2018-10-28,331,Sun,7,8,@,DET,W 28-14,331,3,SEA_DET_2018-10-28
ARI,2018-09-30,331,Sun,4,4,,SEA,L 17-20,331,0,ARI_SEA_2018-09-30
NOR,2017-12-24,331,Sun,15,16,,ATL,W 23-13,331,2,NOR_ATL_2017-12-24
BUF,2017-11-02,331,Thu,8,9,@,NYJ,L 21-34,331,0,BUF_NYJ_2017-11-02
CIN,2017-10-29,331,Sun,7,8,,IND,W 24-23,331,1,CIN_IND_2017-10-29
OAK,2017-10-29,331,Sun,8,8,@,BUF,L 14-34,331,0,OAK_BUF_2017-10-29
KAN,2017-10-02,331,Mon,4,4,,WAS,W 29-20,331,1,KAN_WAS_2017-10-02
PHI,2022-11-14,330,Mon,9,10,,WAS,L 21-32,330,2,PHI_WAS_2022-11-14
DET,2022-10-23,330,Sun,6,7,@,DAL,L 6-24,330,1,DET_DAL_2022-10-23
NYJ,2022-09-25,330,Sun,3,3,,CIN,L 12-27,330,1,NYJ_CIN_2022-09-25
WAS,2022-01-02,330,Sun,16,17,,PHI,L 16-20,330,0,WAS_PHI_2022-01-02
LVR,2021-09-26,330,Sun,3,3,,MIA,W 31-28 (OT),330,0,LVR_MIA_2021-09-26
KAN,2020-12-06,330,Sun,12,13,,DEN,W 22-16,330,2,KAN_DEN_2020-12-06
ARI,2018-11-11,330,Sun,9,10,@,KAN,L 14-26,330,0,ARI_KAN_2018-11-11
IND,2018-09-09,330,Sun,1,1,,CIN,L 23-34,330,2,IND_CIN_2018-09-09
NYJ,2017-12-31,330,Sun,16,17,@,NWE,L 6-26,330,0,NYJ_NWE_2017-12-31
HOU,2017-12-25,330,Mon,15,16,,PIT,L 6-34,330,0,HOU_PIT_2017-12-25
WAS,2017-12-24,330,Sun,15,16,,DEN,W 27-11,330,3,WAS_DEN_2017-12-24
OAK,2017-12-17,330,Sun,14,15,,DAL,L 17-20,330,2,OAK_DAL_2017-12-17
DAL,2017-12-10,330,Sun,13,14,@,NYG,W 30-10,330,2,DAL_NYG_2017-12-10
ATL,2017-11-05,330,Sun,8,9,@,CAR,L 17-20,330,2,ATL_CAR_2017-11-05
KAN,2017-09-24,330,Sun,3,3,@,LAC,W 24-10,330,3,KAN_LAC_2017-09-24
BAL,2022-12-11,329,Sun,13,14,@,PIT,W 16-14,329,3,BAL_PIT_2022-12-11
SEA,2022-10-23,329,Sun,7,7,@,LAC,W 37-23,329,2,SEA_LAC_2022-10-23
CHI,2022-09-25,329,Sun,3,3,,HOU,W 23-20,329,2,CHI_HOU_2022-09-25
ARI,2021-12-05,329,Sun,12,13,@,CHI,W 33-22,329,4,ARI_CHI_2021-12-05
NOR,2020-11-01,329,Sun,7,8,@,CHI,W 26-23 (OT),329,1,NOR_CHI_2020-11-01
ATL,2019-12-29,329,Sun,16,17,@,TAM,W 28-22 (OT),329,3,ATL_TAM_2019-12-29
NOR,2019-12-29,329,Sun,16,17,@,CAR,W 42-10,329,3,NOR_CAR_2019-12-29
ARI,2017-11-05,329,Sun,8,9,@,SFO,W 20-10,329,2,ARI_SFO_2017-11-05
ARI,2022-12-12,328,Mon,13,14,,NWE,L 13-27,328,1,ARI_NWE_2022-12-12
SEA,2022-12-11,328,Sun,13,14,,CAR,L 24-30,328,0,SEA_CAR_2022-12-11
NWE,2022-10-16,328,Sun,6,6,@,CLE,W 38-15,328,4,NWE_CLE_2022-10-16
CIN,2022-09-25,328,Sun,3,3,@,NYJ,W 27-12,328,4,CIN_NYJ_2022-09-25
CLE,2021-12-20,328,Mon,14,15,,LVR,L 14-16,328,2,CLE_LVR_2021-12-20
NYG,2021-12-19,328,Sun,14,15,,DAL,L 6-21,328,1,NYG_DAL_2021-12-19
SFO,2021-09-19,328,Sun,2,2,@,PHI,W 17-11,328,0,SFO_PHI_2021-09-19
SEA,2021-01-03,328,Sun,16,17,@,SFO,W 26-23,328,1,SEA_SFO_2021-01-03
TAM,2019-11-17,328,Sun,10,11,,NOR,L 17-34,328,0,TAM_NOR_2019-11-17
PIT,2019-11-03,328,Sun,8,9,,IND,W 26-24,328,3,PIT_IND_2019-11-03
MIA,2017-12-17,328,Sun,14,15,@,BUF,L 16-24,328,0,MIA_BUF_2017-12-17
SFO,2017-12-17,328,Sun,14,15,,TEN,W 25-23,328,1,SFO_TEN_2017-12-17
NWE,2023-01-08,327,Sun,17,18,@,BUF,L 23-35,327,3,NWE_BUF_2023-01-08
BAL,2022-12-24,327,Sat,15,16,,ATL,W 17-9,327,1,BAL_ATL_2022-12-24
DAL,2022-12-11,327,Sun,13,14,,HOU,W 27-23,327,2,DAL_HOU_2022-12-11
LAR,2022-10-03,327,Mon,4,4,@,SFO,L 9-24,327,0,LAR_SFO_2022-10-03
LAR,2022-01-02,327,Sun,16,17,@,BAL,W 20-19,327,2,LAR_BAL_2022-01-02
SFO,2021-12-05,327,Sun,12,13,@,SEA,L 23-30,327,3,SFO_SEA_2021-12-05
LAC,2021-10-17,327,Sun,6,6,@,BAL,L 6-34,327,2,LAC_BAL_2021-10-17
MIN,2021-10-03,327,Sun,4,4,,CLE,L 7-14,327,0,MIN_CLE_2021-10-03
NYG,2020-12-06,327,Sun,12,13,@,SEA,W 17-12,327,2,NYG_SEA_2020-12-06
GNB,2020-10-05,327,Mon,4,4,,ATL,W 30-16,327,0,GNB_ATL_2020-10-05
JAX,2018-11-25,327,Sun,11,12,@,BUF,L 21-24,327,0,JAX_BUF_2018-11-25
NOR,2018-09-16,327,Sun,2,2,,CLE,W 21-18,327,1,NOR_CLE_2018-09-16
MIN,2018-09-09,327,Sun,1,1,,SFO,W 24-16,327,4,MIN_SFO_2018-09-09
PIT,2018-09-09,327,Sun,1,1,@,CLE,T 21-21 (OT),327,1,PIT_CLE_2018-09-09
CHI,2017-12-31,327,Sun,16,17,@,MIN,L 10-23,327,0,CHI_MIN_2017-12-31
BUF,2022-11-24,326,Thu,11,12,@,DET,W 28-25,326,2,BUF_DET_2022-11-24
NOR,2022-10-20,326,Thu,7,7,@,ARI,L 34-42,326,0,NOR_ARI_2022-10-20
BAL,2022-10-02,326,Sun,4,4,,BUF,L 20-23,326,2,BAL_BUF_2022-10-02
IND,2022-01-02,326,Sun,16,17,,LVR,L 20-23,326,2,IND_LVR_2022-01-02
PIT,2021-12-05,326,Sun,12,13,,BAL,W 20-19,326,1,PIT_BAL_2021-12-05
WAS,2020-12-07,326,Mon,12,13,@,PIT,W 23-17,326,1,WAS_PIT_2020-12-07
