Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,game_id
BUF,2022-11-13,486,Sun,9,10,,MIN,L 30-33 (OT),486,72,6.75,79,6.09,4,33:46,3:46,BUF_MIN_2022-11-13
PHI,2022-09-19,486,Mon,2,2,,MIN,W 24-7,486,68,7.15,59,4.47,1,36:14,2:48,PHI_MIN_2022-09-19
NYJ,2021-11-04,486,Thu,8,9,@,IND,L 30-45,486,75,6.48,61,8.72,2,29:33,3:12,NYJ_IND_2021-11-04
HOU,2020-10-11,486,Sun,5,5,,JAX,W 30-14,486,58,8.38,73,4.99,2,28:01,2:55,HOU_JAX_2020-10-11
KAN,2022-11-20,485,Sun,10,11,@,LAC,W 30-27,485,62,7.82,65,5.62,1,27:41,2:58,KAN_LAC_2022-11-20
NYG,2021-10-03,485,Sun,4,4,@,NOR,W 27-21 (OT),485,60,8.08,65,6.23,1,27:35,3:12,NYG_NOR_2021-10-03
TAM,2021-01-03,485,Sun,16,17,,ATL,W 44-27,485,64,7.58,71,5.42,1,26:48,3:05,TAM_ATL_2021-01-03
LAC,2020-11-01,485,Sun,7,8,@,DEN,L 30-31,485,84,5.77,59,5.95,2,35:53,3:27,LAC_DEN_2020-11-01
NOR,2017-10-22,485,Sun,6,7,@,GNB,W 26-17,485,75,6.47,50,5.20,2,36:56,2:58,NOR_GNB_2017-10-22
LAC,2020-10-25,484,Sun,6,7,,JAX,W 39-29,484,77,6.29,59,4.98,0,34:31,3:09,LAC_JAX_2020-10-25
TAM,2020-10-04,484,Sun,4,4,,LAC,W 38-31,484,73,6.63,50,6.48,1,34:55,3:09,TAM_LAC_2020-10-04
OAK,2019-10-20,484,Sun,6,7,@,GNB,L 24-42,484,62,7.81,55,8.75,2,29:36,2:59,OAK_GNB_2019-10-20
LAR,2018-11-04,483,Sun,9,9,@,NOR,L 35-45,483,59,8.19,70,6.96,1,26:19,3:11,LAR_NOR_2018-11-04
