Team,Date,Spread,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result,game_id
TAM,2017-11-26,10.5,Sun,11,12,@,ATL,L 20-34,10.5,did not cover,47.0,over,TAM_ATL_2017-11-26
IND,2017-11-12,10.5,Sun,10,10,,PIT,L 17-20,10.5,covered,47.0,under,IND_PIT_2017-11-12
CLE,2017-11-12,10.5,Sun,9,10,@,DET,L 24-38,10.5,did not cover,42.5,over,CLE_DET_2017-11-12
SEA,2022-12-24,10.0,Sat,15,16,@,KAN,L 10-24,10.0,did not cover,49.5,under,SEA_KAN_2022-12-24
NYJ,2022-12-11,10.0,Sun,13,14,@,BUF,L 12-20,10.0,covered,43.0,under,NYJ_BUF_2022-12-11
NYG,2022-11-24,10.0,Thu,11,12,@,DAL,L 20-28,10.0,covered,45.5,over,NYG_DAL_2022-11-24
CHI,2022-10-30,10.0,Sun,8,8,@,DAL,L 29-49,10.0,did not cover,42.5,over,CHI_DAL_2022-10-30
CAR,2022-10-16,10.0,Sun,6,6,@,LAR,L 10-24,10.0,did not cover,41.5,under,CAR_LAR_2022-10-16
ATL,2022-10-09,10.0,Sun,5,5,@,TAM,L 15-21,10.0,covered,46.5,under,ATL_TAM_2022-10-09
TEN,2022-09-19,10.0,Mon,2,2,@,BUF,L 7-41,10.0,did not cover,47.5,over,TEN_BUF_2022-09-19
ATL,2022-09-18,10.0,Sun,2,2,@,LAR,L 27-31,10.0,covered,46.5,over,ATL_LAR_2022-09-18
CHI,2022-09-18,10.0,Sun,2,2,@,GNB,L 10-27,10.0,did not cover,41.5,under,CHI_GNB_2022-09-18
HOU,2022-09-18,10.0,Sun,2,2,@,DEN,L 9-16,10.0,covered,45.5,under,HOU_DEN_2022-09-18
NYG,2021-12-26,10.0,Sun,15,16,@,PHI,L 10-34,10.0,did not cover,40.5,over,NYG_PHI_2021-12-26
WAS,2021-12-26,10.0,Sun,15,16,@,DAL,L 14-56,10.0,did not cover,46.5,over,WAS_DAL_2021-12-26
NYJ,2021-12-19,10.0,Sun,14,15,@,MIA,L 24-31,10.0,covered,42.0,over,NYJ_MIA_2021-12-19
LVR,2021-12-12,10.0,Sun,13,14,@,KAN,L 9-48,10.0,did not cover,48.0,over,LVR_KAN_2021-12-12
HOU,2021-12-05,10.0,Sun,12,13,,IND,L 0-31,10.0,did not cover,44.5,under,HOU_IND_2021-12-05
HOU,2021-11-21,10.0,Sun,10,11,@,TEN,W 22-13,10.0,covered,44.5,under,HOU_TEN_2021-11-21
JAX,2021-11-14,10.0,Sun,9,10,@,IND,L 17-23,10.0,covered,47.5,under,JAX_IND_2021-11-14
DEN,2021-11-07,10.0,Sun,9,9,@,DAL,W 30-16,10.0,covered,48.5,under,DEN_DAL_2021-11-07
NYG,2021-11-01,10.0,Mon,8,8,@,KAN,L 17-20,10.0,covered,52.0,under,NYG_KAN_2021-11-01
HOU,2021-10-17,10.0,Sun,6,6,@,IND,L 3-31,10.0,did not cover,43.5,under,HOU_IND_2021-10-17
MIA,2021-10-10,10.0,Sun,5,5,@,TAM,L 17-45,10.0,did not cover,48.0,over,MIA_TAM_2021-10-10
DET,2021-10-10,10.0,Sun,5,5,@,MIN,L 17-19,10.0,covered,49.5,under,DET_MIN_2021-10-10
NYJ,2021-09-26,10.0,Sun,3,3,@,DEN,L 0-26,10.0,did not cover,41.5,under,NYJ_DEN_2021-09-26
NYG,2020-12-27,10.0,Sun,15,16,@,BAL,L 13-27,10.0,did not cover,43.0,under,NYG_BAL_2020-12-27
BAL,2020-12-02,10.0,Wed,11,12,@,PIT,L 14-19,10.0,covered,42.0,under,BAL_PIT_2020-12-02
NYJ,2020-11-22,10.0,Sun,10,11,@,LAC,L 28-34,10.0,covered,47.0,over,NYJ_LAC_2020-11-22
CAR,2020-11-08,10.0,Sun,9,9,@,KAN,L 31-33,10.0,covered,51.5,over,CAR_KAN_2020-11-08
NYJ,2020-10-18,10.0,Sun,6,6,@,MIA,L 0-24,10.0,did not cover,46.0,under,NYJ_MIA_2020-10-18
LAC,2019-12-29,10.0,Sun,16,17,@,KAN,L 21-31,10.0,push,46.0,over,LAC_KAN_2019-12-29
HOU,2019-12-29,10.0,Sun,16,17,,TEN,L 14-35,10.0,did not cover,43.0,over,HOU_TEN_2019-12-29
DEN,2019-12-15,10.0,Sun,14,15,@,KAN,L 3-23,10.0,did not cover,43.0,under,DEN_KAN_2019-12-15
CAR,2019-11-24,10.0,Sun,11,12,@,NOR,L 31-34,10.0,covered,46.0,over,CAR_NOR_2019-11-24
ARI,2019-11-17,10.0,Sun,11,11,@,SFO,L 26-36,10.0,push,44.0,over,ARI_SFO_2019-11-17
DEN,2019-11-17,10.0,Sun,10,11,@,MIN,L 23-27,10.0,covered,40.5,over,DEN_MIN_2019-11-17
WAS,2019-10-20,10.0,Sun,7,7,,SFO,L 0-9,10.0,covered,39.0,under,WAS_SFO_2019-10-20
CIN,2018-12-23,10.0,Sun,15,16,@,CLE,L 18-26,10.0,covered,44.0,push,CIN_CLE_2018-12-23
NYG,2018-12-23,10.0,Sun,15,16,@,IND,L 27-28,10.0,covered,48.5,over,NYG_IND_2018-12-23
ARI,2018-12-16,10.0,Sun,14,15,@,ATL,L 14-40,10.0,did not cover,43.5,over,ARI_ATL_2018-12-16
TAM,2018-12-09,10.0,Sun,13,14,,NOR,L 14-28,10.0,did not cover,54.0,under,TAM_NOR_2018-12-09
SFO,2018-12-02,10.0,Sun,12,13,@,SEA,L 16-43,10.0,did not cover,45.5,over,SFO_SEA_2018-12-02
SEA,2018-11-11,10.0,Sun,9,10,@,LAR,L 31-36,10.0,covered,51.0,over,SEA_LAR_2018-11-11
ARI,2018-10-14,10.0,Sun,6,6,@,MIN,L 17-27,10.0,push,43.5,over,ARI_MIN_2018-10-14
TEN,2018-09-23,10.0,Sun,3,3,@,JAX,W 9-6,10.0,covered,39.0,under,TEN_JAX_2018-09-23
CLE,2018-09-16,10.0,Sun,2,2,@,NOR,L 18-21,10.0,covered,51.0,under,CLE_NOR_2018-09-16
TAM,2018-09-09,10.0,Sun,1,1,@,NOR,W 48-40,10.0,covered,50.0,over,TAM_NOR_2018-09-09
OAK,2017-12-25,10.0,Mon,15,16,@,PHI,L 10-19,10.0,covered,46.0,under,OAK_PHI_2017-12-25
