Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Season,game_id
JAX,2020-12-13,40,Sun,13,14,,TEN,L 10-31,40,249,6.2,2,2020,2020_14_JAX_TEN
PHI,2020-11-22,40,Sun,10,11,@,CLE,L 17-22,40,137,3.4,1,2020,2020_11_PHI_CLE
DAL,2020-10-04,40,Sun,4,4,,CLE,L 38-49,40,307,7.7,3,2020,2020_04_DAL_CLE
HOU,2020-10-04,40,Sun,4,4,,MIN,L 23-31,40,162,4.1,3,2020,2020_04_HOU_MIN
MIN,2020-09-20,40,Sun,2,2,@,IND,L 11-28,40,151,3.8,1,2020,2020_02_MIN_IND
DAL,2020-09-13,40,Sun,1,1,@,LAR,L 17-20,40,153,3.8,2,2020,2020_01_DAL_LAR
SEA,2019-12-22,40,Sun,15,16,,ARI,L 13-27,40,253,6.3,2,2019,2019_16_SEA_ARI
CLE,2019-12-22,40,Sun,15,16,,BAL,L 15-31,40,243,6.1,1,2019,2019_16_CLE_BAL
BAL,2019-11-10,40,Sun,9,10,@,CIN,W 49-13,40,157,3.9,0,2019,2019_10_BAL_CIN
CLE,2019-10-07,40,Mon,5,5,@,SFO,L 3-31,40,275,6.9,2,2019,2019_05_CLE_SFO
PIT,2019-10-06,40,Sun,5,5,,BAL,L 23-26 (OT),40,138,3.5,1,2019,2019_05_PIT_BAL
PIT,2019-09-22,40,Sun,3,3,@,SFO,L 20-24,40,168,4.2,2,2019,2019_03_PIT_SFO
MIA,2018-12-16,40,Sun,14,15,@,MIN,L 17-41,40,220,5.5,3,2018,2018_15_MIA_MIN
KAN,2018-12-09,40,Sun,13,14,,BAL,W 27-24 (OT),40,194,4.9,1,2018,2018_14_KAN_BAL
OAK,2018-10-28,40,Sun,7,8,,IND,L 28-42,40,222,5.6,2,2018,2018_08_OAK_IND
MIA,2018-09-30,40,Sun,4,4,@,NWE,L 7-38,40,175,4.4,2,2018,2018_04_MIA_NWE
CIN,2017-11-05,40,Sun,8,9,@,JAX,L 7-23,40,149,3.7,0,2017,2017_09_CIN_JAX
MIA,2017-10-26,40,Thu,7,8,@,BAL,L 0-40,40,174,4.4,0,2017,2017_08_MIA_BAL
ARI,2017-10-22,40,Sun,7,7,@,LAR,L 0-33,40,197,4.9,2,2017,2017_07_ARI_LAR
JAX,2023-01-07,39,Sat,17,18,,TEN,W 20-16,39,147,3.8,0,2022,2022_18_JAX_TEN
CHI,2023-01-01,39,Sun,16,17,@,DET,L 10-41,39,265,6.8,2,2022,2022_17_CHI_DET
CLE,2022-12-24,39,Sat,15,16,,NOR,L 10-17,39,152,3.9,2,2022,2022_16_CLE_NOR
