Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,Season,game_id
LVR,2020-12-13,5,Sun,13,14,,IND,L 27-44,5,5,5,3,3,0,2020,2020_14_LVR_IND
NYJ,2020-12-13,5,Sun,13,14,@,SEA,L 3-40,5,5,4,2,2,0,2020,2020_14_NYJ_SEA
CAR,2020-12-13,5,Sun,13,14,,DEN,L 27-32,5,4,2,0,0,0,2020,2020_14_CAR_DEN
ARI,2020-12-06,5,Sun,12,13,,LAR,L 28-38,5,5,5,2,1,0,2020,2020_13_ARI_LAR
TEN,2020-12-06,5,Sun,12,13,,CLE,L 35-41,5,5,5,2,2,0,2020,2020_13_TEN_CLE
CLE,2020-12-06,5,Sun,12,13,@,TEN,W 41-35,5,3,3,0,0,0,2020,2020_13_CLE_TEN
LAC,2020-12-06,5,Sun,12,13,,NWE,L 0-45,5,6,6,1,1,0,2020,2020_13_LAC_NWE
CHI,2020-12-06,5,Sun,12,13,,DET,L 30-34,5,5,4,0,0,0,2020,2020_13_CHI_DET
DAL,2020-11-26,5,Thu,11,12,,WAS,L 16-41,5,5,5,2,2,0,2020,2020_12_DAL_WAS
DET,2020-11-26,5,Thu,11,12,,HOU,L 25-41,5,4,3,2,2,0,2020,2020_12_DET_HOU
LVR,2020-11-22,5,Sun,10,11,,KAN,L 31-35,5,5,5,0,0,0,2020,2020_11_LVR_KAN
CAR,2020-11-15,5,Sun,10,10,,TAM,L 23-46,5,5,4,4,4,0,2020,2020_10_CAR_TAM
DET,2020-11-08,5,Sun,8,9,@,MIN,L 20-34,5,5,4,0,0,0,2020,2020_09_DET_MIN
TAM,2020-11-08,5,Sun,9,9,,NOR,L 3-38,5,5,5,1,1,0,2020,2020_09_TAM_NOR
SEA,2020-11-08,5,Sun,8,9,@,BUF,L 34-44,5,5,5,4,3,0,2020,2020_09_SEA_BUF
SFO,2020-11-01,5,Sun,8,8,@,SEA,L 27-37,5,5,4,1,1,0,2020,2020_08_SFO_SEA
NYJ,2020-11-01,5,Sun,8,8,@,KAN,L 9-35,5,5,5,0,0,0,2020,2020_08_NYJ_KAN
DEN,2020-10-25,5,Sun,6,7,,KAN,L 16-43,5,5,4,3,3,0,2020,2020_07_DEN_KAN
HOU,2020-10-25,5,Sun,7,7,,GNB,L 20-35,5,5,5,0,0,0,2020,2020_07_HOU_GNB
CIN,2020-10-25,5,Sun,7,7,,CLE,L 34-37,5,5,4,1,1,0,2020,2020_07_CIN_CLE
JAX,2020-10-25,5,Sun,7,7,@,LAC,L 29-39,5,4,3,3,2,0,2020,2020_07_JAX_LAC
DAL,2020-10-19,5,Mon,6,6,,ARI,L 10-38,5,5,5,1,1,0,2020,2020_06_DAL_ARI
GNB,2020-10-18,5,Sun,5,6,@,TAM,L 10-38,5,5,5,1,1,0,2020,2020_06_GNB_TAM
CLE,2020-10-18,5,Sun,6,6,@,PIT,L 7-38,5,5,5,1,1,0,2020,2020_06_CLE_PIT
TEN,2020-10-18,5,Sun,5,6,,HOU,W 42-36 (OT),5,4,3,1,1,0,2020,2020_06_TEN_HOU
KAN,2020-10-11,5,Sun,5,5,,LVR,L 32-40,5,5,4,2,2,0,2020,2020_05_KAN_LVR
PHI,2020-10-11,5,Sun,5,5,@,PIT,L 29-38,5,5,5,1,1,0,2020,2020_05_PHI_PIT
LAC,2020-10-04,5,Sun,4,4,@,TAM,L 31-38,5,5,5,2,1,0,2020,2020_04_LAC_TAM
DET,2020-10-04,5,Sun,4,4,,NOR,L 29-35,5,5,5,0,0,0,2020,2020_04_DET_NOR
CLE,2020-10-04,5,Sun,4,4,@,DAL,W 49-38,5,2,2,0,0,0,2020,2020_04_CLE_DAL
BAL,2020-09-28,5,Mon,3,3,,KAN,L 20-34,5,5,4,1,0,0,2020,2020_03_BAL_KAN
LAR,2020-09-27,5,Sun,3,3,@,BUF,L 32-35,5,5,5,0,0,0,2020,2020_03_LAR_BUF
DAL,2020-09-27,5,Sun,3,3,@,SEA,L 31-38,5,4,4,0,0,1,2020,2020_03_DAL_SEA
ATL,2020-09-20,5,Sun,2,2,@,DAL,L 39-40,5,4,4,2,2,0,2020,2020_02_ATL_DAL
PHI,2020-09-20,5,Sun,2,2,,LAR,L 19-37,5,5,4,1,1,0,2020,2020_02_PHI_LAR
DET,2020-09-20,5,Sun,2,2,@,GNB,L 21-42,5,4,4,2,2,0,2020,2020_02_DET_GNB
NWE,2020-09-20,5,Sun,2,2,@,SEA,L 30-35,5,5,5,0,0,0,2020,2020_02_NWE_SEA
CIN,2020-09-17,5,Thu,2,2,@,CLE,L 30-35,5,5,5,0,0,0,2020,2020_02_CIN_CLE
CLE,2020-09-13,5,Sun,1,1,@,BAL,L 6-38,5,5,5,1,1,0,2020,2020_01_CLE_BAL
ATL,2020-09-13,5,Sun,1,1,,SEA,L 25-38,5,5,5,1,1,0,2020,2020_01_ATL_SEA
MIN,2020-09-13,5,Sun,1,1,,GNB,L 34-43,5,5,5,2,2,1,2020,2020_01_MIN_GNB
HOU,2019-12-29,5,Sun,16,17,,TEN,L 14-35,5,5,5,0,0,0,2019,2019_17_HOU_TEN
WAS,2019-12-29,5,Sun,16,17,@,DAL,L 16-47,5,5,5,4,4,0,2019,2019_17_WAS_DAL
TEN,2019-12-22,5,Sun,15,16,,NOR,L 28-38,5,5,5,1,1,0,2019,2019_16_TEN_NOR
CAR,2019-12-22,5,Sun,15,16,@,IND,L 6-38,5,5,5,1,1,0,2019,2019_16_CAR_IND
NYG,2019-12-22,5,Sun,15,16,@,WAS,W 41-35 (OT),5,5,5,0,0,0,2019,2019_16_NYG_WAS
CIN,2019-12-22,5,Sun,15,16,@,MIA,L 35-38 (OT),5,5,5,2,1,0,2019,2019_16_CIN_MIA
DET,2019-12-15,5,Sun,14,15,,TAM,L 17-38,5,5,5,2,1,0,2019,2019_15_DET_TAM
WAS,2019-12-15,5,Sun,14,15,,PHI,L 27-37,5,4,4,1,1,0,2019,2019_15_WAS_PHI
LAR,2019-12-15,5,Sun,14,15,@,DAL,L 21-44,5,5,5,3,3,0,2019,2019_15_LAR_DAL
CLE,2019-12-15,5,Sun,14,15,@,ARI,L 24-38,5,5,5,1,1,0,2019,2019_15_CLE_ARI
MIA,2019-12-15,5,Sun,14,15,@,NYG,L 20-36,5,5,4,0,0,1,2019,2019_15_MIA_NYG
IND,2019-12-08,5,Sun,13,14,@,TAM,L 35-38,5,5,5,1,1,0,2019,2019_14_IND_TAM
HOU,2019-12-08,5,Sun,13,14,,DEN,L 24-38,5,5,5,1,1,0,2019,2019_14_HOU_DEN
OAK,2019-12-01,5,Sun,12,13,@,KAN,L 9-40,5,5,5,1,1,0,2019,2019_13_OAK_KAN
PHI,2019-12-01,5,Sun,12,13,@,MIA,L 31-37,5,3,2,1,1,0,2019,2019_13_PHI_MIA
ATL,2019-11-24,5,Sun,11,12,,TAM,L 22-35,5,5,2,1,1,0,2019,2019_12_ATL_TAM
MIA,2019-11-24,5,Sun,11,12,@,CLE,L 24-41,5,5,5,3,2,0,2019,2019_12_MIA_CLE
ARI,2019-11-17,5,Sun,11,11,@,SFO,L 26-36,5,3,3,1,1,0,2019,2019_11_ARI_SFO
WAS,2019-11-17,5,Sun,10,11,,NYJ,L 17-34,5,5,4,1,0,0,2019,2019_11_WAS_NYJ
