Team,Date,1stDOpp,Day,G#,Week,,Opp,Result,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Season,game_id
LAC,2021-09-26,33,Sun,3,3,@,KAN,W 30-24,33,12,17,4,10,6,60.0,0,0,,2021,2021_03_LAC_KAN
SEA,2021-09-19,33,Sun,2,2,,TEN,L 30-33 (OT),33,11,16,6,14,6,42.9,1,0,0.0,2021,2021_02_SEA_TEN
BAL,2020-12-14,33,Mon,13,14,@,CLE,W 47-42,33,10,18,5,12,5,41.7,2,2,100.0,2020,2020_14_BAL_CLE
ARI,2020-10-25,33,Sun,7,7,,SEA,W 37-34 (OT),33,11,21,1,13,5,38.5,1,1,100.0,2020,2020_07_ARI_SEA
DAL,2020-10-04,33,Sun,4,4,,CLE,L 38-49,33,16,14,3,11,5,45.5,0,0,,2020,2020_04_DAL_CLE
ATL,2020-09-20,33,Sun,2,2,@,DAL,L 39-40,33,9,20,4,13,7,53.8,2,0,0.0,2020,2020_02_ATL_DAL
ARI,2018-12-23,33,Sun,15,16,,LAR,L 9-31,33,18,11,4,9,6,66.7,0,0,,2018,2018_16_ARI_LAR
CIN,2018-11-11,33,Sun,9,10,,NOR,L 14-51,33,18,13,2,12,7,58.3,1,1,100.0,2018,2018_10_CIN_NOR
CIN,2018-10-21,33,Sun,7,7,@,KAN,L 10-45,33,12,19,2,12,9,75.0,1,0,0.0,2018,2018_07_CIN_KAN
ARI,2018-10-07,33,Sun,5,5,@,SFO,W 28-18,33,9,22,2,17,10,58.8,2,1,50.0,2018,2018_05_ARI_SFO
LAC,2018-09-23,33,Sun,3,3,@,LAR,L 23-35,33,12,18,3,11,8,72.7,0,0,,2018,2018_03_LAC_LAR
KAN,2018-09-16,33,Sun,2,2,@,PIT,W 42-37,33,2,25,6,11,3,27.3,2,2,100.0,2018,2018_02_KAN_PIT
KAN,2018-09-09,33,Sun,1,1,@,LAC,W 38-28,33,7,23,3,11,3,27.3,1,1,100.0,2018,2018_01_KAN_LAC
TEN,2017-10-01,33,Sun,4,4,@,HOU,L 14-57,33,10,19,4,12,6,50.0,1,1,100.0,2017,2017_04_TEN_HOU
IND,2022-12-17,32,Sat,14,15,@,MIN,L 36-39 (OT),32,4,22,6,15,5,33.3,3,0,0.0,2022,2022_15_IND_MIN
PIT,2022-09-11,32,Sun,1,1,@,CIN,W 23-20 (OT),32,5,22,5,16,8,50.0,3,1,33.3,2022,2022_01_PIT_CIN
JAX,2022-01-02,32,Sun,16,17,@,NWE,L 10-50,32,16,15,1,10,8,80.0,0,0,,2021,2021_17_JAX_NWE
