Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Season,game_id
LAR,2022-10-03,32,Mon,4,4,@,SFO,L 9-24,32,48,16,66.7,200,0,1,0.0,2.1,71.0,7,54,12.73,4.2,3.64,3.23,2.82,6.3,2022,2022_04_LAR_SFO
SEA,2022-09-25,32,Sun,3,3,,ATL,L 23-27,32,44,12,72.7,308,2,1,4.5,2.3,99.1,2,17,4.35,7.0,6.70,6.89,6.59,9.6,2022,2022_03_SEA_ATL
IND,2022-09-11,32,Sun,1,1,@,HOU,T 20-20 (OT),32,50,18,64.0,340,1,1,2.0,2.0,83.1,2,12,3.85,6.8,6.54,6.30,6.06,10.6,2022,2022_01_IND_HOU
ARI,2021-12-13,32,Mon,13,14,,LAR,L 23-30,32,49,17,65.3,344,0,2,0.0,4.1,72.1,4,39,7.55,7.0,6.49,5.18,4.79,10.8,2021,2021_14_ARI_LAR
DAL,2021-11-25,32,Thu,11,12,,LVR,L 33-36 (OT),32,47,15,68.1,373,2,0,4.3,0.0,106.2,1,2,2.08,7.9,7.77,8.79,8.60,11.7,2021,2021_12_DAL_LVR
TAM,2021-11-22,32,Mon,10,11,,NYG,W 30-10,32,48,16,66.7,308,2,1,4.2,2.1,90.5,1,10,2.04,6.4,6.29,6.31,6.18,9.6,2021,2021_11_TAM_NYG
LAC,2021-11-07,32,Sun,8,9,@,PHI,W 27-24,32,38,6,84.2,356,2,0,5.3,0.0,123.2,0,0,0.00,9.4,9.37,10.42,10.42,11.1,2021,2021_09_LAC_PHI
JAX,2021-10-31,32,Sun,7,8,@,SEA,L 7-31,32,54,22,59.3,227,1,1,1.9,1.9,68.3,1,11,1.82,4.2,4.13,3.74,3.67,7.1,2021,2021_08_JAX_SEA
MIA,2021-10-24,32,Sun,7,7,,ATL,L 28-30,32,40,8,80.0,281,4,2,10.0,5.0,109.5,1,10,2.44,7.0,6.85,6.78,6.61,8.8,2021,2021_07_MIA_ATL
KAN,2021-10-17,32,Sun,6,6,@,WAS,W 31-13,32,47,15,68.1,390,2,2,4.3,4.3,90.5,3,7,6.00,8.3,7.80,7.23,6.80,12.2,2021,2021_06_KAN_WAS
PHI,2021-10-03,32,Sun,4,4,,KAN,L 30-42,32,48,16,66.7,358,2,0,4.2,0.0,105.1,3,29,5.88,7.5,7.02,8.29,7.80,11.2,2021,2021_04_PHI_KAN
MIA,2021-09-26,32,Sun,3,3,@,LVR,L 28-31 (OT),32,49,17,65.3,197,0,0,0.0,0.0,74.8,2,18,3.92,4.0,3.86,4.02,3.86,6.2,2021,2021_03_MIA_LVR
TAM,2021-09-09,32,Thu,1,1,,DAL,W 31-29,32,50,18,64.0,379,4,2,8.0,4.0,97.0,0,0,0.00,7.6,7.58,7.38,7.38,11.8,2021,2021_01_TAM_DAL
LVR,2020-12-13,32,Sun,13,14,,IND,L 27-44,32,46,14,69.6,345,2,2,4.3,4.3,87.7,0,0,0.00,7.5,7.50,6.41,6.41,10.8,2020,2020_14_LVR_IND
BUF,2020-12-07,32,Mon,12,13,@,SFO,W 34-24,32,40,8,80.0,368,4,0,10.0,0.0,139.1,1,7,2.44,9.2,8.98,11.20,10.93,11.5,2020,2020_13_BUF_SFO
PIT,2020-11-22,32,Sun,10,11,@,JAX,W 27-3,32,46,14,69.6,267,2,1,4.3,2.2,89.7,0,0,0.00,5.8,5.80,5.70,5.70,8.3,2020,2020_11_PIT_JAX
PIT,2020-10-25,32,Sun,6,7,@,TEN,W 27-24,32,49,17,65.3,268,2,3,4.1,6.1,67.4,0,0,0.00,5.5,5.47,3.53,3.53,8.4,2020,2020_07_PIT_TEN
WAS,2020-10-04,32,Sun,4,4,,BAL,L 17-31,32,45,13,71.1,274,0,0,0.0,0.0,90.4,3,40,6.25,6.1,5.71,6.09,5.71,8.6,2020,2020_04_WAS_BAL
SFO,2020-10-04,32,Sun,4,4,,PHI,L 20-25,32,45,13,71.1,301,1,2,2.2,4.4,81.5,5,37,10.00,6.7,6.02,5.13,4.62,9.4,2020,2020_04_SFO_PHI
LVR,2020-10-04,32,Sun,4,4,,BUF,L 23-30,32,44,12,72.7,297,2,0,4.5,0.0,107.3,2,14,4.35,6.8,6.46,7.66,7.33,9.3,2020,2020_04_LVR_BUF
GNB,2020-09-13,32,Sun,1,1,@,MIN,W 43-34,32,44,12,72.7,364,4,0,9.1,0.0,127.5,0,0,0.00,8.3,8.27,10.09,10.09,11.4,2020,2020_01_GNB_MIN
ATL,2019-12-22,32,Sun,15,16,,JAX,W 24-12,32,45,13,71.1,383,1,2,2.2,4.4,85.8,1,1,2.17,8.5,8.33,6.96,6.80,12.0,2019,2019_16_ATL_JAX
DAL,2019-11-28,32,Thu,12,13,,BUF,L 15-26,32,49,17,65.3,323,2,1,4.1,2.0,91.8,4,32,7.55,6.6,6.09,6.49,6.00,10.1,2019,2019_13_DAL_BUF
JAX,2019-11-24,32,Sun,11,12,@,TEN,L 20-42,32,48,16,66.7,252,0,0,0.0,0.0,81.2,3,20,5.88,5.3,4.94,5.25,4.94,7.9,2019,2019_12_JAX_TEN
MIA,2019-11-17,32,Sun,10,11,,BUF,L 20-37,32,45,13,71.1,280,0,0,0.0,0.0,91.2,7,43,13.46,6.2,5.38,6.22,5.38,8.8,2019,2019_11_MIA_BUF
CIN,2019-10-27,32,Sun,8,8,@,LAR,L 10-24,32,52,20,61.5,297,1,0,1.9,0.0,86.1,5,32,8.77,5.7,5.21,6.10,5.56,9.3,2019,2019_08_CIN_LAR
LAC,2019-10-06,32,Sun,5,5,,DEN,L 13-20,32,48,16,66.7,211,0,2,0.0,4.2,58.6,0,0,0.00,4.4,4.40,2.52,2.52,6.6,2019,2019_05_LAC_DEN
ATL,2019-10-06,32,Sun,5,5,@,HOU,L 32-53,32,46,14,69.6,316,3,1,6.5,2.2,102.6,2,14,4.17,6.9,6.58,7.20,6.90,9.9,2019,2019_05_ATL_HOU
