Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,TO,Season,game_id
IND,2019-10-27,279,Sun,7,8,,DEN,W 15-13,279,0,2019,2019_08_IND_DEN
CHI,2018-12-23,279,Sun,15,16,@,SFO,W 14-9,279,1,2018,2018_16_CHI_SFO
NOR,2018-12-09,279,Sun,13,14,@,TAM,W 28-14,279,1,2018,2018_14_NOR_TAM
DET,2018-12-09,279,Sun,13,14,@,ARI,W 17-3,279,1,2018,2018_14_DET_ARI
NOR,2017-12-03,279,Sun,12,13,,CAR,W 31-21,279,1,2017,2017_13_NOR_CAR
SEA,2017-11-20,279,Mon,10,11,,ATL,L 31-34,279,1,2017,2017_11_SEA_ATL
ATL,2017-10-29,279,Sun,7,8,@,NYJ,W 25-20,279,1,2017,2017_08_ATL_NYJ
CAR,2017-10-29,279,Sun,8,8,@,TAM,W 17-3,279,3,2017,2017_08_CAR_TAM
NYJ,2022-10-16,278,Sun,6,6,@,GNB,W 27-10,278,1,2022,2022_06_NYJ_GNB
GNB,2022-10-16,278,Sun,6,6,,NYJ,L 10-27,278,0,2022,2022_06_GNB_NYJ
SFO,2021-12-23,278,Thu,15,16,@,TEN,L 17-20,278,0,2021,2021_16_SFO_TEN
CIN,2021-11-21,278,Sun,10,11,@,LVR,W 32-13,278,2,2021,2021_11_CIN_LVR
SFO,2021-11-15,278,Mon,9,10,,LAR,W 31-10,278,2,2021,2021_10_SFO_LAR
DAL,2021-10-31,278,Sun,7,8,@,MIN,W 20-16,278,0,2021,2021_08_DAL_MIN
GNB,2020-12-06,278,Sun,12,13,,PHI,W 30-16,278,1,2020,2020_13_GNB_PHI
KAN,2019-12-08,278,Sun,13,14,@,NWE,W 23-16,278,1,2019,2019_14_KAN_NWE
WAS,2019-12-01,278,Sun,12,13,@,CAR,W 29-21,278,2,2019,2019_13_WAS_CAR
LAC,2019-11-07,278,Thu,10,10,@,OAK,L 24-26,278,0,2019,2019_10_LAC_OAK
NWE,2018-12-02,278,Sun,12,13,,MIN,W 24-10,278,2,2018,2018_13_NWE_MIN
HOU,2018-11-18,278,Sun,10,11,@,WAS,W 23-21,278,2,2018,2018_11_HOU_WAS
LAC,2023-01-01,277,Sun,16,17,,LAR,W 31-10,277,1,2022,2022_17_LAC_LAR
JAX,2023-01-01,277,Sun,16,17,@,HOU,W 31-3,277,1,2022,2022_17_JAX_HOU
SFO,2022-12-15,277,Thu,14,15,@,SEA,W 21-13,277,1,2022,2022_15_SFO_SEA
NYG,2022-10-30,277,Sun,8,8,@,SEA,L 13-27,277,1,2022,2022_08_NYG_SEA
GNB,2021-10-17,277,Sun,6,6,@,CHI,W 24-14,277,1,2021,2021_06_GNB_CHI
CLE,2020-10-18,277,Sun,6,6,@,PIT,L 7-38,277,0,2020,2020_06_CLE_PIT
SFO,2020-09-20,277,Sun,2,2,@,NYJ,W 31-13,277,0,2020,2020_02_SFO_NYJ
NYJ,2019-12-01,277,Sun,12,13,@,CIN,L 6-22,277,0,2019,2019_13_NYJ_CIN
PIT,2019-10-06,277,Sun,5,5,,BAL,L 23-26 (OT),277,3,2019,2019_05_PIT_BAL
SFO,2018-11-12,277,Mon,10,10,,NYG,L 23-27,277,0,2018,2018_10_SFO_NYG
KAN,2021-11-21,276,Sun,11,11,,DAL,W 19-9,276,3,2021,2021_11_KAN_DAL
KAN,2021-10-17,276,Sun,6,6,@,WAS,W 31-13,276,2,2021,2021_06_KAN_WAS
NWE,2019-12-01,276,Sun,12,13,@,HOU,L 22-28,276,0,2019,2019_13_NWE_HOU
DEN,2018-12-30,276,Sun,16,17,,LAC,L 9-23,276,4,2018,2018_17_DEN_LAC
SEA,2018-12-10,276,Mon,13,14,,MIN,W 21-7,276,1,2018,2018_14_SEA_MIN
CHI,2018-09-17,276,Mon,2,2,,SEA,W 24-17,276,2,2018,2018_02_CHI_SEA
CIN,2017-12-24,276,Sun,15,16,,DET,W 26-17,276,1,2017,2017_16_CIN_DET
TAM,2017-12-03,276,Sun,12,13,@,GNB,L 20-26 (OT),276,1,2017,2017_13_TAM_GNB
IND,2017-11-26,276,Sun,11,12,,TEN,L 16-20,276,2,2017,2017_12_IND_TEN
DEN,2017-10-30,276,Mon,7,8,@,KAN,L 19-29,276,2,2017,2017_08_DEN_KAN
IND,2017-10-29,276,Sun,8,8,@,CIN,L 23-24,276,2,2017,2017_08_IND_CIN
MIN,2017-10-29,276,Sun,8,8,@,CLE,W 33-16,276,2,2017,2017_08_MIN_CLE
NYG,2022-09-18,275,Sun,2,2,,CAR,W 19-16,275,2,2022,2022_02_NYG_CAR
BUF,2021-12-19,275,Sun,14,15,,CAR,W 31-14,275,1,2021,2021_15_BUF_CAR
SFO,2021-12-19,275,Sun,14,15,,ATL,W 31-13,275,1,2021,2021_15_SFO_ATL
NWE,2021-12-18,275,Sat,14,15,@,IND,L 17-27,275,1,2021,2021_15_NWE_IND
DET,2020-10-18,275,Sun,5,6,@,JAX,W 34-16,275,2,2020,2020_06_DET_JAX
JAX,2019-12-29,275,Sun,16,17,,IND,W 38-20,275,2,2019,2019_17_JAX_IND
ARI,2019-12-08,275,Sun,13,14,,PIT,L 17-23,275,2,2019,2019_14_ARI_PIT
PIT,2018-10-14,275,Sun,6,6,@,CIN,W 28-21,275,0,2018,2018_06_PIT_CIN
CLE,2018-09-16,275,Sun,2,2,@,NOR,L 18-21,275,2,2018,2018_02_CLE_NOR
MIN,2017-12-03,275,Sun,12,13,@,ATL,W 14-9,275,0,2017,2017_13_MIN_ATL
WAS,2017-11-30,275,Thu,12,13,@,DAL,L 14-38,275,0,2017,2017_13_WAS_DAL
TAM,2017-11-12,275,Sun,9,10,,NYJ,W 15-10,275,2,2017,2017_10_TAM_NYJ
NYJ,2022-09-11,274,Sun,1,1,,BAL,L 9-24,274,1,2022,2022_01_NYJ_BAL
MIN,2018-12-10,274,Mon,13,14,@,SEA,L 7-21,274,1,2018,2018_14_MIN_SEA
SFO,2018-12-09,274,Sun,13,14,,DEN,W 20-14,274,0,2018,2018_14_SFO_DEN
PHI,2017-12-25,274,Mon,15,16,,OAK,W 19-10,274,5,2017,2017_16_PHI_OAK
LAC,2017-10-15,274,Sun,6,6,@,OAK,W 17-16,274,2,2017,2017_06_LAC_OAK
MIN,2017-10-09,274,Mon,5,5,@,CHI,W 20-17,274,2,2017,2017_05_MIN_CHI
TAM,2021-12-26,273,Sun,15,16,@,CAR,W 32-6,273,1,2021,2021_16_TAM_CAR
WAS,2021-11-14,273,Sun,9,10,,TAM,W 29-19,273,2,2021,2021_10_WAS_TAM
CAR,2021-11-07,273,Sun,9,9,,NWE,L 6-24,273,2,2021,2021_09_CAR_NWE
WAS,2021-10-31,273,Sun,8,8,@,DEN,L 10-17,273,1,2021,2021_08_WAS_DEN
CAR,2021-10-10,273,Sun,5,5,,PHI,L 18-21,273,2,2021,2021_05_CAR_PHI
MIA,2020-11-15,273,Sun,9,10,,LAC,W 29-21,273,1,2020,2020_10_MIA_LAC
LAR,2019-11-10,273,Sun,9,10,@,PIT,L 12-17,273,2,2019,2019_10_LAR_PIT
IND,2019-11-03,273,Sun,8,9,@,PIT,L 24-26,273,2,2019,2019_09_IND_PIT
DEN,2019-09-15,273,Sun,2,2,,CHI,L 14-16,273,0,2019,2019_02_DEN_CHI
DEN,2018-12-24,273,Mon,15,16,@,OAK,L 14-27,273,0,2018,2018_16_DEN_OAK
NYJ,2017-12-10,273,Sun,13,14,@,DEN,L 0-23,273,0,2017,2017_14_NYJ_DEN
ARI,2017-09-25,273,Mon,3,3,,DAL,L 17-28,273,0,2017,2017_03_ARI_DAL
HOU,2022-12-24,272,Sat,15,16,@,TEN,W 19-14,272,3,2022,2022_16_HOU_TEN
BAL,2022-12-04,272,Sun,12,13,,DEN,W 10-9,272,0,2022,2022_13_BAL_DEN
MIA,2021-11-07,272,Sun,9,9,,HOU,W 17-9,272,4,2021,2021_09_MIA_HOU
CIN,2020-12-13,272,Sun,13,14,,DAL,L 7-30,272,0,2020,2020_14_CIN_DAL
WAS,2020-11-22,272,Sun,10,11,,CIN,W 20-9,272,2,2020,2020_11_WAS_CIN
JAX,2018-10-21,272,Sun,7,7,,HOU,L 7-20,272,0,2018,2018_07_JAX_HOU
MIA,2017-10-22,272,Sun,6,7,,NYJ,W 31-28,272,2,2017,2017_07_MIA_NYJ
DEN,2017-09-24,272,Sun,3,3,@,BUF,L 16-26,272,0,2017,2017_03_DEN_BUF
TEN,2022-11-17,271,Thu,10,11,@,GNB,W 27-17,271,0,2022,2022_11_TEN_GNB
MIN,2022-10-09,271,Sun,5,5,,CHI,W 29-22,271,1,2022,2022_05_MIN_CHI
GNB,2022-10-02,271,Sun,4,4,,NWE,W 27-24 (OT),271,1,2022,2022_04_GNB_NWE
MIA,2022-09-11,271,Sun,1,1,,NWE,W 20-7,271,3,2022,2022_01_MIA_NWE
TAM,2020-09-13,271,Sun,1,1,@,NOR,L 23-34,271,0,2020,2020_01_TAM_NOR
BUF,2019-12-29,271,Sun,16,17,,NYJ,L 6-13,271,1,2019,2019_17_BUF_NYJ
DAL,2019-12-29,271,Sun,16,17,,WAS,W 47-16,271,2,2019,2019_17_DAL_WAS
CIN,2019-12-01,271,Sun,12,13,,NYJ,W 22-6,271,0,2019,2019_13_CIN_NYJ
DAL,2019-11-04,271,Mon,8,9,@,NYG,W 37-18,271,3,2019,2019_09_DAL_NYG
DEN,2019-10-17,271,Thu,7,7,,KAN,L 6-30,271,0,2019,2019_07_DEN_KAN
WAS,2019-10-13,271,Sun,6,6,@,MIA,W 17-16,271,2,2019,2019_06_WAS_MIA
SEA,2018-09-17,271,Mon,2,2,@,CHI,L 17-24,271,2,2018,2018_02_SEA_CHI
NYJ,2017-11-12,271,Sun,10,10,@,TAM,L 10-15,271,1,2017,2017_10_NYJ_TAM
OAK,2017-09-17,271,Sun,2,2,,NYJ,W 45-20,271,2,2017,2017_02_OAK_NYJ
TAM,2022-10-16,270,Sun,6,6,@,PIT,L 18-20,270,0,2022,2022_06_TAM_PIT
TEN,2019-10-13,270,Sun,6,6,@,DEN,L 0-16,270,1,2019,2019_06_TEN_DEN
LAR,2019-09-22,270,Sun,3,3,@,CLE,W 20-13,270,1,2019,2019_03_LAR_CLE
CLE,2018-12-15,270,Sat,14,15,@,DEN,W 17-16,270,2,2018,2018_15_CLE_DEN
MIN,2018-10-28,270,Sun,8,8,,NOR,L 20-30,270,1,2018,2018_08_MIN_NOR
MIA,2017-12-03,270,Sun,12,13,,DEN,W 35-9,270,3,2017,2017_13_MIA_DEN
DET,2017-09-18,270,Mon,2,2,@,NYG,W 24-10,270,1,2017,2017_02_DET_NYG
SEA,2023-01-08,269,Sun,17,18,,LAR,W 19-16 (OT),269,1,2022,2022_18_SEA_LAR
BAL,2020-12-27,269,Sun,15,16,,NYG,W 27-13,269,0,2020,2020_16_BAL_NYG
IND,2020-10-04,269,Sun,4,4,@,CHI,W 19-11,269,1,2020,2020_04_IND_CHI
NWE,2020-09-13,269,Sun,1,1,,MIA,W 21-11,269,3,2020,2020_01_NWE_MIA
BAL,2019-10-06,269,Sun,5,5,@,PIT,W 26-23 (OT),269,2,2019,2019_05_BAL_PIT
MIN,2019-09-29,269,Sun,4,4,@,CHI,L 6-16,269,0,2019,2019_04_MIN_CHI
ATL,2019-09-08,269,Sun,1,1,@,MIN,L 12-28,269,0,2019,2019_01_ATL_MIN
CLE,2017-10-22,269,Sun,7,7,,TEN,L 9-12 (OT),269,1,2017,2017_07_CLE_TEN
DAL,2022-10-16,268,Sun,6,6,@,PHI,L 17-26,268,0,2022,2022_06_DAL_PHI
PIT,2021-09-26,268,Sun,3,3,,CIN,L 10-24,268,1,2021,2021_03_PIT_CIN
LAC,2021-01-03,268,Sun,16,17,@,KAN,W 38-21,268,1,2020,2020_17_LAC_KAN
NWE,2019-12-21,268,Sat,15,16,,BUF,W 24-17,268,0,2019,2019_16_NWE_BUF
WAS,2019-11-03,268,Sun,9,9,@,BUF,L 9-24,268,0,2019,2019_09_WAS_BUF
TAM,2019-10-13,268,Sun,6,6,,CAR,L 26-37,268,1,2019,2019_06_TAM_CAR
CHI,2018-11-18,268,Sun,10,11,,MIN,W 25-20,268,3,2018,2018_11_CHI_MIN
MIN,2018-10-14,268,Sun,6,6,,ARI,W 27-17,268,2,2018,2018_06_MIN_ARI
CLE,2018-09-20,268,Thu,3,3,,NYJ,W 21-17,268,3,2018,2018_03_CLE_NYJ
KAN,2017-12-10,268,Sun,13,14,,OAK,W 26-15,268,3,2017,2017_14_KAN_OAK
NWE,2017-12-03,268,Sun,12,13,@,BUF,W 23-3,268,1,2017,2017_13_NWE_BUF
KAN,2017-11-26,268,Sun,11,12,,BUF,L 10-16,268,0,2017,2017_12_KAN_BUF
DEN,2017-09-17,268,Sun,2,2,,DAL,W 42-17,268,2,2017,2017_02_DEN_DAL
CIN,2017-09-10,268,Sun,1,1,,BAL,L 0-20,268,1,2017,2017_01_CIN_BAL
DEN,2022-09-25,267,Sun,3,3,,SFO,W 11-10,267,3,2022,2022_03_DEN_SFO
CIN,2022-09-11,267,Sun,1,1,,PIT,L 20-23 (OT),267,0,2022,2022_01_CIN_PIT
DEN,2021-12-05,267,Sun,12,13,@,KAN,L 9-22,267,1,2021,2021_13_DEN_KAN
WAS,2021-11-29,267,Mon,11,12,,SEA,W 17-15,267,1,2021,2021_12_WAS_SEA
PHI,2021-10-10,267,Sun,5,5,@,CAR,W 21-18,267,3,2021,2021_05_PHI_CAR
BAL,2020-12-20,267,Sun,14,15,,JAX,W 40-14,267,1,2020,2020_15_BAL_JAX
SFO,2020-10-04,267,Sun,4,4,,PHI,L 20-25,267,1,2020,2020_04_SFO_PHI
LAR,2019-11-17,267,Sun,10,11,,CHI,W 17-7,267,1,2019,2019_11_LAR_CHI
IND,2018-11-18,267,Sun,10,11,,TEN,W 38-10,267,2,2018,2018_11_IND_TEN
ARI,2018-10-28,267,Sun,8,8,,SFO,W 18-15,267,0,2018,2018_08_ARI_SFO
PIT,2017-11-12,267,Sun,9,10,@,IND,W 20-17,267,1,2017,2017_10_PIT_IND
DET,2022-12-04,266,Sun,12,13,,JAX,W 40-14,266,1,2022,2022_13_DET_JAX
HOU,2021-11-28,266,Sun,11,12,,NYJ,L 14-21,266,1,2021,2021_12_HOU_NYJ
ARI,2021-11-21,266,Sun,11,11,@,SEA,W 23-13,266,0,2021,2021_11_ARI_SEA
IND,2020-11-08,266,Sun,8,9,,BAL,L 10-24,266,1,2020,2020_09_IND_BAL
SFO,2019-11-17,266,Sun,10,11,,ARI,W 36-26,266,2,2019,2019_11_SFO_ARI
DAL,2019-09-29,266,Sun,4,4,@,NOR,L 10-12,266,1,2019,2019_04_DAL_NOR
BAL,2017-12-17,266,Sun,14,15,@,CLE,W 27-10,266,4,2017,2017_15_BAL_CLE
DEN,2017-10-15,266,Sun,5,6,,NYG,L 10-23,266,0,2017,2017_06_DEN_NYG
ARI,2017-09-17,266,Sun,2,2,@,IND,W 16-13 (OT),266,1,2017,2017_02_ARI_IND
CIN,2017-09-14,266,Thu,2,2,,HOU,L 9-13,266,0,2017,2017_02_CIN_HOU
CAR,2022-09-18,265,Sun,2,2,@,NYG,L 16-19,265,0,2022,2022_02_CAR_NYG
SFO,2022-01-09,265,Sun,17,18,@,LAR,W 27-24 (OT),265,2,2021,2021_18_SFO_LAR
BUF,2022-01-02,265,Sun,16,17,,ATL,W 29-15,265,1,2021,2021_17_BUF_ATL
TEN,2021-09-26,265,Sun,3,3,,IND,W 25-16,265,0,2021,2021_03_TEN_IND
PHI,2020-11-01,265,Sun,8,8,,DAL,W 23-9,265,2,2020,2020_08_PHI_DAL
WAS,2020-09-13,265,Sun,1,1,,PHI,W 27-17,265,3,2020,2020_01_WAS_PHI
NYJ,2019-10-06,265,Sun,4,5,@,PHI,L 6-31,265,1,2019,2019_05_NYJ_PHI
SEA,2019-09-22,265,Sun,3,3,,NOR,L 27-33,265,1,2019,2019_03_SEA_NOR
JAX,2018-12-02,265,Sun,12,13,,IND,W 6-0,265,2,2018,2018_13_JAX_IND
PIT,2018-11-04,265,Sun,8,9,@,BAL,W 23-16,265,0,2018,2018_09_PIT_BAL
OAK,2017-12-03,265,Sun,12,13,,NYG,W 24-17,265,2,2017,2017_13_OAK_NYG
BAL,2017-11-19,265,Sun,10,11,@,GNB,W 23-0,265,5,2017,2017_11_BAL_GNB
WAS,2022-11-14,264,Mon,10,10,@,PHI,W 32-21,264,4,2022,2022_10_WAS_PHI
PHI,2022-09-19,264,Mon,2,2,,MIN,W 24-7,264,3,2022,2022_02_PHI_MIN
