Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,Season,game_id
CIN,2021-11-28,41,Sun,11,12,,PIT,W 41-10,41,10,31,51,2021,2021_12_CIN_PIT
IND,2021-11-21,41,Sun,11,11,@,BUF,W 41-15,41,15,26,56,2021,2021_11_IND_BUF
LAC,2021-11-21,41,Sun,10,11,,PIT,W 41-37,41,37,4,78,2021,2021_11_LAC_PIT
KAN,2021-11-14,41,Sun,10,10,@,LVR,W 41-14,41,14,27,55,2021,2021_10_KAN_LVR
CLE,2021-11-07,41,Sun,9,9,@,CIN,W 41-16,41,16,25,57,2021,2021_09_CLE_CIN
CIN,2021-10-24,41,Sun,7,7,@,BAL,W 41-17,41,17,24,58,2021,2021_07_CIN_BAL
DAL,2021-09-27,41,Mon,3,3,,PHI,W 41-21,41,21,20,62,2021,2021_03_DAL_PHI
SFO,2021-09-12,41,Sun,1,1,@,DET,W 41-33,41,33,8,74,2021,2021_01_SFO_DET
TEN,2021-01-03,41,Sun,16,17,@,HOU,W 41-38,41,38,3,79,2020,2020_17_TEN_HOU
CHI,2020-12-27,41,Sun,15,16,@,JAX,W 41-17,41,17,24,58,2020,2020_16_CHI_JAX
DAL,2020-12-20,41,Sun,14,15,,SFO,W 41-33,41,33,8,74,2020,2020_15_DAL_SFO
CLE,2020-12-06,41,Sun,12,13,@,TEN,W 41-35,41,35,6,76,2020,2020_13_CLE_TEN
GNB,2020-11-29,41,Sun,11,12,,CHI,W 41-25,41,25,16,66,2020,2020_12_GNB_CHI
HOU,2020-11-26,41,Thu,11,12,@,DET,W 41-25,41,25,16,66,2020,2020_12_HOU_DET
WAS,2020-11-26,41,Thu,11,12,@,DAL,W 41-16,41,16,25,57,2020,2020_12_WAS_DAL
IND,2020-11-01,41,Sun,7,8,@,DET,W 41-21,41,21,20,62,2020,2020_08_IND_DET
NYG,2019-12-22,41,Sun,15,16,@,WAS,W 41-35 (OT),41,35,6,76,2019,2019_16_NYG_WAS
CLE,2019-11-24,41,Sun,11,12,,MIA,W 41-24,41,24,17,65,2019,2019_12_CLE_MIA
BAL,2019-11-17,41,Sun,10,11,,HOU,W 41-7,41,7,34,48,2019,2019_11_BAL_HOU
SFO,2019-09-15,41,Sun,2,2,@,CIN,W 41-17,41,17,24,58,2019,2019_02_SFO_CIN
MIN,2018-12-16,41,Sun,14,15,,MIA,W 41-17,41,17,24,58,2018,2018_15_MIN_MIA
BUF,2018-11-11,41,Sun,10,10,@,NYJ,W 41-10,41,10,31,51,2018,2018_10_BUF_NYJ
CHI,2018-11-04,41,Sun,8,9,@,BUF,W 41-9,41,9,32,50,2018,2018_09_CHI_BUF
PIT,2018-10-07,41,Sun,5,5,,ATL,W 41-17,41,17,24,58,2018,2018_05_PIT_ATL
NWE,2017-11-12,41,Sun,9,10,@,DEN,W 41-16,41,16,25,57,2017,2017_10_NWE_DEN
SEA,2017-10-29,41,Sun,7,8,,HOU,W 41-38,41,38,3,79,2017,2017_08_SEA_HOU
LAR,2017-09-21,41,Thu,3,3,@,SFO,W 41-39,41,39,2,80,2017,2017_03_LAR_SFO
DAL,2022-12-24,40,Sat,15,16,,PHI,W 40-34,40,34,6,74,2022,2022_16_DAL_PHI
JAX,2022-12-18,40,Sun,14,15,,DAL,W 40-34 (OT),40,34,6,74,2022,2022_15_JAX_DAL
DET,2022-12-04,40,Sun,12,13,,JAX,W 40-14,40,14,26,54,2022,2022_13_DET_JAX
PHI,2022-11-27,40,Sun,11,12,,GNB,W 40-33,40,33,7,73,2022,2022_12_PHI_GNB
LVR,2022-11-27,40,Sun,11,12,@,SEA,W 40-34 (OT),40,34,6,74,2022,2022_12_LVR_SEA
DAL,2022-11-20,40,Sun,10,11,@,MIN,W 40-3,40,3,37,43,2022,2022_11_DAL_MIN
NYJ,2022-10-09,40,Sun,5,5,,MIA,W 40-17,40,17,23,57,2022,2022_05_NYJ_MIA
PHI,2021-11-21,40,Sun,11,11,,NOR,W 40-29,40,29,11,69,2021,2021_11_PHI_NOR
BUF,2021-10-03,40,Sun,4,4,,HOU,W 40-0,40,0,40,40,2021,2021_04_BUF_HOU
GNB,2020-12-27,40,Sun,15,16,,TEN,W 40-14,40,14,26,54,2020,2020_16_GNB_TEN
BAL,2020-12-20,40,Sun,14,15,,JAX,W 40-14,40,14,26,54,2020,2020_15_BAL_JAX
SEA,2020-12-13,40,Sun,13,14,,NYJ,W 40-3,40,3,37,43,2020,2020_14_SEA_NYJ
ATL,2020-10-18,40,Sun,6,6,@,MIN,W 40-23,40,23,17,63,2020,2020_06_ATL_MIN
LVR,2020-10-11,40,Sun,5,5,@,KAN,W 40-32,40,32,8,72,2020,2020_05_LVR_KAN
DAL,2020-09-20,40,Sun,2,2,,ATL,W 40-39,40,39,1,79,2020,2020_02_DAL_ATL
ATL,2019-12-08,40,Sun,13,14,,CAR,W 40-20,40,20,20,60,2019,2019_14_ATL_CAR
KAN,2019-12-01,40,Sun,12,13,,OAK,W 40-9,40,9,31,49,2019,2019_13_KAN_OAK
SEA,2019-11-03,40,Sun,9,9,,TAM,W 40-34 (OT),40,34,6,74,2019,2019_09_SEA_TAM
CLE,2019-09-29,40,Sun,4,4,@,BAL,W 40-25,40,25,15,65,2019,2019_04_CLE_BAL
LAR,2019-09-29,40,Sun,4,4,,TAM,L 40-55,40,55,-15,95,2019,2019_04_LAR_TAM
KAN,2019-09-08,40,Sun,1,1,@,JAX,W 40-26,40,26,14,66,2019,2019_01_KAN_JAX
ATL,2018-12-16,40,Sun,14,15,,ARI,W 40-14,40,14,26,54,2018,2018_15_ATL_ARI
NYG,2018-12-09,40,Sun,13,14,@,WAS,W 40-16,40,16,24,56,2018,2018_14_NYG_WAS
KAN,2018-12-02,40,Sun,12,13,@,OAK,W 40-33,40,33,7,73,2018,2018_13_KAN_OAK
KAN,2018-10-14,40,Sun,6,6,@,NWE,L 40-43,40,43,-3,83,2018,2018_06_KAN_NWE
DAL,2018-10-14,40,Sun,6,6,,JAX,W 40-7,40,7,33,47,2018,2018_06_DAL_JAX
NOR,2018-09-09,40,Sun,1,1,,TAM,L 40-48,40,48,-8,88,2018,2018_01_NOR_TAM
PIT,2017-11-16,40,Thu,10,11,,TEN,W 40-17,40,17,23,57,2017,2017_11_PIT_TEN
BAL,2017-10-26,40,Thu,8,8,,MIA,W 40-0,40,0,40,40,2017,2017_08_BAL_MIA
DAL,2017-10-22,40,Sun,6,7,@,SFO,W 40-10,40,10,30,50,2017,2017_07_DAL_SFO
MIN,2022-12-17,39,Sat,14,15,,IND,W 39-36 (OT),39,36,3,75,2022,2022_15_MIN_IND
MIA,2022-11-13,39,Sun,10,10,,CLE,W 39-17,39,17,22,56,2022,2022_10_MIA_CLE
NOR,2022-10-09,39,Sun,5,5,,SEA,W 39-32,39,32,7,71,2022,2022_05_NOR_SEA
LAC,2020-10-25,39,Sun,6,7,,JAX,W 39-29,39,29,10,68,2020,2020_07_LAC_JAX
ATL,2020-09-20,39,Sun,2,2,@,DAL,L 39-40,39,40,-1,79,2020,2020_02_ATL_DAL
MIN,2019-12-15,39,Sun,14,15,@,LAC,W 39-10,39,10,29,49,2019,2019_15_MIN_LAC
LAR,2018-10-21,39,Sun,7,7,@,SFO,W 39-10,39,10,29,49,2018,2018_07_LAR_SFO
PIT,2017-12-10,39,Sun,13,14,,BAL,W 39-38,39,38,1,77,2017,2017_14_PIT_BAL
SFO,2017-09-21,39,Thu,3,3,,LAR,L 39-41,39,41,-2,80,2017,2017_03_SFO_LAR
SFO,2023-01-08,38,Sun,17,18,,ARI,W 38-13,38,13,25,51,2022,2022_18_SFO_ARI
NYG,2023-01-01,38,Sun,16,17,,IND,W 38-10,38,10,28,48,2022,2022_17_NYG_IND
SFO,2022-11-21,38,Mon,10,11,@,ARI,W 38-10,38,10,28,48,2022,2022_11_SFO_ARI
LVR,2022-10-23,38,Sun,6,7,,HOU,W 38-20,38,20,18,58,2022,2022_07_LVR_HOU
NWE,2022-10-16,38,Sun,6,6,@,CLE,W 38-15,38,15,23,53,2022,2022_06_NWE_CLE
BUF,2022-10-09,38,Sun,5,5,,PIT,W 38-3,38,3,35,41,2022,2022_05_BUF_PIT
JAX,2022-09-25,38,Sun,3,3,@,LAC,W 38-10,38,10,28,48,2022,2022_03_JAX_LAC
BAL,2022-09-18,38,Sun,2,2,,MIA,L 38-42,38,42,-4,80,2022,2022_02_BAL_MIA
PHI,2022-09-11,38,Sun,1,1,@,DET,W 38-35,38,35,3,73,2022,2022_01_PHI_DET
SEA,2022-01-09,38,Sun,17,18,@,ARI,W 38-30,38,30,8,68,2021,2021_18_SEA_ARI
DEN,2021-12-12,38,Sun,13,14,,DET,W 38-10,38,10,28,48,2021,2021_14_DEN_DET
TAM,2021-11-28,38,Sun,11,12,@,IND,W 38-31,38,31,7,69,2021,2021_12_TAM_IND
LAR,2021-10-31,38,Sun,8,8,@,HOU,W 38-22,38,22,16,60,2021,2021_08_LAR_HOU
TAM,2021-10-24,38,Sun,7,7,,CHI,W 38-3,38,3,35,41,2021,2021_07_TAM_CHI
LAR,2021-10-17,38,Sun,6,6,@,NYG,W 38-11,38,11,27,49,2021,2021_06_LAR_NYG
BUF,2021-10-10,38,Sun,5,5,@,KAN,W 38-20,38,20,18,58,2021,2021_05_BUF_KAN
ARI,2021-09-12,38,Sun,1,1,@,TEN,W 38-13,38,13,25,51,2021,2021_01_ARI_TEN
NOR,2021-09-12,38,Sun,1,1,,GNB,W 38-3,38,3,35,41,2021,2021_01_NOR_GNB
HOU,2021-01-03,38,Sun,16,17,,TEN,L 38-41,38,41,-3,79,2020,2020_17_HOU_TEN
BAL,2021-01-03,38,Sun,16,17,@,CIN,W 38-3,38,3,35,41,2020,2020_17_BAL_CIN
LAC,2021-01-03,38,Sun,16,17,@,KAN,W 38-21,38,21,17,59,2020,2020_17_LAC_KAN
BUF,2020-12-28,38,Mon,15,16,@,NWE,W 38-9,38,9,29,47,2020,2020_16_BUF_NWE
LAR,2020-12-06,38,Sun,12,13,@,ARI,W 38-28,38,28,10,66,2020,2020_13_LAR_ARI
NOR,2020-11-08,38,Sun,8,9,@,TAM,W 38-3,38,3,35,41,2020,2020_09_NOR_TAM
ARI,2020-10-19,38,Mon,6,6,@,DAL,W 38-10,38,10,28,48,2020,2020_06_ARI_DAL
PIT,2020-10-18,38,Sun,5,6,,CLE,W 38-7,38,7,31,45,2020,2020_06_PIT_CLE
TAM,2020-10-18,38,Sun,6,6,,GNB,W 38-10,38,10,28,48,2020,2020_06_TAM_GNB
PIT,2020-10-11,38,Sun,4,5,,PHI,W 38-29,38,29,9,67,2020,2020_05_PIT_PHI
TAM,2020-10-04,38,Sun,4,4,,LAC,W 38-31,38,31,7,69,2020,2020_04_TAM_LAC
DAL,2020-10-04,38,Sun,4,4,,CLE,L 38-49,38,49,-11,87,2020,2020_04_DAL_CLE
