Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,Season,game_id
ARI,2017-11-05,20,Sun,8,9,@,SFO,W 20-10,20,10,10,30,2017,2017_09_ARI_SFO
NYJ,2017-10-29,20,Sun,8,8,,ATL,L 20-25,20,25,-5,45,2017,2017_08_NYJ_ATL
NOR,2017-10-29,20,Sun,7,8,,CHI,W 20-12,20,12,8,32,2017,2017_08_NOR_CHI
PIT,2017-10-29,20,Sun,8,8,@,DET,W 20-15,20,15,5,35,2017,2017_08_PIT_DET
MIA,2017-10-15,20,Sun,5,6,@,ATL,W 20-17,20,17,3,37,2017,2017_06_MIA_ATL
MIN,2017-10-09,20,Mon,5,5,@,CHI,W 20-17,20,17,3,37,2017,2017_05_MIN_CHI
CIN,2017-10-08,20,Sun,5,5,,BUF,W 20-16,20,16,4,36,2017,2017_05_CIN_BUF
WAS,2017-10-02,20,Mon,4,4,@,KAN,L 20-29,20,29,-9,49,2017,2017_04_WAS_KAN
NOR,2017-10-01,20,Sun,4,4,@,MIA,W 20-0,20,0,20,20,2017,2017_04_NOR_MIA
JAX,2017-10-01,20,Sun,4,4,@,NYJ,L 20-23 (OT),20,23,-3,43,2017,2017_04_JAX_NYJ
NYJ,2017-09-24,20,Sun,3,3,,MIA,W 20-6,20,6,14,26,2017,2017_03_NYJ_MIA
PHI,2017-09-17,20,Sun,2,2,@,KAN,L 20-27,20,27,-7,47,2017,2017_02_PHI_KAN
NOR,2017-09-17,20,Sun,2,2,,NWE,L 20-36,20,36,-16,56,2017,2017_02_NOR_NWE
NYJ,2017-09-17,20,Sun,2,2,@,OAK,L 20-45,20,45,-25,65,2017,2017_02_NYJ_OAK
LAR,2017-09-17,20,Sun,2,2,,WAS,L 20-27,20,27,-7,47,2017,2017_02_LAR_WAS
BAL,2017-09-10,20,Sun,1,1,@,CIN,W 20-0,20,0,20,20,2017,2017_01_BAL_CIN
SEA,2023-01-08,19,Sun,17,18,,LAR,W 19-16 (OT),19,16,3,35,2022,2022_18_SEA_LAR
ARI,2023-01-01,19,Sun,16,17,@,ATL,L 19-20,19,20,-1,39,2022,2022_17_ARI_ATL
TAM,2022-12-25,19,Sun,15,16,@,ARI,W 19-16 (OT),19,16,3,35,2022,2022_16_TAM_ARI
HOU,2022-12-24,19,Sat,15,16,@,TEN,W 19-14,19,14,5,33,2022,2022_16_HOU_TEN
JAX,2022-12-22,19,Thu,15,16,@,NYJ,W 19-3,19,3,16,22,2022,2022_16_JAX_NYJ
PIT,2022-12-04,19,Sun,12,13,@,ATL,W 19-16,19,16,3,35,2022,2022_13_PIT_ATL
IND,2022-12-04,19,Sun,13,13,@,DAL,L 19-54,19,54,-35,73,2022,2022_13_IND_DAL
CHI,2022-12-04,19,Sun,13,13,,GNB,L 19-28,19,28,-9,47,2022,2022_13_CHI_GNB
WAS,2022-11-27,19,Sun,12,12,,ATL,W 19-13,19,13,6,32,2022,2022_12_WAS_ATL
TEN,2022-10-23,19,Sun,6,7,,IND,W 19-10,19,10,9,29,2022,2022_07_TEN_IND
LAC,2022-10-17,19,Mon,6,6,,DEN,W 19-16 (OT),19,16,3,35,2022,2022_06_LAC_DEN
SEA,2022-10-16,19,Sun,6,6,,ARI,W 19-9,19,9,10,28,2022,2022_06_SEA_ARI
BAL,2022-10-09,19,Sun,5,5,,CIN,W 19-17,19,17,2,36,2022,2022_05_BAL_CIN
BUF,2022-09-25,19,Sun,3,3,@,MIA,L 19-21,19,21,-2,40,2022,2022_03_BUF_MIA
NYG,2022-09-18,19,Sun,2,2,,CAR,W 19-16,19,16,3,35,2022,2022_02_NYG_CAR
TAM,2022-09-11,19,Sun,1,1,@,DAL,W 19-3,19,3,16,22,2022,2022_01_TAM_DAL
LVR,2022-09-11,19,Sun,1,1,@,LAC,L 19-24,19,24,-5,43,2022,2022_01_LVR_LAC
CHI,2022-09-11,19,Sun,1,1,,SFO,W 19-10,19,10,9,29,2022,2022_01_CHI_SFO
BAL,2022-01-02,19,Sun,16,17,,LAR,L 19-20,19,20,-1,39,2021,2021_17_BAL_LAR
PIT,2021-12-19,19,Sun,14,15,,TEN,W 19-13,19,13,6,32,2021,2021_15_PIT_TEN
BAL,2021-12-05,19,Sun,12,13,@,PIT,L 19-20,19,20,-1,39,2021,2021_13_BAL_PIT
KAN,2021-11-21,19,Sun,11,11,,DAL,W 19-9,19,9,10,28,2021,2021_11_KAN_DAL
TAM,2021-11-14,19,Sun,9,10,@,WAS,L 19-29,19,29,-10,48,2021,2021_10_TAM_WAS
CAR,2021-10-31,19,Sun,8,8,@,ATL,W 19-13,19,13,6,32,2021,2021_08_CAR_ATL
DET,2021-10-24,19,Sun,7,7,@,LAR,L 19-28,19,28,-9,47,2021,2021_07_DET_LAR
MIN,2021-10-10,19,Sun,5,5,,DET,W 19-17,19,17,2,36,2021,2021_05_MIN_DET
JAX,2021-10-10,19,Sun,5,5,,TEN,L 19-37,19,37,-18,56,2021,2021_05_JAX_TEN
DEN,2021-10-10,19,Sun,5,5,@,PIT,L 19-27,19,27,-8,46,2021,2021_05_DEN_PIT
TAM,2021-10-03,19,Sun,4,4,@,NWE,W 19-17,19,17,2,36,2021,2021_04_TAM_NWE
JAX,2021-09-26,19,Sun,3,3,,ARI,L 19-31,19,31,-12,50,2021,2021_03_JAX_ARI
BAL,2021-09-26,19,Sun,3,3,@,DET,W 19-17,19,17,2,36,2021,2021_03_BAL_DET
CAR,2021-09-12,19,Sun,1,1,,NYJ,W 19-14,19,14,5,33,2021,2021_01_CAR_NYJ
DAL,2021-01-03,19,Sun,16,17,@,NYG,L 19-23,19,23,-4,42,2020,2020_17_DAL_NYG
LAC,2020-12-27,19,Sun,15,16,,DEN,W 19-16,19,16,3,35,2020,2020_16_LAC_DEN
DEN,2020-12-19,19,Sat,14,15,,BUF,L 19-48,19,48,-29,67,2020,2020_15_DEN_BUF
MIA,2020-12-06,19,Sun,12,13,,CIN,W 19-7,19,7,12,26,2020,2020_13_MIA_CIN
PIT,2020-12-02,19,Wed,11,12,,BAL,W 19-14,19,14,5,33,2020,2020_12_PIT_BAL
NYG,2020-11-29,19,Sun,11,12,@,CIN,W 19-17,19,17,2,36,2020,2020_12_NYG_CIN
MIN,2020-11-16,19,Mon,9,10,@,CHI,W 19-13,19,13,6,32,2020,2020_10_MIN_CHI
DAL,2020-11-08,19,Sun,9,9,,PIT,L 19-24,19,24,-5,43,2020,2020_09_DAL_PIT
WAS,2020-10-18,19,Sun,6,6,@,NYG,L 19-20,19,20,-1,39,2020,2020_06_WAS_NYG
TAM,2020-10-08,19,Thu,5,5,@,CHI,L 19-20,19,20,-1,39,2020,2020_05_TAM_CHI
IND,2020-10-04,19,Sun,4,4,@,CHI,W 19-11,19,11,8,30,2020,2020_04_IND_CHI
PHI,2020-09-20,19,Sun,2,2,,LAR,L 19-37,19,37,-18,56,2020,2020_02_PHI_LAR
MIN,2019-12-29,19,Sun,16,17,,CHI,L 19-21,19,21,-2,40,2019,2019_17_MIN_CHI
CIN,2019-12-08,19,Sun,13,14,@,CLE,L 19-27,19,27,-8,46,2019,2019_14_CIN_CLE
WAS,2019-11-24,19,Sun,11,12,,DET,W 19-16,19,16,3,35,2019,2019_12_WAS_DET
CHI,2019-11-24,19,Sun,11,12,,NYG,W 19-14,19,14,5,33,2019,2019_12_CHI_NYG
CLE,2019-11-10,19,Sun,9,10,,BUF,W 19-16,19,16,3,35,2019,2019_10_CLE_BUF
CLE,2019-11-03,19,Sun,8,9,@,DEN,L 19-24,19,24,-5,43,2019,2019_09_CLE_DEN
MIN,2019-10-24,19,Thu,8,8,,WAS,W 19-9,19,9,10,28,2019,2019_08_MIN_WAS
IND,2019-10-06,19,Sun,5,5,@,KAN,W 19-13,19,13,6,32,2019,2019_05_IND_KAN
IND,2019-09-15,19,Sun,2,2,@,TEN,W 19-17,19,17,2,36,2019,2019_02_IND_TEN
ATL,2018-11-18,19,Sun,10,11,,DAL,L 19-22,19,22,-3,41,2018,2018_11_ATL_DAL
CAR,2018-11-18,19,Sun,10,11,@,DET,L 19-20,19,20,-1,39,2018,2018_11_CAR_DET
HOU,2018-11-04,19,Sun,9,9,@,DEN,W 19-17,19,17,2,36,2018,2018_09_HOU_DEN
TEN,2018-10-21,19,Sun,7,7,@,LAC,L 19-20,19,20,-1,39,2018,2018_07_TEN_LAC
WAS,2018-10-08,19,Mon,4,5,@,NOR,L 19-43,19,43,-24,62,2018,2018_05_WAS_NOR
HOU,2018-10-07,19,Sun,5,5,,DAL,W 19-16 (OT),19,16,3,35,2018,2018_05_HOU_DAL
OAK,2018-09-16,19,Sun,2,2,@,DEN,L 19-20,19,20,-1,39,2018,2018_02_OAK_DEN
PHI,2017-12-25,19,Mon,15,16,,OAK,W 19-10,19,10,9,29,2017,2017_16_PHI_OAK
TAM,2017-12-24,19,Sun,15,16,@,CAR,L 19-22,19,22,-3,41,2017,2017_16_TAM_CAR
NYJ,2017-12-17,19,Sun,14,15,@,NOR,L 19-31,19,31,-12,50,2017,2017_15_NYJ_NOR
LAC,2017-12-03,19,Sun,12,13,,CLE,W 19-10,19,10,9,29,2017,2017_13_LAC_CLE
JAX,2017-11-19,19,Sun,10,11,@,CLE,W 19-7,19,7,12,26,2017,2017_11_JAX_CLE
DEN,2017-10-30,19,Mon,7,8,@,KAN,L 19-29,19,29,-10,48,2017,2017_08_DEN_KAN
WAS,2017-10-29,19,Sun,7,8,,DAL,L 19-33,19,33,-14,52,2017,2017_08_WAS_DAL
PIT,2017-10-15,19,Sun,6,6,@,KAN,W 19-13,19,13,6,32,2017,2017_06_PIT_KAN
NWE,2017-10-05,19,Thu,5,5,@,TAM,W 19-14,19,14,5,33,2017,2017_05_NWE_TAM
MIA,2017-09-17,19,Sun,1,2,@,LAC,W 19-17,19,17,2,36,2017,2017_02_MIA_LAC
NOR,2017-09-11,19,Mon,1,1,@,MIN,L 19-29,19,29,-10,48,2017,2017_01_NOR_MIN
DAL,2017-09-10,19,Sun,1,1,,NYG,W 19-3,19,3,16,22,2017,2017_01_DAL_NYG
NWE,2022-12-24,18,Sat,15,16,,CIN,L 18-22,18,22,-4,40,2022,2022_16_NWE_CIN
ATL,2022-12-18,18,Sun,14,15,@,NOR,L 18-21,18,21,-3,39,2022,2022_15_ATL_NOR
NYG,2022-11-20,18,Sun,10,11,,DET,L 18-31,18,31,-13,49,2022,2022_11_NYG_DET
TAM,2022-10-16,18,Sun,6,6,@,PIT,L 18-20,18,20,-2,38,2022,2022_06_TAM_PIT
NOR,2022-01-02,18,Sun,16,17,,CAR,W 18-10,18,10,8,28,2021,2021_17_NOR_CAR
NYJ,2021-12-05,18,Sun,12,13,,PHI,L 18-33,18,33,-15,51,2021,2021_13_NYJ_PHI
SFO,2021-10-24,18,Sun,6,7,,IND,L 18-30,18,30,-12,48,2021,2021_07_SFO_IND
CAR,2021-10-10,18,Sun,5,5,,PHI,L 18-21,18,21,-3,39,2021,2021_05_CAR_PHI
LAR,2021-01-03,18,Sun,16,17,,ARI,W 18-7,18,7,11,25,2020,2020_17_LAR_ARI
BUF,2020-10-25,18,Sun,7,7,@,NYJ,W 18-10,18,10,8,28,2020,2020_07_BUF_NYJ
DEN,2020-10-18,18,Sun,5,6,@,NWE,W 18-12,18,12,6,30,2020,2020_06_DEN_NWE
ATL,2019-11-28,18,Thu,12,13,,NOR,L 18-26,18,26,-8,44,2019,2019_13_ATL_NOR
NYG,2019-11-04,18,Mon,9,9,,DAL,L 18-37,18,37,-19,55,2019,2019_09_NYG_DAL
NYJ,2019-11-03,18,Sun,8,9,@,MIA,L 18-26,18,26,-8,44,2019,2019_09_NYJ_MIA
CIN,2018-12-23,18,Sun,15,16,@,CLE,L 18-26,18,26,-8,44,2018,2018_16_CIN_CLE
JAX,2018-10-28,18,Sun,8,8,,PHI,L 18-24,18,24,-6,42,2018,2018_08_JAX_PHI
CLE,2018-10-28,18,Sun,8,8,@,PIT,L 18-33,18,33,-15,51,2018,2018_08_CLE_PIT
ARI,2018-10-28,18,Sun,8,8,,SFO,W 18-15,18,15,3,33,2018,2018_08_ARI_SFO
SFO,2018-10-07,18,Sun,5,5,,ARI,L 18-28,18,28,-10,46,2018,2018_05_SFO_ARI
NYG,2018-09-30,18,Sun,4,4,,NOR,L 18-33,18,33,-15,51,2018,2018_04_NYG_NOR
CLE,2018-09-16,18,Sun,2,2,@,NOR,L 18-21,18,21,-3,39,2018,2018_02_CLE_NOR
PHI,2018-09-06,18,Thu,1,1,,ATL,W 18-12,18,12,6,30,2018,2018_01_PHI_ATL
NYG,2017-12-31,18,Sun,16,17,,WAS,W 18-10,18,10,8,28,2017,2017_17_NYG_WAS
IND,2017-10-01,18,Sun,4,4,@,SEA,L 18-46,18,46,-28,64,2017,2017_04_IND_SEA
ARI,2017-10-01,18,Sun,4,4,,SFO,W 18-15 (OT),18,15,3,33,2017,2017_04_ARI_SFO
CLE,2017-09-10,18,Sun,1,1,,PIT,L 18-21,18,21,-3,39,2017,2017_01_CLE_PIT
TAM,2023-01-08,17,Sun,17,18,@,ATL,L 17-30,17,30,-13,47,2022,2022_18_TAM_ATL
MIN,2023-01-01,17,Sun,16,17,@,GNB,L 17-41,17,41,-24,58,2022,2022_17_MIN_GNB
BAL,2022-12-24,17,Sat,15,16,,ATL,W 17-9,17,9,8,26,2022,2022_16_BAL_ATL
NOR,2022-12-24,17,Sat,15,16,@,CLE,W 17-10,17,10,7,27,2022,2022_16_NOR_CLE
NYJ,2022-12-18,17,Sun,14,15,,DET,L 17-20,17,20,-3,37,2022,2022_15_NYJ_DET
LAC,2022-12-18,17,Sun,14,15,,TEN,W 17-14,17,14,3,31,2022,2022_15_LAC_TEN
MIA,2022-12-11,17,Sun,13,14,@,LAC,L 17-23,17,23,-6,40,2022,2022_14_MIA_LAC
LAR,2022-12-08,17,Thu,13,14,,LVR,W 17-16,17,16,1,33,2022,2022_14_LAR_LVR
TAM,2022-12-05,17,Mon,12,13,,NOR,W 17-16,17,16,1,33,2022,2022_13_TAM_NOR
MIA,2022-12-04,17,Sun,12,13,@,SFO,L 17-33,17,33,-16,50,2022,2022_13_MIA_SFO
IND,2022-11-28,17,Mon,12,12,,PIT,L 17-24,17,24,-7,41,2022,2022_12_IND_PIT
TAM,2022-11-27,17,Sun,11,12,@,CLE,L 17-23 (OT),17,23,-6,40,2022,2022_12_TAM_CLE
PHI,2022-11-20,17,Sun,10,11,@,IND,W 17-16,17,16,1,33,2022,2022_11_PHI_IND
GNB,2022-11-17,17,Thu,11,11,,TEN,L 17-27,17,27,-10,44,2022,2022_11_GNB_TEN
LAR,2022-11-13,17,Sun,9,10,,ARI,L 17-27,17,27,-10,44,2022,2022_10_LAR_ARI
TEN,2022-11-13,17,Sun,9,10,,DEN,W 17-10,17,10,7,27,2022,2022_10_TEN_DEN
JAX,2022-11-13,17,Sun,10,10,@,KAN,L 17-27,17,27,-10,44,2022,2022_10_JAX_KAN
CLE,2022-11-13,17,Sun,9,10,@,MIA,L 17-39,17,39,-22,56,2022,2022_10_CLE_MIA
TEN,2022-11-06,17,Sun,8,9,@,KAN,L 17-20 (OT),17,20,-3,37,2022,2022_09_TEN_KAN
WAS,2022-11-06,17,Sun,9,9,,MIN,L 17-20,17,20,-3,37,2022,2022_09_WAS_MIN
BUF,2022-11-06,17,Sun,8,9,@,NYJ,L 17-20,17,20,-3,37,2022,2022_09_BUF_NYJ
ATL,2022-11-06,17,Sun,9,9,,LAC,L 17-20,17,20,-3,37,2022,2022_09_ATL_LAC
HOU,2022-11-03,17,Thu,8,9,,PHI,L 17-29,17,29,-12,46,2022,2022_09_HOU_PHI
GNB,2022-10-30,17,Sun,8,8,@,BUF,L 17-27,17,27,-10,44,2022,2022_08_GNB_BUF
WAS,2022-10-30,17,Sun,8,8,@,IND,W 17-16,17,16,1,33,2022,2022_08_WAS_IND
JAX,2022-10-30,17,Sun,8,8,,DEN,L 17-21,17,21,-4,38,2022,2022_08_JAX_DEN
TEN,2022-10-30,17,Sun,7,8,@,HOU,W 17-10,17,10,7,27,2022,2022_08_TEN_HOU
NYJ,2022-10-30,17,Sun,8,8,,NWE,L 17-22,17,22,-5,39,2022,2022_08_NYJ_NWE
ATL,2022-10-23,17,Sun,7,7,@,CIN,L 17-35,17,35,-18,52,2022,2022_07_ATL_CIN
JAX,2022-10-23,17,Sun,7,7,,NYG,L 17-23,17,23,-6,40,2022,2022_07_JAX_NYG
DAL,2022-10-16,17,Sun,6,6,@,PHI,L 17-26,17,26,-9,43,2022,2022_06_DAL_PHI
MIA,2022-10-09,17,Sun,5,5,@,NYJ,L 17-40,17,40,-23,57,2022,2022_05_MIA_NYJ
WAS,2022-10-09,17,Sun,5,5,,TEN,L 17-21,17,21,-4,38,2022,2022_05_WAS_TEN
ARI,2022-10-09,17,Sun,5,5,,PHI,L 17-20,17,20,-3,37,2022,2022_05_ARI_PHI
CIN,2022-10-09,17,Sun,5,5,@,BAL,L 17-19,17,19,-2,36,2022,2022_05_CIN_BAL
IND,2022-10-02,17,Sun,4,4,,TEN,L 17-24,17,24,-7,41,2022,2022_04_IND_TEN
KAN,2022-09-25,17,Sun,3,3,@,IND,L 17-20,17,20,-3,37,2022,2022_03_KAN_IND
PIT,2022-09-22,17,Thu,3,3,@,CLE,L 17-29,17,29,-12,46,2022,2022_03_PIT_CLE
CIN,2022-09-18,17,Sun,2,2,@,DAL,L 17-20,17,20,-3,37,2022,2022_02_CIN_DAL
NWE,2022-09-18,17,Sun,2,2,@,PIT,W 17-14,17,14,3,31,2022,2022_02_NWE_PIT
SEA,2022-09-12,17,Mon,1,1,,DEN,W 17-16,17,16,1,33,2022,2022_01_SEA_DEN
CHI,2022-01-09,17,Sun,17,18,@,MIN,L 17-31,17,31,-14,48,2021,2021_18_CHI_MIN
CAR,2022-01-09,17,Sun,17,18,@,TAM,L 17-41,17,41,-24,58,2021,2021_18_CAR_TAM
LVR,2021-12-26,17,Sun,15,16,,DEN,W 17-13,17,13,4,30,2021,2021_16_LVR_DEN
SFO,2021-12-23,17,Thu,15,16,@,TEN,L 17-20,17,20,-3,37,2021,2021_16_SFO_TEN
WAS,2021-12-21,17,Tue,14,15,@,PHI,L 17-27,17,27,-10,44,2021,2021_15_WAS_PHI
MIN,2021-12-20,17,Mon,14,15,@,CHI,W 17-9,17,9,8,26,2021,2021_15_MIN_CHI
NWE,2021-12-18,17,Sat,14,15,@,IND,L 17-27,17,27,-10,44,2021,2021_15_NWE_IND
WAS,2021-12-05,17,Sun,12,13,@,LVR,W 17-15,17,15,2,32,2021,2021_13_WAS_LVR
ATL,2021-12-05,17,Sun,12,13,,TAM,L 17-30,17,30,-13,47,2021,2021_13_ATL_TAM
NOR,2021-12-02,17,Thu,12,13,,DAL,L 17-27,17,27,-10,44,2021,2021_13_NOR_DAL
WAS,2021-11-29,17,Mon,11,12,,SEA,W 17-15,17,15,2,32,2021,2021_12_WAS_SEA
NYJ,2021-11-21,17,Sun,10,11,,MIA,L 17-24,17,24,-7,41,2021,2021_11_NYJ_MIA
NYJ,2021-11-14,17,Sun,9,10,,BUF,L 17-45,17,45,-28,62,2021,2021_10_NYJ_BUF
JAX,2021-11-14,17,Sun,9,10,@,IND,L 17-23,17,23,-6,40,2021,2021_10_JAX_IND
GNB,2021-11-14,17,Sun,10,10,,SEA,W 17-0,17,0,17,17,2021,2021_10_GNB_SEA
SFO,2021-11-07,17,Sun,8,9,,ARI,L 17-31,17,31,-14,48,2021,2021_09_SFO_ARI
MIA,2021-11-07,17,Sun,9,9,,HOU,W 17-9,17,9,8,26,2021,2021_09_MIA_HOU
NYG,2021-11-01,17,Mon,8,8,@,KAN,L 17-20,17,20,-3,37,2021,2021_08_NYG_KAN
DEN,2021-10-31,17,Sun,8,8,,WAS,W 17-10,17,10,7,27,2021,2021_08_DEN_WAS
BAL,2021-10-24,17,Sun,7,7,,CIN,L 17-41,17,41,-24,58,2021,2021_07_BAL_CIN
CLE,2021-10-21,17,Thu,7,7,,DEN,W 17-14,17,14,3,31,2021,2021_07_CLE_DEN
DET,2021-10-10,17,Sun,5,5,@,MIN,L 17-19,17,19,-2,36,2021,2021_05_DET_MIN
ARI,2021-10-10,17,Sun,5,5,,SFO,W 17-10,17,10,7,27,2021,2021_05_ARI_SFO
MIA,2021-10-10,17,Sun,5,5,@,TAM,L 17-45,17,45,-28,62,2021,2021_05_MIA_TAM
SEA,2021-10-07,17,Thu,5,5,,LAR,L 17-26,17,26,-9,43,2021,2021_05_SEA_LAR
MIA,2021-10-03,17,Sun,4,4,,IND,L 17-27,17,27,-10,44,2021,2021_04_MIA_IND
PIT,2021-10-03,17,Sun,4,4,@,GNB,L 17-27,17,27,-10,44,2021,2021_04_PIT_GNB
NWE,2021-10-03,17,Sun,4,4,,TAM,L 17-19,17,19,-2,36,2021,2021_04_NWE_TAM
SEA,2021-09-26,17,Sun,3,3,@,MIN,L 17-30,17,30,-13,47,2021,2021_03_SEA_MIN
ATL,2021-09-26,17,Sun,3,3,@,NYG,W 17-14,17,14,3,31,2021,2021_03_ATL_NYG
DET,2021-09-26,17,Sun,3,3,,BAL,L 17-19,17,19,-2,36,2021,2021_03_DET_BAL
DET,2021-09-20,17,Mon,2,2,@,GNB,L 17-35,17,35,-18,52,2021,2021_02_DET_GNB
CIN,2021-09-19,17,Sun,2,2,@,CHI,L 17-20,17,20,-3,37,2021,2021_02_CIN_CHI
LAC,2021-09-19,17,Sun,2,2,,DAL,L 17-20,17,20,-3,37,2021,2021_02_LAC_DAL
SFO,2021-09-19,17,Sun,2,2,@,PHI,W 17-11,17,11,6,28,2021,2021_02_SFO_PHI
PIT,2021-09-19,17,Sun,2,2,,LVR,L 17-26,17,26,-9,43,2021,2021_02_PIT_LVR
MIA,2021-09-12,17,Sun,1,1,@,NWE,W 17-16,17,16,1,33,2021,2021_01_MIA_NWE
PHI,2020-12-27,17,Sun,15,16,@,DAL,L 17-37,17,37,-20,54,2020,2020_16_PHI_DAL
KAN,2020-12-27,17,Sun,15,16,,ATL,W 17-14,17,14,3,31,2020,2020_16_KAN_ATL
JAX,2020-12-27,17,Sun,15,16,,CHI,L 17-41,17,41,-24,58,2020,2020_16_JAX_CHI
PIT,2020-12-21,17,Mon,14,15,@,CIN,L 17-27,17,27,-10,44,2020,2020_15_PIT_CIN
ATL,2020-12-13,17,Sun,13,14,@,LAC,L 17-20,17,20,-3,37,2020,2020_14_ATL_LAC
DAL,2020-12-08,17,Tue,12,13,@,BAL,L 17-34,17,34,-17,51,2020,2020_13_DAL_BAL
PIT,2020-12-07,17,Mon,12,13,,WAS,L 17-23,17,23,-6,40,2020,2020_13_PIT_WAS
NYG,2020-12-06,17,Sun,12,13,@,SEA,W 17-12,17,12,5,29,2020,2020_13_NYG_SEA
PHI,2020-11-30,17,Mon,11,12,,SEA,L 17-23,17,23,-6,40,2020,2020_12_PHI_SEA
ARI,2020-11-29,17,Sun,11,12,@,NWE,L 17-20,17,20,-3,37,2020,2020_12_ARI_NWE
CIN,2020-11-29,17,Sun,11,12,,NYG,L 17-19,17,19,-2,36,2020,2020_12_CIN_NYG
LAC,2020-11-29,17,Sun,11,12,@,BUF,L 17-27,17,27,-10,44,2020,2020_12_LAC_BUF
PHI,2020-11-22,17,Sun,10,11,@,CLE,L 17-22,17,22,-5,39,2020,2020_11_PHI_CLE
BAL,2020-11-15,17,Sun,9,10,@,NWE,L 17-23,17,23,-6,40,2020,2020_10_BAL_NWE
PHI,2020-11-15,17,Sun,9,10,@,NYG,L 17-27,17,27,-10,44,2020,2020_10_PHI_NYG
TEN,2020-11-12,17,Thu,9,10,,IND,L 17-34,17,34,-17,51,2020,2020_10_TEN_IND
CHI,2020-11-08,17,Sun,9,9,@,TEN,L 17-24,17,24,-7,41,2020,2020_09_CHI_TEN
SFO,2020-11-05,17,Thu,9,9,,GNB,L 17-34,17,34,-17,51,2020,2020_09_SFO_GNB
LAR,2020-11-01,17,Sun,8,8,@,MIA,L 17-28,17,28,-11,45,2020,2020_08_LAR_MIA
CAR,2020-10-29,17,Thu,8,8,,ATL,L 17-25,17,25,-8,42,2020,2020_08_CAR_ATL
BUF,2020-10-19,17,Mon,6,6,,KAN,L 17-26,17,26,-9,43,2020,2020_06_BUF_KAN
SFO,2020-10-11,17,Sun,5,5,,MIA,L 17-43,17,43,-26,60,2020,2020_05_SFO_MIA
LAR,2020-10-04,17,Sun,4,4,,NYG,W 17-9,17,9,8,26,2020,2020_04_LAR_NYG
WAS,2020-10-04,17,Sun,4,4,,BAL,L 17-31,17,31,-14,48,2020,2020_04_WAS_BAL
CHI,2020-09-20,17,Sun,2,2,,NYG,W 17-13,17,13,4,30,2020,2020_02_CHI_NYG
CAR,2020-09-20,17,Sun,2,2,@,TAM,L 17-31,17,31,-14,48,2020,2020_02_CAR_TAM
PHI,2020-09-13,17,Sun,1,1,@,WAS,L 17-27,17,27,-10,44,2020,2020_01_PHI_WAS
NYJ,2020-09-13,17,Sun,1,1,@,BUF,L 17-27,17,27,-10,44,2020,2020_01_NYJ_BUF
DAL,2020-09-13,17,Sun,1,1,@,LAR,L 17-20,17,20,-3,37,2020,2020_01_DAL_LAR
NYG,2019-12-29,17,Sun,16,17,,PHI,L 17-34,17,34,-17,51,2019,2019_17_NYG_PHI
DET,2019-12-22,17,Sun,15,16,@,DEN,L 17-27,17,27,-10,44,2019,2019_16_DET_DEN
PHI,2019-12-22,17,Sun,15,16,,DAL,W 17-9,17,9,8,26,2019,2019_16_PHI_DAL
LAC,2019-12-22,17,Sun,15,16,,OAK,L 17-24,17,24,-7,41,2019,2019_16_LAC_OAK
BUF,2019-12-21,17,Sat,15,16,@,NWE,L 17-24,17,24,-7,41,2019,2019_16_BUF_NWE
DET,2019-12-15,17,Sun,14,15,,TAM,L 17-38,17,38,-21,55,2019,2019_15_DET_TAM
BUF,2019-12-15,17,Sun,14,15,@,PIT,W 17-10,17,10,7,27,2019,2019_15_BUF_PIT
NYG,2019-12-09,17,Mon,13,14,@,PHI,L 17-23 (OT),17,23,-6,40,2019,2019_14_NYG_PHI
ARI,2019-12-08,17,Sun,13,14,,PIT,L 17-23,17,23,-6,40,2019,2019_14_ARI_PIT
BUF,2019-12-08,17,Sun,13,14,,BAL,L 17-24,17,24,-7,41,2019,2019_14_BUF_BAL
IND,2019-12-01,17,Sun,12,13,,TEN,L 17-31,17,31,-14,48,2019,2019_13_IND_TEN
SFO,2019-12-01,17,Sun,12,13,@,BAL,L 17-20,17,20,-3,37,2019,2019_13_SFO_BAL
SEA,2019-11-24,17,Sun,11,12,@,PHI,W 17-9,17,9,8,26,2019,2019_12_SEA_PHI
IND,2019-11-21,17,Thu,11,12,@,HOU,L 17-20,17,20,-3,37,2019,2019_12_IND_HOU
LAC,2019-11-18,17,Mon,11,11,,KAN,L 17-24,17,24,-7,41,2019,2019_11_LAC_KAN
WAS,2019-11-17,17,Sun,10,11,,NYJ,L 17-34,17,34,-17,51,2019,2019_11_WAS_NYJ
NWE,2019-11-17,17,Sun,10,11,@,PHI,W 17-10,17,10,7,27,2019,2019_11_NWE_PHI
LAR,2019-11-17,17,Sun,10,11,,CHI,W 17-7,17,7,10,24,2019,2019_11_LAR_CHI
OAK,2019-11-17,17,Sun,10,11,,CIN,W 17-10,17,10,7,27,2019,2019_11_OAK_CIN
TAM,2019-11-17,17,Sun,10,11,,NOR,L 17-34,17,34,-17,51,2019,2019_11_TAM_NOR
PIT,2019-11-10,17,Sun,9,10,,LAR,W 17-12,17,12,5,29,2019,2019_10_PIT_LAR
LAC,2019-10-27,17,Sun,8,8,@,CHI,W 17-16,17,16,1,33,2019,2019_08_LAC_CHI
CIN,2019-10-20,17,Sun,7,7,,JAX,L 17-27,17,27,-10,44,2019,2019_07_CIN_JAX
