Team,Date,Pen,Day,G#,Week,,Opp,Result,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,Season,game_id
TEN,2021-10-31,11,Sun,8,8,@,IND,W 34-31 (OT),11,161,9,75,20,236,2021,2021_08_TEN_IND
MIN,2021-10-17,11,Sun,6,6,@,CAR,W 34-28 (OT),11,98,6,28,17,126,2021,2021_06_MIN_CAR
NOR,2021-09-19,11,Sun,2,2,@,CAR,L 7-26,11,115,5,49,16,164,2021,2021_02_NOR_CAR
NYG,2021-09-16,11,Thu,2,2,@,WAS,L 29-30,11,81,9,80,20,161,2021,2021_02_NYG_WAS
TAM,2021-09-09,11,Thu,1,1,,DAL,W 31-29,11,106,8,55,19,161,2021,2021_01_TAM_DAL
DET,2020-12-26,11,Sat,15,16,,TAM,L 7-47,11,117,8,65,19,182,2020,2020_16_DET_TAM
LVR,2020-11-29,11,Sun,11,12,@,ATL,L 6-43,11,141,6,49,17,190,2020,2020_12_LVR_ATL
PHI,2020-11-15,11,Sun,9,10,@,NYG,L 17-27,11,74,7,64,18,138,2020,2020_10_PHI_NYG
BUF,2020-10-25,11,Sun,7,7,@,NYJ,W 18-10,11,106,6,49,17,155,2020,2020_07_BUF_NYJ
TAM,2020-10-08,11,Thu,5,5,@,CHI,L 19-20,11,109,6,66,17,175,2020,2020_05_TAM_CHI
NYJ,2020-10-01,11,Thu,4,4,,DEN,L 28-37,11,118,8,94,19,212,2020,2020_04_NYJ_DEN
PHI,2020-09-27,11,Sun,3,3,,CIN,T 23-23 (OT),11,93,9,73,20,166,2020,2020_03_PHI_CIN
ARI,2020-09-20,11,Sun,2,2,,WAS,W 30-15,11,97,6,42,17,139,2020,2020_02_ARI_WAS
KAN,2020-09-20,11,Sun,2,2,@,LAC,W 23-20 (OT),11,90,6,40,17,130,2020,2020_02_KAN_LAC
NOR,2019-12-22,11,Sun,15,16,@,TEN,W 38-28,11,70,6,56,17,126,2019,2019_16_NOR_TEN
ATL,2019-12-15,11,Sun,14,15,@,SFO,W 29-22,11,98,7,67,18,165,2019,2019_15_ATL_SFO
JAX,2019-11-24,11,Sun,11,12,@,TEN,L 20-42,11,104,6,54,17,158,2019,2019_12_JAX_TEN
WAS,2019-11-17,11,Sun,10,11,,NYJ,L 17-34,11,66,6,55,17,121,2019,2019_11_WAS_NYJ
DET,2019-11-17,11,Sun,10,11,,DAL,L 27-35,11,89,6,45,17,134,2019,2019_11_DET_DAL
ARI,2019-11-10,11,Sun,10,10,@,TAM,L 27-30,11,87,9,94,20,181,2019,2019_10_ARI_TAM
TEN,2019-11-03,11,Sun,9,9,@,CAR,L 20-30,11,99,6,77,17,176,2019,2019_09_TEN_CAR
OAK,2019-10-27,11,Sun,7,8,@,HOU,L 24-27,11,100,7,50,18,150,2019,2019_08_OAK_HOU
JAX,2019-10-20,11,Sun,7,7,@,CIN,W 27-17,11,130,6,50,17,180,2019,2019_07_JAX_CIN
KAN,2019-10-13,11,Sun,6,6,,HOU,L 24-31,11,79,10,70,21,149,2019,2019_06_KAN_HOU
PIT,2019-10-06,11,Sun,5,5,,BAL,L 23-26 (OT),11,76,11,92,22,168,2019,2019_05_PIT_BAL
KAN,2019-10-06,11,Sun,5,5,,IND,L 13-19,11,125,7,50,18,175,2019,2019_05_KAN_IND
DAL,2019-10-06,11,Sun,5,5,,GNB,L 24-34,11,124,9,78,20,202,2019,2019_05_DAL_GNB
BAL,2019-10-06,11,Sun,5,5,@,PIT,W 26-23 (OT),11,92,11,76,22,168,2019,2019_05_BAL_PIT
BUF,2019-10-06,11,Sun,5,5,@,TEN,W 14-7,11,78,8,60,19,138,2019,2019_05_BUF_TEN
OAK,2019-09-29,11,Sun,4,4,@,IND,W 31-24,11,80,5,35,16,115,2019,2019_04_OAK_IND
NOR,2019-09-22,11,Sun,3,3,@,SEA,W 33-27,11,70,7,53,18,123,2019,2019_03_NOR_SEA
NOR,2019-09-15,11,Sun,2,2,@,LAR,L 9-27,11,87,8,65,19,152,2019,2019_02_NOR_LAR
SFO,2019-09-08,11,Sun,1,1,@,TAM,W 31-17,11,87,8,87,19,174,2019,2019_01_SFO_TAM
MIN,2019-09-08,11,Sun,1,1,,ATL,W 28-12,11,100,9,78,20,178,2019,2019_01_MIN_ATL
NYG,2018-12-30,11,Sun,16,17,,DAL,L 35-36,11,78,6,46,17,124,2018,2018_17_NYG_DAL
CHI,2018-12-30,11,Sun,16,17,@,MIN,W 24-10,11,102,3,30,14,132,2018,2018_17_CHI_MIN
DEN,2018-12-30,11,Sun,16,17,,LAC,L 9-23,11,99,6,51,17,150,2018,2018_17_DEN_LAC
DEN,2018-12-24,11,Mon,15,16,@,OAK,L 14-27,11,91,6,50,17,141,2018,2018_16_DEN_OAK
MIN,2018-12-23,11,Sun,15,16,@,DET,W 27-9,11,78,7,55,18,133,2018,2018_16_MIN_DET
PHI,2018-12-23,11,Sun,15,16,,HOU,W 32-30,11,105,10,61,21,166,2018,2018_16_PHI_HOU
SFO,2018-12-09,11,Sun,13,14,,DEN,W 20-14,11,87,11,62,22,149,2018,2018_14_SFO_DEN
BAL,2018-12-09,11,Sun,13,14,@,KAN,L 24-27 (OT),11,112,7,53,18,165,2018,2018_14_BAL_KAN
DEN,2018-12-09,11,Sun,13,14,@,SFO,L 14-20,11,62,11,87,22,149,2018,2018_14_DEN_SFO
DAL,2018-12-09,11,Sun,13,14,,PHI,W 29-23 (OT),11,110,5,49,16,159,2018,2018_14_DAL_PHI
KAN,2018-12-02,11,Sun,12,13,@,OAK,W 40-33,11,94,8,74,19,168,2018,2018_13_KAN_OAK
NYJ,2018-12-02,11,Sun,12,13,@,TEN,L 22-26,11,96,8,75,19,171,2018,2018_13_NYJ_TEN
NYG,2018-11-25,11,Sun,11,12,@,PHI,L 22-25,11,91,7,46,18,137,2018,2018_12_NYG_PHI
NWE,2018-11-25,11,Sun,11,12,@,NYJ,W 27-13,11,105,8,47,19,152,2018,2018_12_NWE_NYJ
JAX,2018-11-18,11,Sun,10,11,,PIT,L 16-20,11,111,3,15,14,126,2018,2018_11_JAX_PIT
KAN,2018-11-04,11,Sun,9,9,@,CLE,W 37-21,11,86,4,20,15,106,2018,2018_09_KAN_CLE
TAM,2018-10-28,11,Sun,7,8,@,CIN,L 34-37,11,75,4,46,15,121,2018,2018_08_TAM_CIN
NYG,2018-10-28,11,Sun,8,8,,WAS,L 13-20,11,102,8,90,19,192,2018,2018_08_NYG_WAS
KAN,2018-10-07,11,Sun,5,5,,JAX,W 30-14,11,105,5,45,16,150,2018,2018_05_KAN_JAX
TAM,2018-09-30,11,Sun,4,4,@,CHI,L 10-48,11,99,4,38,15,137,2018,2018_04_TAM_CHI
IND,2018-09-23,11,Sun,3,3,@,PHI,L 16-20,11,77,10,110,21,187,2018,2018_03_IND_PHI
GNB,2018-09-23,11,Sun,3,3,@,WAS,L 17-31,11,115,6,66,17,181,2018,2018_03_GNB_WAS
NOR,2018-09-23,11,Sun,3,3,@,ATL,W 43-37 (OT),11,120,5,54,16,174,2018,2018_03_NOR_ATL
