Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Season,game_id
NYJ,2022-01-02,34,Sun,16,17,,TAM,L 24-28,34,50,68.0,405,3,1,5,1,104.2,2021,2021_17_NYJ_TAM
IND,2021-11-04,34,Thu,9,9,,NYJ,W 45-30,34,52,65.4,398,4,2,14,1,106.1,2021,2021_09_IND_NYJ
JAX,2021-10-17,34,Sun,6,6,,MIA,W 23-20,34,48,70.8,354,2,0,0,1,97.0,2021,2021_06_JAX_MIA
PHI,2021-10-14,34,Thu,6,6,,TAM,L 22-28,34,42,81.0,297,2,0,0,1,102.1,2021,2021_06_PHI_TAM
NYG,2021-09-16,34,Thu,2,2,@,WAS,L 29-30,34,46,73.9,320,2,1,16,1,98.1,2021,2021_02_NYG_WAS
BAL,2021-09-13,34,Mon,1,1,@,LVR,L 27-33 (OT),34,56,60.7,409,2,3,26,1,87.6,2021,2021_01_BAL_LVR
IND,2020-12-27,34,Sun,15,16,@,PIT,L 24-28,34,49,69.4,332,3,1,9,0,108.5,2020,2020_16_IND_PIT
TAM,2020-12-20,34,Sun,14,15,@,ATL,W 31-27,34,49,69.4,332,3,3,24,0,108.5,2020,2020_15_TAM_ATL
CAR,2020-11-29,34,Sun,12,12,@,MIN,L 27-28,34,45,75.6,291,3,2,16,0,114.2,2020,2020_12_CAR_MIN
SEA,2020-10-25,34,Sun,6,7,@,ARI,L 34-37 (OT),34,48,70.8,360,3,0,0,1,104.5,2020,2020_07_SEA_ARI
ARI,2020-10-19,34,Mon,6,6,@,DAL,W 38-10,34,54,63.0,247,1,3,19,2,64.4,2020,2020_06_ARI_DAL
ATL,2020-09-20,34,Sun,2,2,@,DAL,L 39-40,34,49,69.4,445,1,1,5,0,104.5,2020,2020_02_ATL_DAL
DAL,2019-12-15,34,Sun,14,15,,LAR,W 44-21,34,52,65.4,267,2,2,22,1,82.8,2019,2019_15_DAL_LAR
ARI,2019-11-17,34,Sun,11,11,@,SFO,L 26-36,34,45,75.6,408,4,2,16,2,113.9,2019,2019_11_ARI_SFO
ARI,2019-10-27,34,Sun,8,8,@,NOR,L 9-31,34,43,79.1,373,3,0,0,1,116.4,2019,2019_08_ARI_NOR
NOR,2019-10-20,34,Sun,7,7,@,CHI,W 36-25,34,54,63.0,235,2,2,16,0,85.0,2019,2019_07_NOR_CHI
PHI,2019-09-26,34,Thu,4,4,@,GNB,W 34-27,34,53,64.2,414,2,1,8,1,92.8,2019,2019_04_PHI_GNB
DAL,2018-12-23,34,Sun,15,16,,TAM,W 27-20,34,48,70.8,320,1,3,16,0,95.8,2018,2018_16_DAL_TAM
ARI,2018-10-07,34,Sun,5,5,@,SFO,W 28-18,34,54,63.0,300,2,4,49,2,74.6,2018,2018_05_ARI_SFO
IND,2018-10-04,34,Thu,5,5,@,NWE,L 24-38,34,44,77.3,341,3,0,0,2,102.6,2018,2018_05_IND_NWE
SFO,2018-09-16,34,Sun,2,2,,DET,W 30-27,34,53,64.2,329,3,2,18,0,100.3,2018,2018_02_SFO_DET
KAN,2018-09-09,34,Sun,1,1,@,LAC,W 38-28,34,51,66.7,418,3,1,6,1,103.2,2018,2018_01_KAN_LAC
OAK,2017-11-05,34,Sun,9,9,@,MIA,W 27-24,34,42,81.0,309,3,1,2,0,121.1,2017,2017_09_OAK_MIA
SEA,2022-10-23,33,Sun,7,7,@,LAC,W 37-23,33,51,64.7,276,2,3,17,1,83.5,2022,2022_07_SEA_LAC
TEN,2022-10-23,33,Sun,6,7,,IND,W 19-10,33,44,75.0,227,1,3,16,2,74.7,2022,2022_07_TEN_IND
CHI,2022-10-09,33,Sun,5,5,@,MIN,L 22-29,33,42,78.6,312,1,1,7,1,95.6,2022,2022_05_CHI_MIN
KAN,2022-09-15,33,Thu,2,2,,LAC,W 27-24,33,48,68.8,326,3,2,8,1,99.8,2022,2022_02_KAN_LAC
PIT,2022-09-11,33,Sun,1,1,@,CIN,W 23-20 (OT),33,53,62.3,299,2,7,39,4,58.6,2022,2022_01_PIT_CIN
MIN,2022-01-09,33,Sun,17,18,,CHI,W 31-17,33,48,68.8,266,1,7,59,2,72.0,2021,2021_18_MIN_CHI
KAN,2021-12-12,33,Sun,13,14,,LVR,W 48-9,33,45,73.3,246,1,4,17,1,84.1,2021,2021_14_KAN_LVR
SEA,2021-12-12,33,Sun,13,14,@,HOU,W 33-13,33,49,67.3,317,1,2,14,0,92.0,2021,2021_14_SEA_HOU
CAR,2021-10-17,33,Sun,6,6,,MIN,L 28-34 (OT),33,48,68.8,373,3,0,0,0,112.6,2021,2021_06_CAR_MIN
NYJ,2021-10-10,33,Sun,5,5,@,ATL,L 20-27,33,46,71.7,342,2,0,0,0,107.3,2021,2021_05_NYJ_ATL
MIA,2021-10-10,33,Sun,5,5,@,TAM,L 17-45,33,44,75.0,437,5,2,15,0,143.8,2021,2021_05_MIA_TAM
BUF,2021-10-10,33,Sun,5,5,@,KAN,W 38-20,33,54,61.1,272,2,2,0,2,70.9,2021,2021_05_BUF_KAN
TAM,2021-10-03,33,Sun,4,4,@,NWE,W 19-17,33,42,78.6,295,2,4,25,1,101.9,2021,2021_04_TAM_NWE
WAS,2021-09-26,33,Sun,3,3,@,BUF,L 21-43,33,44,75.0,359,4,0,0,0,128.9,2021,2021_03_WAS_BUF
GNB,2021-01-03,33,Sun,16,17,@,CHI,W 35-16,33,42,78.6,248,0,1,4,1,81.3,2020,2020_17_GNB_CHI
IND,2020-12-20,33,Sun,14,15,,HOU,W 27-20,33,41,80.5,342,2,5,31,0,117.7,2020,2020_15_IND_HOU
WAS,2020-12-07,33,Mon,12,13,@,PIT,W 23-17,33,53,62.3,305,2,0,0,1,82.7,2020,2020_13_WAS_PIT
ARI,2020-11-15,33,Sun,9,10,,BUF,W 32-30,33,50,66.0,296,3,0,0,2,85.1,2020,2020_10_ARI_BUF
LVR,2020-10-25,33,Sun,6,7,,TAM,L 20-45,33,45,73.3,369,4,0,0,0,127.0,2020,2020_07_LVR_TAM
ARI,2020-10-25,33,Sun,7,7,,SEA,W 37-34 (OT),33,50,66.0,372,3,2,16,3,83.1,2020,2020_07_ARI_SEA
LAC,2020-10-12,33,Mon,5,5,@,NOR,L 27-30 (OT),33,48,68.8,313,1,2,12,1,84.8,2020,2020_05_LAC_NOR
TAM,2020-09-20,33,Sun,2,2,,CAR,W 31-17,33,42,78.6,340,0,5,27,2,80.6,2020,2020_02_TAM_CAR
NYJ,2020-09-13,33,Sun,1,1,@,BUF,L 17-27,33,46,71.7,306,2,3,6,0,104.1,2020,2020_01_NYJ_BUF
MIA,2019-12-22,33,Sun,15,16,,CIN,W 38-35 (OT),33,56,58.9,371,4,4,25,0,102.6,2019,2019_16_MIA_CIN
NYG,2019-12-09,33,Mon,13,14,@,PHI,L 17-23 (OT),33,50,66.0,300,2,3,25,0,95.4,2019,2019_14_NYG_PHI
ARI,2019-12-01,33,Sun,12,13,,LAR,L 7-34,33,45,73.3,417,2,1,10,0,116.6,2019,2019_13_ARI_LAR
SEA,2019-11-24,33,Sun,11,12,@,PHI,W 17-9,33,45,73.3,238,1,3,18,2,74.1,2019,2019_12_SEA_PHI
IND,2019-11-17,33,Sun,10,11,,JAX,W 33-13,33,47,70.2,279,2,2,17,1,90.6,2019,2019_11_IND_JAX
ATL,2019-11-10,33,Sun,9,10,@,NOR,W 26-9,33,46,71.7,258,0,6,46,0,85.2,2019,2019_10_ATL_NOR
DAL,2019-09-08,33,Sun,1,1,,NYG,W 35-17,33,48,68.8,319,1,1,4,0,94.0,2019,2019_01_DAL_NYG
MIN,2019-09-08,33,Sun,1,1,,ATL,W 28-12,33,46,71.7,272,2,4,32,2,82.9,2019,2019_01_MIN_ATL
NOR,2018-12-23,33,Sun,15,16,,PIT,W 31-28,33,50,66.0,364,3,3,16,0,107.4,2018,2018_16_NOR_PIT
JAX,2018-12-02,33,Sun,12,13,,IND,W 6-0,33,52,63.5,224,0,3,24,1,64.9,2018,2018_13_JAX_IND
LAR,2018-11-19,33,Mon,11,11,,KAN,W 54-51,33,46,71.7,448,6,3,30,3,114.9,2018,2018_11_LAR_KAN
KAN,2018-10-07,33,Sun,5,5,,JAX,W 30-14,33,61,54.1,401,1,5,29,4,52.7,2018,2018_05_KAN_JAX
DAL,2018-10-07,33,Sun,5,5,@,HOU,L 16-19 (OT),33,44,75.0,374,1,1,1,1,98.1,2018,2018_05_DAL_HOU
TEN,2018-09-30,33,Sun,4,4,,PHI,W 26-23 (OT),33,50,66.0,315,2,4,33,0,96.7,2018,2018_04_TEN_PHI
IND,2018-09-16,33,Sun,2,2,@,WAS,W 21-9,33,46,71.7,269,0,3,23,0,86.2,2018,2018_02_IND_WAS
DAL,2018-09-16,33,Sun,2,2,,NYG,W 20-13,33,44,75.0,220,1,6,59,0,93.0,2018,2018_02_DAL_NYG
GNB,2017-11-26,33,Sun,11,12,@,PIT,L 28-31,33,45,73.3,341,4,1,10,2,105.9,2017,2017_12_GNB_PIT
JAX,2017-10-08,33,Sun,5,5,@,PIT,W 30-9,33,55,60.0,301,0,2,11,5,37.0,2017,2017_05_JAX_PIT
SFO,2017-10-01,33,Sun,4,4,@,ARI,L 15-18 (OT),33,51,64.7,317,1,6,40,1,80.3,2017,2017_04_SFO_ARI
ATL,2017-09-17,33,Sun,2,2,,GNB,W 34-23,33,50,66.0,308,2,3,35,1,87.7,2017,2017_02_ATL_GNB
ARI,2022-12-25,32,Sun,15,16,,TAM,L 16-19 (OT),32,48,66.7,281,1,0,0,2,71.6,2022,2022_16_ARI_TAM
MIA,2022-10-23,32,Sun,7,7,,PIT,W 16-10,32,44,72.7,246,1,2,11,3,65.2,2022,2022_07_MIA_PIT
CAR,2022-10-23,32,Sun,7,7,,TAM,W 21-3,32,49,65.3,276,0,1,14,0,80.0,2022,2022_07_CAR_TAM
ARI,2022-10-20,32,Thu,7,7,,NOR,W 42-34,32,49,65.3,409,4,0,0,3,93.0,2022,2022_07_ARI_NOR
SFO,2022-10-03,32,Mon,4,4,,LAR,W 24-9,32,48,66.7,200,0,7,54,1,66.3,2022,2022_04_SFO_LAR
ATL,2022-09-25,32,Sun,3,3,@,SEA,W 27-23,32,44,72.7,308,2,2,17,1,97.5,2022,2022_03_ATL_SEA
