Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Season,game_id
NYJ,2018-12-02,20,Sun,12,13,@,TEN,L 22-26,20,35,57.1,273,2,3,9,1,89.3,2018,2018_13_NYJ_TEN
NYJ,2018-12-02,20,Sun,12,13,@,TEN,L 22-26,20,35,57.1,273,2,3,9,1,89.3,2018,2018_13_NYJ_TEN
NYG,2018-11-25,20,Sun,11,12,@,PHI,L 22-25,20,28,71.4,214,1,3,22,0,105.4,2018,2018_12_NYG_PHI
NYJ,2018-11-25,20,Sun,11,12,,NWE,L 13-27,20,31,64.5,283,2,0,0,0,115.4,2018,2018_12_NYJ_NWE
LAC,2018-11-18,20,Sun,10,11,,DEN,L 22-23,20,33,60.6,217,0,0,0,0,80.0,2018,2018_11_LAC_DEN
MIN,2018-11-18,20,Sun,10,11,@,CHI,L 20-25,20,31,64.5,160,1,1,5,2,61.2,2018,2018_11_MIN_CHI
NYG,2018-10-28,20,Sun,8,8,,WAS,L 13-20,20,32,62.5,178,1,0,0,0,87.8,2018,2018_08_NYG_WAS
GNB,2018-10-28,20,Sun,7,8,@,LAR,L 27-29,20,36,55.6,281,3,5,26,0,108.7,2018,2018_08_GNB_LAR
IND,2018-10-21,20,Sun,7,7,,BUF,W 37-5,20,31,64.5,168,0,2,7,3,38.8,2018,2018_07_IND_BUF
CIN,2018-10-07,20,Sun,5,5,,MIA,W 27-17,20,35,57.1,169,1,3,16,2,55.5,2018,2018_05_CIN_MIA
MIA,2018-10-07,20,Sun,5,5,@,CIN,L 17-27,20,30,66.7,229,1,2,19,1,86.7,2018,2018_05_MIA_CIN
KAN,2018-09-23,20,Sun,3,3,,SFO,W 38-27,20,30,66.7,228,2,4,23,0,111.5,2018,2018_03_KAN_SFO
SFO,2018-09-09,20,Sun,1,1,@,MIN,L 16-24,20,36,55.6,227,2,3,17,0,93.2,2018,2018_01_SFO_MIN
TEN,2018-09-09,20,Sun,1,1,@,MIA,L 20-27,20,28,71.4,222,2,1,8,2,88.7,2018,2018_01_TEN_MIA
WAS,2018-09-09,20,Sun,1,1,@,ARI,W 24-6,20,34,58.8,145,0,2,8,1,56.6,2018,2018_01_WAS_ARI
MIA,2018-09-09,20,Sun,1,1,,TEN,W 27-20,20,38,52.6,220,0,0,0,3,37.2,2018,2018_01_MIA_TEN
ATL,2018-09-06,20,Thu,1,1,@,PHI,L 12-18,20,35,57.1,119,0,2,13,1,52.0,2018,2018_01_ATL_PHI
SFO,2017-12-31,20,Sun,16,17,@,LAR,W 34-13,20,34,58.8,149,0,3,20,0,69.4,2017,2017_17_SFO_LAR
NYG,2017-12-31,20,Sun,16,17,,WAS,W 18-10,20,37,54.1,136,0,3,22,3,28.7,2017,2017_17_NYG_WAS
GNB,2017-12-31,20,Sun,16,17,@,DET,L 11-35,20,29,69.0,305,3,2,18,0,137.9,2017,2017_17_GNB_DET
DET,2017-12-31,20,Sun,16,17,,GNB,W 35-11,20,32,62.5,153,1,4,40,2,58.5,2017,2017_17_DET_GNB
LAR,2017-12-31,20,Sun,16,17,,SFO,L 13-34,20,33,60.6,292,2,0,0,2,84.4,2017,2017_17_LAR_SFO
MIN,2017-12-31,20,Sun,16,17,,CHI,W 23-10,20,37,54.1,171,0,1,7,0,66.4,2017,2017_17_MIN_CHI
HOU,2017-12-25,20,Mon,15,16,,PIT,L 6-34,20,30,66.7,226,2,0,0,0,111.2,2017,2017_16_HOU_PIT
GNB,2017-12-17,20,Sun,14,15,@,CAR,L 24-31,20,31,64.5,236,4,1,6,0,127.2,2017,2017_15_GNB_CAR
BAL,2017-12-17,20,Sun,14,15,@,CLE,W 27-10,20,37,54.1,136,0,2,10,2,39.9,2017,2017_15_BAL_CLE
CIN,2017-12-17,20,Sun,14,15,@,MIN,L 7-34,20,25,80.0,222,2,2,14,1,113.7,2017,2017_15_CIN_MIN
KAN,2017-12-16,20,Sat,14,15,,LAC,W 30-13,20,36,55.6,209,1,2,18,3,47.1,2017,2017_15_KAN_LAC
GNB,2017-12-10,20,Sun,13,14,@,CLE,W 27-21 (OT),20,28,71.4,209,3,2,5,2,98.7,2017,2017_14_GNB_CLE
SFO,2017-12-10,20,Sun,13,14,@,HOU,W 26-16,20,38,52.6,221,2,3,17,0,87.7,2017,2017_14_SFO_HOU
NYG,2017-12-10,20,Sun,13,14,,DAL,L 10-30,20,30,66.7,332,3,0,0,0,137.1,2017,2017_14_NYG_DAL
OAK,2017-12-10,20,Sun,13,14,@,KAN,L 15-26,20,34,58.8,243,0,4,25,1,68.6,2017,2017_14_OAK_KAN
PIT,2017-12-10,20,Sun,13,14,,BAL,W 39-38,20,35,57.1,261,2,1,8,1,87.9,2017,2017_14_PIT_BAL
HOU,2017-12-10,20,Sun,13,14,,SFO,L 16-26,20,33,60.6,314,1,2,20,1,89.7,2017,2017_14_HOU_SFO
PHI,2017-12-03,20,Sun,12,13,@,SEA,L 10-24,20,31,64.5,209,3,2,18,0,116.2,2017,2017_13_PHI_SEA
SFO,2017-11-26,20,Sun,11,12,,SEA,L 13-24,20,34,58.8,228,2,0,0,1,86.4,2017,2017_12_SFO_SEA
OAK,2017-11-26,20,Sun,11,12,,DEN,W 21-14,20,35,57.1,160,2,5,30,1,75.9,2017,2017_12_OAK_DEN
LAC,2017-11-23,20,Thu,11,12,@,DAL,W 28-6,20,27,74.1,168,0,2,11,2,58.9,2017,2017_12_LAC_DAL
MIN,2017-11-23,20,Thu,11,12,@,DET,W 30-23,20,35,57.1,236,2,3,14,1,84.9,2017,2017_12_MIN_DET
TEN,2017-11-12,20,Sun,9,10,,CIN,W 24-20,20,35,57.1,255,2,1,10,0,99.1,2017,2017_10_TEN_CIN
ATL,2017-11-12,20,Sun,9,10,,DAL,W 27-7,20,30,66.7,126,0,8,50,0,75.1,2017,2017_10_ATL_DAL
LAR,2017-11-05,20,Sun,8,9,@,NYG,W 51-17,20,38,52.6,208,2,2,12,1,75.3,2017,2017_09_LAR_NYG
HOU,2017-11-05,20,Sun,8,9,,IND,L 14-20,20,30,66.7,279,2,3,29,0,118.6,2017,2017_09_HOU_IND
OAK,2017-10-29,20,Sun,8,8,@,BUF,L 14-34,20,27,74.1,165,1,0,0,0,101.6,2017,2017_08_OAK_BUF
BAL,2017-10-22,20,Sun,7,7,@,MIN,L 16-24,20,31,64.5,188,0,0,0,1,67.7,2017,2017_07_BAL_MIN
TAM,2017-10-22,20,Sun,6,7,@,BUF,L 27-30,20,33,60.6,261,1,1,7,0,95.6,2017,2017_07_TAM_BUF
DET,2017-10-15,20,Sun,6,6,@,NOR,L 38-52,20,30,66.7,186,2,0,0,2,77.9,2017,2017_06_DET_NOR
NYJ,2017-10-15,20,Sun,6,6,,NWE,L 17-24,20,38,52.6,257,2,0,0,1,80.7,2017,2017_06_NYJ_NWE
HOU,2017-10-15,20,Sun,6,6,,CLE,W 33-17,20,37,54.1,113,1,4,27,3,35.1,2017,2017_06_HOU_CLE
MIN,2017-10-15,20,Sun,6,6,,GNB,W 23-10,20,37,54.1,155,1,4,20,3,39.8,2017,2017_06_MIN_GNB
CIN,2017-10-08,20,Sun,5,5,,BUF,W 20-16,20,37,54.1,139,1,6,27,1,60.5,2017,2017_05_CIN_BUF
LAR,2017-10-01,20,Sun,4,4,@,DAL,W 35-30,20,36,55.6,251,3,2,1,1,93.6,2017,2017_04_LAR_DAL
NOR,2017-10-01,20,Sun,4,4,@,MIA,W 20-0,20,28,71.4,128,0,4,36,1,65.8,2017,2017_04_NOR_MIA
BAL,2017-09-24,20,Sun,3,3,@,JAX,L 7-44,20,33,60.6,244,4,0,0,0,123.0,2017,2017_03_BAL_JAX
KAN,2017-09-24,20,Sun,3,3,@,LAC,W 24-10,20,40,50.0,226,0,2,11,3,36.0,2017,2017_03_KAN_LAC
DEN,2017-09-24,20,Sun,3,3,@,BUF,L 16-26,20,26,76.9,197,2,4,16,0,123.4,2017,2017_03_DEN_BUF
SEA,2017-09-24,20,Sun,3,3,@,TEN,L 27-33,20,32,62.5,225,2,0,0,0,104.3,2017,2017_03_SEA_TEN
BUF,2017-09-17,20,Sun,2,2,@,CAR,L 3-9,20,32,62.5,178,0,6,50,0,77.3,2017,2017_02_BUF_CAR
BAL,2017-09-17,20,Sun,2,2,,CLE,W 24-10,20,42,47.6,293,1,3,7,4,39.2,2017,2017_02_BAL_CLE
TEN,2017-09-17,20,Sun,2,2,@,JAX,W 37-16,20,34,58.8,211,1,2,12,2,62.3,2017,2017_02_TEN_JAX
PIT,2017-09-17,20,Sun,2,2,,MIN,W 26-9,20,38,52.6,146,0,2,21,0,62.0,2017,2017_02_PIT_MIN
ARI,2017-09-17,20,Sun,2,2,@,IND,W 16-13 (OT),20,37,54.1,190,0,4,26,1,57.3,2017,2017_02_ARI_IND
HOU,2017-09-14,20,Thu,2,2,@,CIN,W 13-9,20,35,57.1,213,0,3,11,0,75.1,2017,2017_02_HOU_CIN
PIT,2017-09-10,20,Sun,1,1,@,CLE,W 21-18,20,30,66.7,180,1,7,42,1,79.9,2017,2017_01_PIT_CLE
NWE,2023-01-08,19,Sun,17,18,@,BUF,L 23-35,19,31,61.3,237,3,2,17,1,103.8,2022,2022_18_NWE_BUF
LAR,2023-01-08,19,Sun,17,18,@,SEA,L 16-19 (OT),19,31,61.3,205,1,3,8,2,64.6,2022,2022_18_LAR_SEA
TAM,2023-01-08,19,Sun,17,18,@,ATL,L 17-30,19,30,63.3,208,2,2,16,0,106.0,2022,2022_18_TAM_ATL
PIT,2023-01-08,19,Sun,17,18,,CLE,W 28-14,19,29,65.5,173,2,7,57,2,75.8,2022,2022_18_PIT_CLE
CIN,2023-01-08,19,Sun,16,18,,BAL,W 27-16,19,44,43.2,276,0,4,10,2,45.3,2022,2022_18_CIN_BAL
ARI,2023-01-01,19,Sun,16,17,@,ATL,L 19-20,19,26,73.1,166,0,1,3,0,89.6,2022,2022_17_ARI_ATL
IND,2023-01-01,19,Sun,16,17,@,NYG,L 10-38,19,24,79.2,177,2,0,0,0,125.2,2022,2022_17_IND_NYG
LAR,2022-12-25,19,Sun,15,16,,DEN,W 51-14,19,35,54.3,219,1,6,40,4,43.3,2022,2022_16_LAR_DEN
JAX,2022-12-22,19,Thu,15,16,@,NYJ,W 19-3,19,33,57.6,161,0,3,21,1,57.8,2022,2022_16_JAX_NYJ
MIN,2022-12-17,19,Sat,14,15,,IND,W 39-36 (OT),19,33,57.6,170,1,3,12,0,81.6,2022,2022_15_MIN_IND
DET,2022-12-04,19,Sun,12,13,,JAX,W 40-14,19,34,55.9,171,1,2,14,0,79.4,2022,2022_13_DET_JAX
CAR,2022-11-27,19,Sun,12,12,,DEN,W 23-10,19,35,54.3,125,1,3,17,0,71.7,2022,2022_12_CAR_DEN
WAS,2022-11-20,19,Sun,11,11,@,HOU,W 23-10,19,33,57.6,127,0,5,42,2,40.8,2022,2022_11_WAS_HOU
CHI,2022-11-13,19,Sun,10,10,,DET,L 30-31,19,26,73.1,228,1,2,8,0,112.3,2022,2022_10_CHI_DET
LAC,2022-11-13,19,Sun,9,10,@,SFO,L 16-22,19,28,67.9,230,0,1,10,0,92.9,2022,2022_10_LAC_SFO
DEN,2022-11-13,19,Sun,9,10,@,TEN,L 10-17,19,36,52.8,244,2,1,11,0,92.8,2022,2022_10_DEN_TEN
CAR,2022-11-10,19,Thu,10,10,,ATL,W 25-15,19,30,63.3,153,2,5,33,1,84.4,2022,2022_10_CAR_ATL
ATL,2022-10-30,19,Sun,8,8,,CAR,W 37-34 (OT),19,36,52.8,309,1,1,8,1,79.5,2022,2022_08_ATL_CAR
BUF,2022-10-30,19,Sun,7,8,,GNB,W 27-17,19,30,63.3,190,2,2,13,1,89.6,2022,2022_08_BUF_GNB
DET,2022-10-23,19,Sun,6,7,@,DAL,L 6-24,19,25,76.0,191,1,2,16,0,110.6,2022,2022_07_DET_DAL
JAX,2022-10-23,19,Sun,7,7,,NYG,L 17-23,19,30,63.3,200,1,1,2,0,93.7,2022,2022_07_JAX_NYG
CIN,2022-10-16,19,Sun,6,6,@,NOR,W 30-26,19,36,52.8,171,1,1,7,0,75.1,2022,2022_06_CIN_NOR
BAL,2022-10-16,19,Sun,6,6,@,NYG,L 20-24,19,27,70.4,155,2,4,18,0,109.3,2022,2022_06_BAL_NYG
KAN,2022-10-10,19,Mon,5,5,,LVR,W 30-29,19,30,63.3,223,2,2,18,0,108.1,2022,2022_05_KAN_LVR
CIN,2022-10-09,19,Sun,5,5,@,BAL,L 17-19,19,32,59.4,170,1,1,4,1,71.1,2022,2022_05_CIN_BAL
NWE,2022-10-09,19,Sun,5,5,,DET,W 29-0,19,35,54.3,211,0,2,18,1,60.5,2022,2022_05_NWE_DET
NYJ,2022-10-09,19,Sun,5,5,,MIA,W 40-17,19,34,55.9,158,0,2,8,1,55.8,2022,2022_05_NYJ_MIA
BAL,2022-10-02,19,Sun,4,4,,BUF,L 20-23,19,36,52.8,201,1,1,12,1,67.0,2022,2022_04_BAL_BUF
PIT,2022-10-02,19,Sun,4,4,,NYJ,L 20-24,19,37,51.4,250,2,1,4,2,68.5,2022,2022_04_PIT_NYJ
LVR,2022-09-25,19,Sun,3,3,@,TEN,L 22-24,19,27,70.4,252,1,1,12,1,96.5,2022,2022_03_LVR_TEN
CHI,2022-09-18,19,Sun,2,2,@,GNB,L 10-27,19,25,76.0,211,2,3,23,0,127.2,2022,2022_02_CHI_GNB
DEN,2022-09-18,19,Sun,2,2,,HOU,W 16-9,19,38,50.0,154,0,3,23,0,60.6,2022,2022_02_DEN_HOU
CIN,2022-09-18,19,Sun,2,2,@,DAL,L 17-20,19,31,61.3,230,1,1,5,0,94.8,2022,2022_02_CIN_DAL
TAM,2022-01-02,19,Sun,16,17,@,NYJ,W 28-24,19,33,57.6,224,1,1,10,0,88.4,2021,2021_17_TAM_NYJ
LAC,2022-01-02,19,Sun,16,17,,DEN,W 34-13,19,28,67.9,236,1,1,10,0,105.7,2021,2021_17_LAC_DEN
NOR,2021-12-27,19,Mon,15,16,,MIA,L 3-20,19,26,73.1,173,1,3,25,1,87.5,2021,2021_16_NOR_MIA
CAR,2021-12-19,19,Sun,14,15,@,BUF,L 14-31,19,34,55.9,193,3,4,17,1,89.5,2021,2021_15_CAR_BUF
SFO,2021-12-19,19,Sun,14,15,,ATL,W 31-13,19,32,59.4,213,1,3,23,0,89.7,2021,2021_15_SFO_ATL
JAX,2021-12-19,19,Sun,14,15,,HOU,L 16-30,19,30,63.3,206,2,1,3,1,91.8,2021,2021_15_JAX_HOU
DAL,2021-12-19,19,Sun,14,15,@,NYG,W 21-6,19,36,52.8,178,0,1,3,3,31.9,2021,2021_15_DAL_NYG
NOR,2021-12-12,19,Sun,13,14,@,NYJ,W 30-9,19,42,45.2,178,0,3,24,0,57.4,2021,2021_14_NOR_NYJ
CAR,2021-12-12,19,Sun,13,14,,ATL,L 21-29,19,28,67.9,190,1,0,0,0,98.8,2021,2021_14_CAR_ATL
DAL,2021-12-02,19,Thu,12,13,@,NOR,W 27-17,19,41,46.3,252,2,2,12,4,43.0,2021,2021_13_DAL_NOR
JAX,2021-11-28,19,Sun,11,12,,ATL,L 14-21,19,29,65.5,183,1,1,7,1,80.1,2021,2021_12_JAX_ATL
PHI,2021-11-28,19,Sun,12,12,@,NYG,L 7-13,19,30,63.3,194,1,1,8,0,92.9,2021,2021_12_PHI_NYG
CIN,2021-11-21,19,Sun,10,11,@,LVR,W 32-13,19,27,70.4,206,1,2,9,1,89.4,2021,2021_11_CIN_LVR
NOR,2021-11-14,19,Sun,9,10,@,TEN,L 21-23,19,27,70.4,198,1,2,15,0,103.6,2021,2021_10_NOR_TEN
NWE,2021-11-14,19,Sun,10,10,,CLE,W 45-7,19,33,57.6,118,1,5,36,1,62.4,2021,2021_10_NWE_CLE
BAL,2021-11-11,19,Thu,9,10,@,MIA,L 10-22,19,36,52.8,290,0,4,24,0,79.6,2021,2021_10_BAL_MIA
DAL,2021-11-07,19,Sun,8,9,,DEN,L 16-30,19,28,67.9,217,1,4,32,0,102.8,2021,2021_09_DAL_DEN
KAN,2021-11-07,19,Sun,9,9,,GNB,W 13-7,19,34,55.9,179,1,1,11,1,68.1,2021,2021_09_KAN_GNB
LAR,2021-11-07,19,Sun,9,9,,TEN,L 16-28,19,27,70.4,125,1,3,18,1,76.9,2021,2021_09_LAR_TEN
DEN,2021-11-07,19,Sun,9,9,@,DAL,W 30-16,19,39,48.7,212,2,2,20,1,71.7,2021,2021_09_DEN_DAL
WAS,2021-10-31,19,Sun,8,8,@,DEN,L 10-17,19,26,73.1,190,1,4,23,0,106.2,2021,2021_08_WAS_DEN
SFO,2021-10-31,19,Sun,7,8,@,CHI,W 33-22,19,27,70.4,148,1,4,27,1,80.5,2021,2021_08_SFO_CHI
SEA,2021-10-25,19,Mon,7,7,,NOR,L 10-13,19,35,54.3,210,1,2,12,0,81.8,2021,2021_07_SEA_NOR
NYG,2021-10-24,19,Sun,7,7,,CAR,W 25-3,19,39,48.7,117,0,6,28,1,44.5,2021,2021_07_NYG_CAR
LAC,2021-10-17,19,Sun,6,6,@,BAL,L 6-34,19,27,70.4,140,1,3,27,2,63.8,2021,2021_06_LAC_BAL
ATL,2021-10-10,19,Sun,5,5,,NYJ,W 27-20,19,32,59.4,166,0,2,26,1,60.2,2021,2021_05_ATL_NYJ
BAL,2021-10-03,19,Sun,4,4,@,DEN,W 23-7,19,37,51.4,148,1,5,30,1,59.3,2021,2021_04_BAL_DEN
NYG,2021-10-03,19,Sun,4,4,@,NOR,W 27-21 (OT),19,26,73.1,235,1,0,0,1,97.4,2021,2021_04_NYG_NOR
TEN,2021-09-26,19,Sun,3,3,,IND,W 25-16,19,37,51.4,178,0,2,16,0,64.9,2021,2021_03_TEN_IND
DEN,2021-09-26,19,Sun,3,3,,NYJ,W 26-0,19,35,54.3,119,0,5,41,2,37.7,2021,2021_03_DEN_NYJ
NYJ,2021-09-26,19,Sun,3,3,@,DEN,L 0-26,19,25,76.0,223,0,2,12,0,102.6,2021,2021_03_NYJ_DEN
CHI,2021-09-26,19,Sun,3,3,@,CLE,L 6-26,19,31,61.3,203,1,5,43,0,91.2,2021,2021_03_CHI_CLE
CAR,2021-09-23,19,Thu,3,3,@,HOU,W 24-9,19,28,67.9,151,1,4,17,0,93.0,2021,2021_03_CAR_HOU
NWE,2021-09-19,19,Sun,2,2,@,NYJ,W 25-6,19,33,57.6,184,0,4,26,4,33.7,2021,2021_02_NWE_NYJ
CHI,2021-09-19,19,Sun,2,2,,CIN,W 20-17,19,30,63.3,179,2,5,28,3,62.4,2021,2021_02_CHI_CIN
IND,2021-09-19,19,Sun,2,2,,LAR,L 24-27,19,30,63.3,270,2,1,8,1,100.7,2021,2021_02_IND_LAR
HOU,2021-09-19,19,Sun,2,2,@,CLE,L 21-31,19,21,90.5,199,1,2,14,1,102.2,2021,2021_02_HOU_CLE
LVR,2021-09-13,19,Mon,1,1,,BAL,W 33-27 (OT),19,30,63.3,217,1,3,18,0,96.1,2021,2021_01_LVR_BAL
CHI,2021-01-03,19,Sun,16,17,,GNB,L 16-35,19,24,79.2,237,4,1,3,0,147.4,2020,2020_17_CHI_GNB
LAR,2021-01-03,19,Sun,16,17,,ARI,W 18-7,19,27,70.4,166,1,4,26,1,83.3,2020,2020_17_LAR_ARI
WAS,2020-12-27,19,Sun,15,16,,CAR,L 13-20,19,28,67.9,167,1,4,30,1,80.5,2020,2020_16_WAS_CAR
CLE,2020-12-20,19,Sun,14,15,@,NYG,W 20-6,19,32,59.4,214,0,1,7,0,79.4,2020,2020_15_CLE_NYG
JAX,2020-12-20,19,Sun,14,15,@,BAL,L 14-40,19,26,73.1,250,3,1,0,1,125.5,2020,2020_15_JAX_BAL
LVR,2020-12-13,19,Sun,13,14,,IND,L 27-44,19,28,67.9,244,2,0,0,0,118.7,2020,2020_14_LVR_IND
JAX,2020-12-13,19,Sun,13,14,,TEN,L 10-31,19,24,79.2,205,2,1,7,0,130.0,2020,2020_14_JAX_TEN
NOR,2020-12-06,19,Sun,12,13,@,ATL,W 21-16,19,39,48.7,262,1,3,11,0,79.2,2020,2020_13_NOR_ATL
SFO,2020-11-29,19,Sun,11,12,@,LAR,W 23-20,19,31,61.3,182,0,2,16,2,50.7,2020,2020_12_SFO_LAR
MIN,2020-11-29,19,Sun,11,12,,CAR,W 28-27,19,36,52.8,267,1,0,0,1,74.7,2020,2020_12_MIN_CAR
JAX,2020-11-29,19,Sun,11,12,,CLE,L 25-27,19,29,65.5,252,2,2,6,0,115.9,2020,2020_12_JAX_CLE
LAC,2020-11-29,19,Sun,11,12,@,BUF,L 17-27,19,25,76.0,160,2,3,17,1,102.1,2020,2020_12_LAC_BUF
NOR,2020-11-22,19,Sun,10,11,,ATL,W 24-9,19,37,51.4,196,0,8,36,2,44.4,2020,2020_11_NOR_ATL
JAX,2020-11-08,19,Sun,8,9,,HOU,L 25-27,19,32,59.4,267,2,2,14,0,107.2,2020,2020_09_JAX_HOU
IND,2020-11-08,19,Sun,8,9,,BAL,L 10-24,19,23,82.6,156,0,2,14,0,94.9,2020,2020_09_IND_BAL
SFO,2020-10-18,19,Sun,6,6,,LAR,W 24-16,19,38,50.0,198,2,0,0,1,72.0,2020,2020_06_SFO_LAR
DEN,2020-10-18,19,Sun,5,6,@,NWE,W 18-12,19,27,70.4,171,0,4,24,2,56.2,2020,2020_06_DEN_NWE
JAX,2020-10-18,19,Sun,6,6,,DET,L 16-34,19,31,61.3,223,1,0,0,1,80.4,2020,2020_06_JAX_DET
CIN,2020-10-11,19,Sun,5,5,@,BAL,L 3-27,19,37,51.4,171,2,1,9,1,70.9,2020,2020_05_CIN_BAL
BAL,2020-10-11,19,Sun,5,5,,CIN,W 27-3,19,30,63.3,135,0,7,48,1,59.7,2020,2020_05_BAL_CIN
NWE,2020-10-05,19,Mon,4,4,@,KAN,L 10-26,19,29,65.5,229,2,1,7,0,112.6,2020,2020_04_NWE_KAN
DET,2020-10-04,19,Sun,4,4,,NOR,L 29-35,19,25,76.0,228,2,2,18,1,113.4,2020,2020_04_DET_NOR
NYJ,2020-10-01,19,Thu,4,4,,DEN,L 28-37,19,31,61.3,242,2,0,0,3,67.6,2020,2020_04_NYJ_DEN
CHI,2020-09-27,19,Sun,3,3,@,ATL,W 30-26,19,38,50.0,227,1,2,11,1,66.4,2020,2020_03_CHI_ATL
PIT,2020-09-27,19,Sun,3,3,,HOU,W 28-21,19,27,70.4,231,2,5,33,1,105.6,2020,2020_03_PIT_HOU
NYJ,2020-09-27,19,Sun,3,3,@,IND,L 7-36,19,25,76.0,234,1,0,0,0,117.7,2020,2020_03_NYJ_IND
ARI,2020-09-20,19,Sun,2,2,,WAS,W 30-15,19,33,57.6,199,1,4,24,0,85.3,2020,2020_02_ARI_WAS
MIN,2020-09-20,19,Sun,2,2,@,IND,L 11-28,19,25,76.0,203,1,2,11,1,95.9,2020,2020_02_MIN_IND
PIT,2020-09-20,19,Sun,2,2,,DEN,W 26-21,19,39,48.7,215,2,7,61,1,72.1,2020,2020_02_PIT_DEN
TAM,2020-09-13,19,Sun,1,1,@,NOR,L 23-34,19,31,61.3,189,2,1,9,0,100.1,2020,2020_01_TAM_NOR
IND,2020-09-13,19,Sun,1,1,@,JAX,L 20-27,19,20,95.0,150,3,4,23,0,137.5,2020,2020_01_IND_JAX
GNB,2020-09-13,19,Sun,1,1,@,MIN,W 43-34,19,25,76.0,248,2,2,11,1,116.7,2020,2020_01_GNB_MIN
ARI,2020-09-13,19,Sun,1,1,@,SFO,W 24-20,19,33,57.6,243,2,3,16,0,100.9,2020,2020_01_ARI_SFO
TAM,2019-12-21,19,Sat,15,16,,HOU,L 20-23,19,32,59.4,161,0,5,23,1,59.5,2019,2019_16_TAM_HOU
CLE,2019-12-15,19,Sun,14,15,@,ARI,L 24-38,19,25,76.0,219,1,0,0,1,98.6,2019,2019_15_CLE_ARI
TEN,2019-12-15,19,Sun,14,15,,HOU,L 21-24,19,27,70.4,234,2,1,9,2,90.7,2019,2019_15_TEN_HOU
PHI,2019-12-15,19,Sun,14,15,@,WAS,W 37-27,19,28,67.9,251,2,1,10,0,119.8,2019,2019_15_PHI_WAS
LAC,2019-12-15,19,Sun,14,15,,MIN,L 10-39,19,25,76.0,207,1,0,0,1,96.6,2019,2019_15_LAC_MIN
TAM,2019-12-08,19,Sun,13,14,,IND,W 38-35,19,36,52.8,243,2,1,8,0,92.7,2019,2019_14_TAM_IND
JAX,2019-12-08,19,Sun,13,14,,LAC,L 10-45,19,27,70.4,330,4,1,10,0,151.2,2019,2019_14_JAX_LAC
LAR,2019-12-01,19,Sun,12,13,@,ARI,W 34-7,19,34,55.9,124,0,6,39,1,51.6,2019,2019_13_LAR_ARI
NWE,2019-12-01,19,Sun,12,13,@,HOU,L 22-28,19,26,73.1,224,4,3,16,0,138.5,2019,2019_13_NWE_HOU
NWE,2019-11-24,19,Sun,11,12,,DAL,W 13-9,19,33,57.6,212,0,0,0,1,64.2,2019,2019_12_NWE_DAL
NYJ,2019-11-24,19,Sun,11,12,,OAK,W 34-3,19,34,55.9,140,0,1,7,1,53.6,2019,2019_12_NYJ_OAK
IND,2019-11-21,19,Thu,11,12,@,HOU,L 17-20,19,30,63.3,297,2,1,1,1,104.4,2019,2019_12_IND_HOU
LAC,2019-11-18,19,Mon,11,11,,KAN,L 17-24,19,32,59.4,180,1,1,2,1,72.4,2019,2019_11_LAC_KAN
WAS,2019-11-17,19,Sun,10,11,,NYJ,L 17-34,19,31,61.3,285,4,2,8,1,117.6,2019,2019_11_WAS_NYJ
NYJ,2019-11-17,19,Sun,10,11,@,WAS,W 34-17,19,35,54.3,171,2,6,43,1,74.8,2019,2019_11_NYJ_WAS
NYG,2019-11-10,19,Sun,10,10,@,NYJ,L 27-34,19,30,63.3,218,1,2,12,0,96.2,2019,2019_10_NYG_NYJ
KAN,2019-11-03,19,Sun,9,9,,MIN,W 26-23,19,38,50.0,212,3,1,8,0,93.3,2019,2019_09_KAN_MIN
CHI,2019-10-27,19,Sun,7,8,,LAC,L 16-17,19,29,65.5,195,1,1,6,1,81.8,2019,2019_08_CHI_LAC
NOR,2019-10-27,19,Sun,8,8,,ARI,W 31-9,19,34,55.9,197,0,4,23,0,72.8,2019,2019_08_NOR_ARI
SFO,2019-10-27,19,Sun,7,8,,CAR,W 51-13,19,37,51.4,100,0,7,58,3,23.6,2019,2019_08_SFO_CAR
HOU,2019-10-13,19,Sun,6,6,@,KAN,W 31-24,19,35,54.3,256,3,1,17,1,94.5,2019,2019_06_HOU_KAN
PIT,2019-10-06,19,Sun,5,5,,BAL,L 23-26 (OT),19,28,67.9,139,1,5,22,3,51.6,2019,2019_05_PIT_BAL
DEN,2019-09-29,19,Sun,4,4,,JAX,L 24-26,19,33,57.6,186,2,5,27,0,93.7,2019,2019_04_DEN_JAX
DET,2019-09-22,19,Sun,3,3,@,PHI,W 27-24,19,36,52.8,246,2,3,13,0,93.1,2019,2019_03_DET_PHI
SEA,2019-09-22,19,Sun,3,3,,NOR,L 27-33,19,27,70.4,177,2,0,0,0,112.7,2019,2019_03_SEA_NOR
ARI,2019-09-22,19,Sun,3,3,,CAR,L 20-38,19,26,73.1,240,4,2,21,0,141.0,2019,2019_03_ARI_CAR
MIA,2019-09-22,19,Sun,3,3,@,DAL,L 6-31,19,32,59.4,241,2,1,5,1,90.8,2019,2019_03_MIA_DAL
NYJ,2019-09-16,19,Mon,2,2,,CLE,L 3-23,19,35,54.3,305,1,3,20,1,81.2,2019,2019_02_NYJ_CLE
NYG,2019-09-15,19,Sun,2,2,,BUF,L 14-28,19,30,63.3,237,1,3,16,0,98.9,2019,2019_02_NYG_BUF
