Team,Date,1stD,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Season,game_id
MIN,2021-10-17,26,Sun,6,6,@,CAR,W 34-28 (OT),26,10,16,0,16,7,43.8,0,0,,2021,2021_06_MIN_CAR
WAS,2021-10-10,26,Sun,5,5,,NOR,L 22-33,26,11,11,4,16,5,31.3,3,1,33.3,2021,2021_05_WAS_NOR
DAL,2021-10-10,26,Sun,5,5,,NYG,W 44-20,26,10,13,3,14,8,57.1,2,1,50.0,2021,2021_05_DAL_NYG
BUF,2021-10-03,26,Sun,4,4,,HOU,W 40-0,26,12,12,2,12,5,41.7,2,1,50.0,2021,2021_04_BUF_HOU
WAS,2021-10-03,26,Sun,4,4,@,ATL,W 34-30,26,8,16,2,9,4,44.4,2,1,50.0,2021,2021_04_WAS_ATL
CLE,2021-09-26,26,Sun,3,3,,CHI,W 26-6,26,11,13,2,17,8,47.1,3,1,33.3,2021,2021_03_CLE_CHI
SFO,2021-09-26,26,Sun,3,3,,GNB,L 28-30,26,6,15,5,11,7,63.6,0,0,,2021,2021_03_SFO_GNB
LVR,2021-09-13,26,Mon,1,1,,BAL,W 33-27 (OT),26,6,17,3,15,7,46.7,1,0,0.0,2021,2021_01_LVR_BAL
DAL,2021-01-03,26,Sun,16,17,@,NYG,L 19-23,26,8,16,2,17,6,35.3,1,1,100.0,2020,2020_17_DAL_NYG
HOU,2021-01-03,26,Sun,16,17,,TEN,L 38-41,26,6,17,3,12,5,41.7,1,1,100.0,2020,2020_17_HOU_TEN
PIT,2020-12-27,26,Sun,15,16,,IND,W 28-24,26,4,18,4,11,4,36.4,1,0,0.0,2020,2020_16_PIT_IND
BAL,2020-12-20,26,Sun,14,15,,JAX,W 40-14,26,11,13,2,12,8,66.7,2,1,50.0,2020,2020_15_BAL_JAX
PHI,2020-12-20,26,Sun,14,15,@,ARI,L 26-33,26,5,18,3,18,6,33.3,4,3,75.0,2020,2020_15_PHI_ARI
MIA,2020-12-20,26,Sun,14,15,,NWE,W 22-12,26,15,10,1,12,7,58.3,1,1,100.0,2020,2020_15_MIA_NWE
WAS,2020-12-20,26,Sun,14,15,,SEA,L 15-20,26,8,16,2,17,10,58.8,1,0,0.0,2020,2020_15_WAS_SEA
ARI,2020-12-20,26,Sun,14,15,,PHI,W 33-26,26,4,19,3,10,3,30.0,2,1,50.0,2020,2020_15_ARI_PHI
MIN,2020-12-20,26,Sun,14,15,,CHI,L 27-33,26,11,12,3,11,4,36.4,2,0,0.0,2020,2020_15_MIN_CHI
LVR,2020-12-13,26,Sun,13,14,,IND,L 27-44,26,7,17,2,12,8,66.7,0,0,,2020,2020_14_LVR_IND
GNB,2020-12-13,26,Sun,13,14,@,DET,W 31-24,26,10,15,1,11,8,72.7,0,0,,2020,2020_14_GNB_DET
CHI,2020-12-06,26,Sun,12,13,,DET,L 30-34,26,9,15,2,11,4,36.4,1,0,0.0,2020,2020_13_CHI_DET
CLE,2020-12-06,26,Sun,12,13,@,TEN,W 41-35,26,5,18,3,16,10,62.5,1,0,0.0,2020,2020_13_CLE_TEN
KAN,2020-11-29,26,Sun,11,12,@,TAM,W 27-24,26,5,19,2,12,6,50.0,0,0,,2020,2020_12_KAN_TAM
MIN,2020-11-29,26,Sun,11,12,,CAR,W 28-27,26,7,18,1,13,6,46.2,1,1,100.0,2020,2020_12_MIN_CAR
CHI,2020-11-29,26,Sun,11,12,@,GNB,L 25-41,26,6,19,1,10,4,40.0,1,1,100.0,2020,2020_12_CHI_GNB
TEN,2020-11-22,26,Sun,10,11,@,BAL,W 30-24 (OT),26,8,16,2,12,5,41.7,1,1,100.0,2020,2020_11_TEN_BAL
ARI,2020-11-15,26,Sun,9,10,,BUF,W 32-30,26,14,11,1,13,5,38.5,1,1,100.0,2020,2020_10_ARI_BUF
IND,2020-11-12,26,Thu,9,10,@,TEN,W 34-17,26,11,14,1,12,4,33.3,5,3,60.0,2020,2020_10_IND_TEN
ARI,2020-11-08,26,Sun,8,9,,MIA,L 31-34,26,6,17,3,12,5,41.7,3,2,66.7,2020,2020_09_ARI_MIA
LAC,2020-11-08,26,Sun,8,9,,LVR,L 26-31,26,6,18,2,15,7,46.7,2,2,100.0,2020,2020_09_LAC_LVR
IND,2020-11-01,26,Sun,7,8,@,DET,W 41-21,26,9,15,2,14,7,50.0,1,1,100.0,2020,2020_08_IND_DET
SFO,2020-10-25,26,Sun,7,7,@,NWE,W 33-6,26,13,13,0,9,5,55.6,0,0,,2020,2020_07_SFO_NWE
ATL,2020-10-25,26,Sun,7,7,,DET,L 22-23,26,5,19,2,14,7,50.0,2,1,50.0,2020,2020_07_ATL_DET
NOR,2020-10-25,26,Sun,6,7,,CAR,W 27-24,26,9,16,1,14,12,85.7,0,0,,2020,2020_07_NOR_CAR
BUF,2020-10-25,26,Sun,7,7,@,NYJ,W 18-10,26,9,16,1,11,3,27.3,0,0,,2020,2020_07_BUF_NYJ
SEA,2020-10-04,26,Sun,4,4,@,MIA,W 31-23,26,8,17,1,10,4,40.0,1,0,0.0,2020,2020_04_SEA_MIA
LAC,2020-09-27,26,Sun,3,3,,CAR,L 16-21,26,7,18,1,15,10,66.7,0,0,,2020,2020_03_LAC_CAR
NOR,2020-09-21,26,Mon,2,2,@,LVR,L 24-34,26,8,17,1,11,7,63.6,0,0,,2020,2020_02_NOR_LVR
GNB,2020-09-20,26,Sun,2,2,,DET,W 42-21,26,9,13,4,12,6,50.0,1,1,100.0,2020,2020_02_GNB_DET
TEN,2020-09-14,26,Mon,1,1,@,DEN,W 16-14,26,6,17,3,16,7,43.8,1,1,100.0,2020,2020_01_TEN_DEN
CHI,2020-09-13,26,Sun,1,1,@,DET,W 27-23,26,7,15,4,11,2,18.2,2,1,50.0,2020,2020_01_CHI_DET
MIA,2019-12-29,26,Sun,16,17,@,NWE,W 27-24,26,5,19,2,12,5,41.7,1,0,0.0,2019,2019_17_MIA_NWE
ARI,2019-12-15,26,Sun,14,15,,CLE,W 38-24,26,14,11,1,8,4,50.0,1,1,100.0,2019,2019_15_ARI_CLE
HOU,2019-12-08,26,Sun,13,14,,DEN,L 24-38,26,9,16,1,13,6,46.2,4,2,50.0,2019,2019_14_HOU_DEN
TEN,2019-12-08,26,Sun,13,14,@,OAK,W 42-21,26,10,15,1,11,8,72.7,0,0,,2019,2019_14_TEN_OAK
LAR,2019-12-08,26,Sun,13,14,,SEA,W 28-12,26,10,16,0,13,7,53.8,0,0,,2019,2019_14_LAR_SEA
MIA,2019-12-01,26,Sun,12,13,,PHI,W 37-31,26,3,19,4,12,5,41.7,3,3,100.0,2019,2019_13_MIA_PHI
CAR,2019-11-24,26,Sun,11,12,@,NOR,L 31-34,26,6,15,5,13,5,38.5,1,1,100.0,2019,2019_12_CAR_NOR
SFO,2019-11-17,26,Sun,10,11,,ARI,W 36-26,26,1,20,5,13,6,46.2,2,0,0.0,2019,2019_11_SFO_ARI
DAL,2019-11-17,26,Sun,10,11,@,DET,W 35-27,26,4,21,1,14,8,57.1,0,0,,2019,2019_11_DAL_DET
TAM,2019-11-10,26,Sun,9,10,,ARI,W 30-27,26,7,15,4,15,7,46.7,0,0,,2019,2019_10_TAM_ARI
CAR,2019-11-10,26,Sun,9,10,@,GNB,L 16-24,26,6,19,1,10,4,40.0,1,1,100.0,2019,2019_10_CAR_GNB
LAC,2019-11-07,26,Thu,10,10,@,OAK,L 24-26,26,10,11,5,10,3,30.0,2,1,50.0,2019,2019_10_LAC_OAK
BAL,2019-11-03,26,Sun,8,9,,NWE,W 37-20,26,11,11,4,10,5,50.0,1,1,100.0,2019,2019_09_BAL_NWE
DET,2019-11-03,26,Sun,8,9,@,OAK,L 24-31,26,6,16,4,11,5,45.5,2,1,50.0,2019,2019_09_DET_OAK
PHI,2019-11-03,26,Sun,9,9,,CHI,W 22-14,26,7,16,3,18,8,44.4,1,1,100.0,2019,2019_09_PHI_CHI
CHI,2019-10-27,26,Sun,7,8,,LAC,L 16-17,26,12,9,5,14,5,35.7,1,1,100.0,2019,2019_08_CHI_LAC
DET,2019-10-20,26,Sun,6,7,,MIN,L 30-42,26,1,21,4,11,6,54.5,1,0,0.0,2019,2019_07_DET_MIN
BAL,2019-10-13,26,Sun,6,6,,CIN,W 23-17,26,15,11,0,15,9,60.0,0,0,,2019,2019_06_BAL_CIN
DAL,2019-10-13,26,Sun,6,6,@,NYJ,L 22-24,26,7,15,4,17,10,58.8,1,0,0.0,2019,2019_06_DAL_NYJ
MIN,2019-10-13,26,Sun,6,6,,PHI,W 38-20,26,8,14,4,10,2,20.0,1,1,100.0,2019,2019_06_MIN_PHI
ARI,2019-10-06,26,Sun,5,5,@,CIN,W 26-23,26,11,13,2,13,6,46.2,1,1,100.0,2019,2019_05_ARI_CIN
SEA,2019-09-22,26,Sun,3,3,,NOR,L 27-33,26,5,18,3,14,5,35.7,4,1,25.0,2019,2019_03_SEA_NOR
SFO,2019-09-22,26,Sun,3,3,,PIT,W 24-20,26,9,14,3,11,6,54.5,0,0,,2019,2019_03_SFO_PIT
BAL,2019-09-15,26,Sun,2,2,,ARI,W 23-17,26,9,16,1,14,7,50.0,1,0,0.0,2019,2019_02_BAL_ARI
PIT,2018-12-23,26,Sun,15,16,@,NOR,L 28-31,26,2,21,3,13,6,46.2,2,1,50.0,2018,2018_16_PIT_NOR
IND,2018-11-25,26,Sun,11,12,,MIA,W 27-24,26,6,17,3,12,4,33.3,2,2,100.0,2018,2018_12_IND_MIA
CAR,2018-11-25,26,Sun,11,12,,SEA,L 27-30,26,10,13,3,8,3,37.5,1,0,0.0,2018,2018_12_CAR_SEA
LAC,2018-11-18,26,Sun,10,11,,DEN,L 22-23,26,5,18,3,15,9,60.0,0,0,,2018,2018_11_LAC_DEN
IND,2018-11-18,26,Sun,10,11,,TEN,W 38-10,26,8,15,3,10,5,50.0,0,0,,2018,2018_11_IND_TEN
CLE,2018-11-04,26,Sun,9,9,,KAN,L 21-37,26,6,17,3,13,5,38.5,3,2,66.7,2018,2018_09_CLE_KAN
NOR,2018-10-21,26,Sun,6,7,@,BAL,W 24-23,26,12,12,2,14,6,42.9,5,4,80.0,2018,2018_07_NOR_BAL
GNB,2018-10-15,26,Mon,6,6,,SFO,W 33-30,26,8,17,1,13,4,30.8,2,1,50.0,2018,2018_06_GNB_SFO
PIT,2018-10-14,26,Sun,6,6,@,CIN,W 28-21,26,7,16,3,14,8,57.1,0,0,,2018,2018_06_PIT_CIN
ATL,2018-10-14,26,Sun,6,6,,TAM,W 34-29,26,6,19,1,13,8,61.5,0,0,,2018,2018_06_ATL_TAM
KAN,2018-10-07,26,Sun,5,5,,JAX,W 30-14,26,6,17,3,12,4,33.3,0,0,,2018,2018_05_KAN_JAX
DEN,2018-10-07,26,Sun,5,5,@,NYJ,L 16-34,26,5,19,2,14,4,28.6,1,0,0.0,2018,2018_05_DEN_NYJ
NWE,2018-10-04,26,Thu,5,5,,IND,W 38-24,26,7,18,1,10,5,50.0,0,0,,2018,2018_05_NWE_IND
IND,2018-10-04,26,Thu,5,5,@,NWE,L 24-38,26,5,20,1,15,7,46.7,3,2,66.7,2018,2018_05_IND_NWE
DAL,2018-09-30,26,Sun,4,4,,DET,W 26-24,26,10,12,4,12,5,41.7,1,1,100.0,2018,2018_04_DAL_DET
NWE,2018-09-30,26,Sun,4,4,,MIA,W 38-7,26,10,13,3,15,10,66.7,0,0,,2018,2018_04_NWE_MIA
PHI,2018-09-23,26,Sun,3,3,,IND,W 20-16,26,10,12,4,14,6,42.9,0,0,,2018,2018_03_PHI_IND
SFO,2018-09-23,26,Sun,3,3,@,KAN,L 27-38,26,11,12,3,9,2,22.2,2,2,100.0,2018,2018_03_SFO_KAN
BAL,2018-09-09,26,Sun,1,1,,BUF,W 47-3,26,11,13,2,14,6,42.9,0,0,,2018,2018_01_BAL_BUF
