,game_id,season,week,home_team,away_team,home_score,score_diff,away_score,home_team_win,epa_rushing_offense_home,epa_shifted_rushing_offense_home,ewma_rushing_offense_home,ewma_dynamic_window_rushing_offense_home,epa_passing_offense_home,epa_shifted_passing_offense_home,ewma_passing_offense_home,ewma_dynamic_window_passing_offense_home,epa_rushing_defense_home,epa_shifted_rushing_defense_home,ewma_rushing_defense_home,ewma_dynamic_window_rushing_defense_home,epa_passing_defense_home,epa_shifted_passing_defense_home,ewma_passing_defense_home,ewma_dynamic_window_passing_defense_home,epa_rushing_offense_away,epa_shifted_rushing_offense_away,ewma_rushing_offense_away,ewma_dynamic_window_rushing_offense_away,epa_passing_offense_away,epa_shifted_passing_offense_away,ewma_passing_offense_away,ewma_dynamic_window_passing_offense_away,epa_rushing_defense_away,epa_shifted_rushing_defense_away,ewma_rushing_defense_away,ewma_dynamic_window_rushing_defense_away,epa_passing_defense_away,epa_shifted_passing_defense_away,ewma_passing_defense_away,ewma_dynamic_window_passing_defense_away
38,2017_03_KC_LAC,2017,3,LAC,KC,10,-14,24,0,-0.043377038,-0.087603346,-0.1815609596669674,-0.1815609596669674,-0.24532287,0.28772956,0.19291161522269248,0.19291161522269248,0.30812854,0.011205887,-0.07097238590940833,-0.07097238590940833,-0.114517726,0.23034562,0.2061278894543648,0.2061278894543648,0.30812854,0.21158317,0.14009678009897472,0.14009678009897472,-0.114517726,0.1276023,0.27813720479607584,0.27813720479607584,-0.043377038,0.20145753,0.02006721794605255,0.02006721794605255,-0.24532287,0.07049596,0.059010107070207596,0.059010107070207596
39,2017_03_LA_SF,2017,3,SF,LA,39,-2,41,0,0.018779486,0.24244003,-0.06920868530869484,-0.06920868530869484,0.040794417,-0.5485805,-0.48132357299327855,-0.48132357299327855,-0.15845948,-0.105044015,-0.131693709269166,-0.131693709269166,0.80363894,-0.047401167,0.02925697974860668,0.02925697974860668,-0.15845948,-0.24398032,-0.21772299408912657,-0.21772299408912657,0.80363894,0.18119395,0.25249846279621124,0.25249846279621124,0.018779486,0.08516442,-0.015189467743039128,-0.015189467743039128,0.040794417,0.18490906,-0.358114380389452,-0.358114380389452
40,2017_03_MIA_NYJ,2017,3,NYJ,MIA,20,14,6,1,-0.35726184,0.1654806,0.1535549946129322,0.1535549946129322,0.4234599,-0.03813621,-0.16198832634836435,-0.16198832634836435,-0.49013388,0.22127376,0.12257672834675759,0.12257672834675759,-0.26214448,0.6042344,0.3939146772027016,0.3939146772027016,-0.49013388,0.011205887,0.011205887421965599,0.011205887421965599,-0.26214448,0.23034562,0.23034562170505524,0.23034562170505524,-0.35726184,-0.087603346,-0.08760334551334381,-0.08760334551334381,0.4234599,0.28772956,0.28772956132888794,0.28772956132888794
41,2017_03_NO_CAR,2017,3,CAR,NO,13,-21,34,0,0.33074853,-0.22903392,-0.19988815560936926,-0.19988815560936926,-0.49685344,-0.025267027,0.04143075682222843,0.04143075682222843,0.11675355,-0.33046997,-0.3843091830611229,-0.3843091830611229,0.42856103,-0.20944224,-0.29479751661419873,-0.29479751661419873,0.11675355,-0.0120054595,-0.07651881072670222,-0.07651881072670222,0.42856103,0.056811918,0.14660947751253842,0.14660947751253842,0.33074853,-0.052035447,-0.12552244383841754,-0.12552244383841754,-0.49685344,0.6119435,0.6242430746555327,0.6242430746555327
42,2017_03_NYG_PHI,2017,3,PHI,NYG,27,3,24,1,0.19658017,0.20145753,-0.12948142439126967,-0.12948142439126967,-0.25981376,0.07049596,0.14090506285429003,0.14090506285429003,-0.43727675,0.21158317,0.07690165750682354,0.07690165750682354,0.18361731,0.1276023,-0.07786115929484365,-0.07786115929484365,-0.43727675,-0.32138568,-0.2245579093694687,-0.2245579093694687,0.18361731,-0.2283534,-0.19302892461419105,-0.19302892461419105,0.19658017,-0.106007576,-0.06345439115539193,-0.06345439115539193,-0.25981376,-0.038065508,0.04735005497932434,0.04735005497932434
43,2017_03_OAK_WAS,2017,3,WAS,LV,27,17,10,1,-0.35851723,0.08516442,0.007371346652507781,0.007371346652507781,0.6457328,0.18490906,-0.046342437714338276,-0.046342437714338276,-0.10848929,-0.24398032,-0.3744722411036492,-0.3744722411036492,-0.65339726,0.18119395,0.20178895443677905,0.20178895443677905,-0.10848929,0.22127376,0.12394260200671853,0.12394260200671853,-0.65339726,0.6042344,0.4556555882096291,0.4556555882096291,-0.35851723,0.1654806,0.05870912000536919,0.05870912000536919,0.6457328,-0.03813621,0.029103576205670834,0.029103576205670834
44,2017_03_PIT_CHI,2017,3,CHI,PIT,23,6,17,1,-0.020421648,-0.5305325,-0.10576989352703095,-0.10576989352703095,-0.3062027,-0.14541483,-0.1511533886194229,-0.1511533886194229,0.14835529,-0.06343674,-0.05311679914593696,-0.05311679914593696,-0.09125059,0.046947964,0.21588626466691493,0.21588626466691493,0.14835529,-0.16166696,-0.2846740171313286,-0.2846740171313286,-0.09125059,0.114497714,0.11607737392187119,0.11607737392187119,-0.020421648,-0.020550355,-0.11998413503170013,-0.11998413503170013,-0.3062027,-0.29863048,-0.19455729611217976,-0.19455729611217976
45,2017_03_SEA_TEN,2017,3,TEN,SEA,33,6,27,1,-0.06462049,0.22810003,0.09314980804920198,0.09314980804920198,0.069603145,0.12581202,0.11927510499954223,0.11927510499954223,-0.19081722,0.093163215,0.053481799317523844,0.053481799317523844,0.20226495,-0.28576365,-0.033843338489532485,-0.033843338489532485,-0.19081722,-0.105044015,-0.11195432394742964,-0.11195432394742964,0.20226495,-0.047401167,-0.1809911724179983,-0.1809911724179983,-0.06462049,0.24244003,0.06266584247350694,0.06266584247350694,0.069603145,-0.5485805,-0.2804742231965065,-0.2804742231965065
46,2017_03_TB_MIN,2017,3,MIN,TB,34,17,17,1,-0.1599025,-0.020550355,-0.10820564329624176,-0.10820564329624176,0.6295633,-0.29863048,0.12342739701271055,0.12342739701271055,-0.23400095,-0.16166696,-0.158832635730505,-0.158832635730505,-0.008813728,0.114497714,0.17833666540682316,0.17833666540682316,-0.23400095,-0.06343674,-0.06343673914670944,-0.06343673914670944,-0.008813728,0.046947964,0.046947963535785675,0.046947963535785675,-0.1599025,-0.5305325,-0.5305324792861938,-0.5305324792861938,0.6295633,-0.14541483,-0.1454148292541504,-0.1454148292541504
47,2017_04_BUF_ATL,2017,4,ATL,BUF,17,-6,23,0,0.06341159,0.18148449,0.09495255799091536,0.09495255799091536,-0.2562358,-0.15130934,0.1444102853437595,0.1444102853437595,-0.05204505,-0.2020571,0.05219320366251903,0.05219320366251903,0.18641435,-0.10603044,-0.058396063150955586,-0.058396063150955586,-0.05204505,-0.22548012,-0.19881034320207977,-0.19881034320207977,0.18641435,0.18685606,0.043057268788648205,0.043057268788648205,0.06341159,0.055973426,-0.015429413843392541,-0.015429413843392541,-0.2562358,-0.15840335,-0.1563144691313224,-0.1563144691313224
